user_id,followers,asks,answers,goods
zhang-jia-wei,397709,0,1776,270921
seekingalpha,484,4,11,48
ya-xuan,42,2,0,0
shen-yin,8718,16,52,920
lili,29981,16,87,1938
lai-qu-zhi-jian,14360,1,14,223
whale,96216,1056,620,7373
wang-xiao-chuan,11916,1,48,1862
yang-mao-wei,125,1,11,12
enya,3957,0,7,53
kentzhu,7522,33,15,2028
joannagu,557,25,137,274
kant,45934,215,475,5145
listyluo,857,1,18,251
mali,29348,236,843,36133
ourdearamy,253991,471,385,11355
clickstone,1071,4,59,858
noff,247,42,101,696
garhom,3199,35,99,5382
andypan,9587,93,55,3502
zhao-yong-61-31,1,0,0,0
cai-dan-97,0,0,0,0
cai-wang,7,3,1,0
nancy-qu,0,0,0,0
hou-ya-jun-41,0,0,0,0
zhang-ze-yu-96-34,0,0,0,0
chen-long-fei-25,0,1,0,0
xue-yi-dong,0,0,0,0
li-qi-11-49,0,0,0,0
emily-li-8,0,0,0,0
miao-samuel,0,0,0,0
fang-xiao-xin-62,0,0,0,0
wen-xin-yi-21,0,0,0,0
va-no,5,7,6,170
xu-zhi-yu-32,0,0,0,0
xu-xiao-lu-23-31,0,0,0,0
xin-zhu-cheng,0,1,0,0
dai-shi-xian,0,2,6,1
chang-xie-19,0,0,0,0
xue-qin-14,0,0,0,0
caiqinyu,21,21,44,76
craylin,27,27,21,822
maitian,59,59,251,1260
nathanshan,0,0,2,11
cristine,10,10,81,1339
chengyuan,1426,1426,705,3952
richardchang,5,5,52,664
heatherm,11,11,16,201
tangjingxin,58,58,256,916
lianghai,129,129,1530,23609
jiudongwan,10,10,5,3
heyali,8,8,32,8
wangxiaofeng,60,60,1850,63269
yangbo,4,4,38,6161
annie,1,1,8,0
kenbin,0,0,14,191
lenppqq,7,7,25,91
chen-bao-shan,0,0,5,1
juniorchen,1,1,5,8
chen-feng-51,0,0,2,0
