user_id,followers,asks,answers,goods
tian-shun,2888,8,308,3461
madwithu,114,22,103,337
bumian,2627,13,153,2002
elya,40569,31,89,2281
li-zhi-gang-2,4355,0,15,5384
xuexiao,9785,7,180,1257
li-ming-jing,64,3,17,132
daisymo,445,5,13,29
sharkui,13961,0,21,2524
cao-zheng,30537,6,178,6533
zhang-peng,11320,31,86,2591
songvision,1293,1,51,610
Junejin,20825,13,83,1770
lytous,2257,6,105,1392
tinyfool,24011,27,509,4760
williamlong,13723,1,22,1124
litiejun,504,0,2,5
shen-yin,8718,16,52,920
wangke,524,1,27,203
allenzhang,27399,8,14,3236
li-yan-zhu,0,0,9,24
huangfuyingjian,6,6,60,243
lifesinger,1,1,91,2117
yangkeyu,11,11,25,35
yan-xiao-shou,3,3,47,615
bi-sheng,8,8,13,68
iplawyer,16,16,116,1196
lian-chang-wang-jiang,12,12,100,928
lili,16,16,87,1938
hehelovehehe,2,2,58,279
lu-xin-xin,13,13,25,42
song-man-yuan,0,0,4,0
hzqian,3,3,16,69
tao-chun,0,0,0,0
linwei,3,3,5,20
darlin,1,1,19,29
xie-xiao-yao,3,3,66,884
julystory,52,52,91,260
zhang-rui,3,3,2,2
xu-yi-rong,0,0,6,177
Hiien,26,2,13,73
zhoujian,37,4,11,142
a-su-58,2,0,3,0
guo-hai-yan-27,0,0,0,0
ssenkrad,28,3,54,207
wang-zi-71,0,0,1,0
chen-ji-88,50,28,67,205
zhao-da-shi-14,0,0,0,0
mu-ning,1,0,0,0
yin-yao-11,0,0,0,0
cheng-xiao-hei,7,0,0,0
zhang-hao-hao-58,2,0,5,1
li-hao-68-69,0,0,0,0
fiona-huang-78,1,0,0,0
zpcmiracle,22,0,0,0
liu-kai-36-30,2,4,7,1
you-xiao-67,0,0,0,0
zuoanchangqing,6,0,0,0
chen-xin-52-76,6,0,2,1
pojunxiao,4,17,11,2
guang-yang-81,3,5,4,2
ya-wang-17,0,0,0,0
lang-fei-60,0,1,0,0
yangchenxing,158,3,19,55
huhailong,5,0,3,0
yj-wu,1,1,0,0
yuan-bai-cai-36,0,0,0,0
zhao-yun-5-91,0,0,0,0
ferlysky,27,6,12,4
lu-tian-yang-65,0,0,0,0
gavin-huang-21,0,0,0,0
liulian-lee,0,0,0,0
2cat,1,2,1,0
huang-kun-bin,3,0,1,5
yu-xiao-58-60,0,0,0,0
qingjiawoguniang,3,0,0,0
shen-jing-bing-92-73,0,0,0,0
cao-jia-96,2,0,2,4
eloise,115,21,72,120
whuchenshun,12,0,3,0
a-qi-36,2,0,7,3
tian-fang-95,1,1,1,0
zeaprx,0,0,0,0
tsen-43,5,0,3,0
teddy-46,1,2,2,0
wan-wan-88-64,4,0,0,0
lizhenming,19,0,2,13
wang-wen-han-80,13,0,187,339
xu-mu-12,0,0,18,2
bei-zhi-da-baykop,22,0,0,0
zhang-zhi-11,0,0,6,0
yuan-sui-33,4,1,8,2
li-bu-shi-bai,0,0,0,0
peng-dong-sheng,2,0,0,0
toddzhao,8,13,5,1
jolly-zhou,0,0,0,0
liu-jian-hua-9,3,0,0,0
byerancy,226,15,25,798
hua-qi-qi-37,1,0,2,0
huang-shi-ren-90,1,0,0,0
liyanjie,6,6,17,4
zhang3,2,2,11,4
olina-wang,0,0,0,0
wctjerry,22,22,43,413
abduze,0,0,0,0
ctlzhl,28,28,1208,6636
Menng,3,3,211,648
qite,17,17,174,302
blue5tar,2,2,7,2
sqldeveloper,4,4,13,36
lixu,1,1,5,82
xuyang,0,0,0,0
icelee,5,5,20,1
sududu,0,0,1,4
lei-chang,0,0,1,2
annwong,2,2,3,0
qing-liu-83-26,2,2,11,27
matthewyy,0,0,4,2
loson,1,1,6,3
zouhang,0,0,2,0
li-xiao-42,3,0,1,1
er-fei-fei,1,1,12,2
huma,9812,177,104,5914
qing-ji-43,40,1,46,65
yu-yxt,0,0,3,0
liu-meng-hua,27,7,24,7
mango-yu,2,0,17,5
zhe-na-ta,0,0,0,0
xiaolegebai,1,5,2,14
li-san-mu-24,0,4,3,0
ge-yi-sen,15,0,10,8
chen-lu-yao-52,5,0,20,1
xie-ran-88-74,2,5,8,3
1157023,18,0,17,264
lin-liu-17,5,2,2,87
landbitou,0,1,0,0
arron-69,5,0,0,0
he-lin-hui,2,0,2,0
forkburn,78,9,110,1330
zhang-wei-85-62,4,1,2,1
jinzhuo,1,1,5,14
yang-guang,0,0,7,13
forevershiki,1,1,2,1
mhoho,0,0,14,7
wuhaoxiang,30,30,18,35
Hola,6,6,1,1
luckylilyxu,0,0,1,0
e800,12,12,37,17
zhang-da-yong,0,0,4,3
limingshun,4,4,9,12
indigo11,0,0,0,0
uitony,6,6,52,645
liu-shuang,0,0,98,865
chen-yong,1,1,3,9
daxiong,29,29,324,5485
yang-yong-47,0,0,2,3
94smart,2,2,148,146
zhezhexiong,21,21,28,1614
linzhaoxu,1,1,22,5
liangning,1,1,9,72
underland,33,33,540,10153
liangchunxiao,1,1,28,105
yangbo,4,4,38,6161
nan-gua,14,14,80,1259
charlie,7,7,22,424
stevenshanghai,0,0,1,2
neil-shen,0,0,0,0
cai-wen-sheng,0,0,0,0
jixin,1310,1310,785,35670
lina,6,6,28,505
xi-yao-jun,2,2,19,14
binbinmath,15,15,56,579
raine,2,2,21,36
gongjun,1,1,42,408
limingyuan,2,2,15,257
wang-zi-yuan,25,25,102,228
linan,373,373,943,57876
jerry-tsai,0,0,6,49
zhouyuan,588,588,340,12020
xuzhiming,2,2,29,95
andrewyu,2,2,15,68
hecaitou,28,28,268,15976
hsia,23,23,293,5110
mily,6,6,23,331
whale,1056,1056,620,7373
keso,71,71,953,25316
imike,1479,1479,1261,56933
