user_id,followers,asks,answers,goods
huayang100,234,2,36,1799
xu-zhu-qiu-69,3345,3,17,5882
Javaer,28,0,1,0
huangmy,21,7,37,10
wang-li-fen,13295,0,0,0
xie-xiao-shuai,284,4,11,1302
gong-mark,13,0,7,25
deng-meng-jie,5,1,0,0
he-xiao-peng-21,331,0,1,216
akiraakito,6,0,4,0
cheng-yi-seng,10,1,2,3
liu-yang-51-4,553,1,18,428
jianlongliu,145,9,733,297
zhang-xi-ting,569,12,51,731
mako-cheng,390,1,88,409
jiaoshoutv,51885,1,76,14520
bai-jiu-tian,26,0,4,0
lovemtl,3697,3,11,2993
cani-hung,7,0,1,0
tang-yi-qi-55,10,0,0,0
yu-tian-can,0,0,0,0
bei-zi-jiang-5,0,0,2,2
su-su-11-63,0,0,0,0
xia-yi-hang,0,0,0,0
jiang-ming-ming-2,0,0,0,0
chou-zhe-68,0,0,1,0
xiao-yang-9-86,0,1,1,0
peng-you-44,0,0,0,0
wang-bei-er-47,1,2,1,0
zheng-de-74,2,0,0,0
wei-juan,1,0,0,0
song-xiao-yu-58-15,3,0,0,0
zhaie,2,3,3,0
xie-xin-lei-38,0,0,0,0
chen-long-74-55,0,0,0,0
oneone-yang,0,0,0,0
xiao-lai-zi,0,0,0,0
zhou-da-lu,0,0,0,0
li-xin-hua-63,0,0,0,0
an-jing-yu-47,0,0,0,0
mao-qian-58,0,0,0,0
ge-xiao-mi,0,0,0,0
wuchaofei,3,0,4,0
xiao-tang-yuan-de-ba-ba-85,0,0,0,0
ariel-chiu,1,0,0,0
simpler-su,0,0,0,0
dai-wei-wei-16,0,0,7,3
han-zhu-12,0,0,0,0
liu-xu-81-17,0,0,0,0
guo-qian-96-78,0,0,0,0
lian-yu-97,0,0,0,0
zhou-mu-mu-92,0,0,0,0
zhu-hao-tian-85,0,0,0,0
liangyi9527,1,0,0,0
ji-wei-37-87,0,0,0,0
jin-ying-34,1,0,0,0
diaosynm,6,2,110,38
wang-wang-97-48,0,0,0,0
ma-zhong-24,0,0,0,0
lu-wei-xiang-22,0,0,0,0
ping-zi-59-92,0,0,0,0
wang-zhu-58-8-20,0,0,0,0
li-ramondar,0,0,0,0
cao-yin-56,6,1,5,4
leung-jason,0,0,0,0
lin-zhang-76-83,0,0,0,0
lin-yi-wei-2,179,0,4,398
cai-dan-97,0,0,0,0
wu-wen-jie-87-13,0,0,0,0
zhang-man-yu-67,1,0,2,0
liu-fei-60-84,0,0,0,0
yu-ying-wang,0,0,0,0
wang-bo-99-22,0,0,0,0
lu-tan-73,2,0,0,0
nancy-qu,0,0,0,0
huangguodong,44,0,11,52
liu-qing-28-74,0,0,0,0
hou-ya-jun-41,0,0,0,0
sherrybu-xiang-chang-da,0,0,0,0
yang-yi-37-9,0,0,0,0
li-ling-24-7,0,0,0,0
alfred-zh,4,0,16,1
wu-mei-hong-10,0,0,0,0
yuan-lv-67,0,0,0,0
chen-yong-23-32,6,9,15,28
chen-chao-68,2,0,0,0
hei-mu-hei-mu,0,0,1,0
liang-bang-zhu,0,0,0,0
ding-lei-62,3,0,0,0
hao-hao-10,0,0,0,0
zhang-di-33-68,0,0,0,0
rongjun-tang-66,0,0,0,0
ren-xi-bo,2,0,1,0
li-li-57-48,0,0,3,0
fang-xiao-xin-62,0,0,0,0
liang-bo-wen,229,4,107,568
wen-xin-yi-21,0,0,0,0
Jalove,2,1,3,1
fu-nu-zhi-you-10,0,0,0,0
zhang-wen-zheng-84,0,0,0,0
song-pei-meng,1,1,0,98
wu-li-67,0,0,4,9
amoyqun,36,36,176,2667
sun-xiao-zhuan,0,0,21,837
nuonuolili,6,6,134,32661
tutuyang,40,40,283,1134
wilbert.g,104,104,840,26561
seventeen,15,15,3,333
allina,0,0,85,3257
shenyue,15,15,69,673
frogin,4,4,22,18
cherrybomb,157,157,15,3443
xraccoon,12,12,220,2011
baicai392,5,5,6,489
liu-xiao-si-62,2,2,34,9358
celery,2,2,18,337
yanshar,5,5,235,4027
jory,1,1,391,3046
mirrkoliu,6,6,144,830
luckystar,117,117,343,33230
zhang-jian-46-33,0,0,0,0
lin-mu-sen-47,0,0,0,0
yu-jia-min-23,0,0,0,0
zheng-ben-chu,0,0,0,0
opheliaha,0,0,2,2
wang-yuanhang,0,0,0,0
roger-law-53,0,0,0,0
yq-song,0,0,1,0
chen-li-hua-13,1,0,0,0
long-rain,0,0,0,0
chu-yang-32,1,0,0,0
peng-tao-79-81,0,0,0,0
zhang-ding-34-79,0,0,0,0
setilis,23,0,3,1
weixin,101,6,9,5
tan-dong-35,0,0,0,0
ymri-lee,12,9,1,4
yan-xiao-ran-4,0,0,0,0
zhao-tian-qi-8,0,0,0,0
zoe-meng-98,0,0,0,0
kingofark,0,0,0,0
xulele,3,3,5,3
douwei,0,0,9,17
zhou-zi-yi-94,1,1,229,213
qian-wu-61-94,6,6,17,1558
lingxiaoshan,0,0,24,563
li-hui-ying-2,5,5,133,9295
alnntime,0,0,24,113
lin-sen-lin-4,0,0,3,16
mouxudong,15,15,81,1212
mao-qi-huan,10,10,11,100
zouwei,145,145,335,6364
huang-xian-18,3,3,135,11059
wang-de-bao-44,6,6,6,2
meng-shuang-paula,39,39,115,590
cris91,1,1,60,1860
gousheng,1,1,2,2
dou-hu,0,0,0,0
he-bing-6-78,0,0,0,0
gaolaosong,5,5,68,1310
miracle8337,0,0,0,0
xy-chen-32,0,0,0,0
tu-guang-xue,0,0,0,0
lin-da-wei-57,0,0,0,0
shi-yituo,1,1,7,2
zhao-yan-42-30,0,0,1,3
shen-zhi-93,2,0,1,0
yacinthe-lang,0,0,0,0
chen-ya-lun-65,0,0,0,0
rong-yiyi-29,0,0,0,0
zhao-jing-86-87,0,0,0,0
chen-zhi-bin-24,0,0,0,0
mu-zi-83-78-21,0,0,0,0
cao-jia-96,2,0,2,4
xu-zhi-ming-72-6,1,0,0,0
kong-cheng-ting-nuan,0,0,0,0
wang-liang-liang-15,0,0,0,0
xiao-huang-77-73,0,0,0,0
pan-ting-23,0,0,0,0
zhou-mu-bai-81,0,0,0,0
ru-hua-31-98,0,0,3,28
ren-he,2,2,13,37
geniusvczh,43,43,1041,15601
hua-huo-57,5,5,103,1746
wuchun,46,46,138,4491
venus919,6,6,32,1208
gaowei,4,4,12,519
mullhe,1,1,3,1
tianyawenda,9,9,44,634
lijinyang,15,15,40,28
fang-san-wen,2,2,60,322
hualuoqu,0,0,4,49
5key,7,7,33,1040
macluv,4,4,5,3
julystory,52,52,91,260
milkr,36,36,59,75
ranger,8,8,29,37
axuan,15,15,21,218
bo-cai-28-7,17,17,834,116933
changfan,106,106,157,745
tao-zhe-3,0,0,0,0
wan-rui-74,0,0,0,0
wang-hong-ye-14,0,0,0,0
yi-yi-evelyn,4,0,0,0
xiao-zhuo-1988,0,0,0,0
jiang-lai-21,0,0,0,0
vanessa-li-35,0,0,0,0
huwei-98,7,9,6,8
mwj-op,1,0,4,4
zhao-da-shi-14,0,0,0,0
mr-kikokiko,0,0,0,0
tan-lau-75,2,1,0,0
chen-wen-feng-93,8,1,9,0
zhang-yong-shuai-85,0,0,0,0
zhu-meng-jia-6,0,0,0,0
mo-mo-de-louis,0,0,0,0
yu-bao-99-16,0,0,0,0
wu-han-ye,0,3,13,6
han-fang-lei,0,0,0,0
wang-tian-yu-33,0,0,0,0
tao-zi-55-85,0,0,0,0
liverpool72,0,0,0,0
all2null,4,2,0,0
wei-liang-18,4,2,12,4
mou-sen-60,0,0,0,0
vvenz,0,4,8,1
tong-yin-68,0,0,0,0
liu-li-cheng-36,1,1,1,1
guo-zhi-wen-41,0,0,0,0
dawn-chen-60,0,0,0,0
lin-chen-82-49,0,0,0,0
zhang-hao-hao-58,2,0,5,1
yue-zou-4,0,0,0,0
lin-xin-chun,12,0,0,0
sui-xin-33-38,0,0,0,0
zhao-gao-min,0,0,0,0
dong-che-pi,0,0,0,0
liu-jia-lin-98,0,0,0,0
wu-yang-13,0,0,0,0
zai-ta-59,0,0,0,0
du-yang-99-54,2,0,3,66
dude-42,0,0,0,0
daidi,11,8,11,22
han-xiao-jie-29,0,0,0,0
li-chen-49-87,0,0,0,0
guan-yu-meng,0,0,0,0
prince-leo,0,0,0,0
yang-chen-66-60,0,0,0,0
vivian-jing,0,0,0,0
hu-xin-38-10,0,3,0,0
du-hong-53,0,0,0,0
zhang-chen-69-50,0,0,0,0
zhang-yan-91-92,0,0,0,0
men-men-11,0,1,0,0
pan-ren,3,2,4,4
ziyanyoung,6,10,6,2
jinyixiao,0,0,0,0
zhuiyi,52,7,6,1358
zhu-bi-hong-17,2,0,0,0
yu-bai-81,0,0,0,0
zhang-xiao-jing-41-76,0,0,0,0
copofly,2,3,1,0
chen-si-yu-29-37,0,0,0,0
fu-li-qin,0,0,0,0
meng-xiang-63-53,0,0,0,0
ys920,1,2,3,4
chen-xin-12-12,0,0,0,0
hu-yao-zong-12,3,0,0,0
die-mo,0,0,0,0
zhang-lu-95-88,0,0,0,0
hei-an-xiao-yu,3,0,3,5
zhang-yue-6-79,0,0,0,0
deng-xin-99,2,0,13,9
yuan-hong-65,0,0,0,0
hu-li-hui-60,0,0,0,0
zhu-lu-qing-feng,0,0,0,0
shenyan,0,0,0,0
gong-chao-53,4,0,0,0
mo-yan-zhi-20,0,0,0,0
zhang-xiao-ting-96,2,0,5,35
yu-ran-14,0,0,0,0
ma-ji-63,0,0,0,0
fan-tian-xi,1,0,0,0
ye-zi-tang-57,0,0,0,0
chen-wei-79-89,0,0,0,0
li-ling-32-95,0,0,0,0
qing-mu-xiao-shou,0,0,0,0
huang-hong-95,0,0,0,0
abc-freda,0,0,5,1
yang-yu-qing-92,1,0,3,1
guo-lei-83,10,7,74,148
ming-zi-36-32,0,0,0,0
sheng-sheng-83-32,0,0,0,0
nancyshi-wo,0,0,0,0
han-xiao-27-50,1,0,0,0
fang-xian-lan-4,0,4,15,2
yang-tao-39,0,0,0,0
li-may-4,17,0,0,0
liuxiaotong,36,2,19,50
wang-chou-78,0,0,0,0
zuo-jia-43,4,0,0,0
a-ya-38-21,0,0,0,0
xu-cheng-83-95,0,1,1,0
guo-tian-fo,1,0,0,0
zhang-yu-chen-45-2,0,1,0,0
zhi-kan-bu-shuo-wu-jin-zui,0,0,0,0
lo-kk-41,0,0,0,0
meng-xiang-fei-8,0,0,1,0
rluan,1,0,0,0
guo-xiao-chuan-90-99,0,0,0,0
yao-xiao-wu-96-67,0,0,0,0
wan-yi-ming,6,3,31,2
xiao-xiao-72-12,0,0,0,0
ma-da-ha-66,0,0,0,0
zhe-magic,0,0,0,0
anchen-lee,1,0,0,0
sunny-sit,0,0,0,0
magic-27,20,1,19,32
brucedafei,108,0,22,29
peng-guo-qiang-96,0,0,0,0
yuan-bai-cai-36,0,0,0,0
liu-yong-bo-42,0,0,0,0
bai-ha-89,0,1,0,0
yao-yue-59-5,0,0,0,0
edison-wong-47,1,0,0,0
jing-jing-ba,6,1,0,0
leng-yang-86,0,0,0,0
chensong,81,15,31,24
ai-ni-ren,0,0,0,0
hu-chen-54,4,0,2,0
blues-sun,0,0,0,0
du-yun-feng-94,0,0,0,0
xie-hong-shu-1,0,0,0,0
wangqiang5417,0,1,0,0
wang-yan-cheng-30,0,0,0,0
li-chu-ting,1,0,0,0
kai-wen-29,0,0,0,0
wang-zhao-bing-17,2,0,2,1
yang-charles-20,0,0,3,0
jiang-gu-24,0,0,0,0
ren-peng-49,7,7,40,26
zhengqiang,3,3,50,52
wisdom2011,26,26,119,54
jingya,1,1,63,533
liu-song-59,1,1,11,6
yang-qiu-88,0,0,2,378
liangbianyao,0,0,47,60708
Zita,4,4,65,4066
inferiorlove,9,9,79,12401
kui-en-64,10,10,31,15
haiyangjy,1,1,1,3
unclehan,1,1,10,0
tearsring,4,4,35,369
catchen,24,24,378,11301
wangbohan,42,42,358,18574
zi-liu-jing-37,1,1,24,37
mao-mi-mi-40,1,1,7,17
uxworks,16,16,98,1687
arethusa,3,3,70,2835
celevia,17,17,46,1816
zhu-wen-bin-25,1,0,1,0
yu-mo-97-70,0,0,0,0
luo-man-31-88,27,0,0,0
wu-yi-da,0,3,0,0
jiang-li-fang-17,0,0,0,0
ai-lai-ti,0,0,0,0
tian-fu-ma-shen,0,0,0,0
gavin-huang-21,0,0,0,0
zhang-xiao-bei-71,0,0,0,0
jia-zhi-xin-2,1,1,1,0
odile-tian,0,0,0,0
daothree,4,1,10,9
li-ming-quan-95,0,0,0,0
icewent,101,6,82,81
wu-lei-19-53,0,0,0,0
lan-ren-mao,0,0,0,0
xie-lang-11,0,0,0,0
zhang-tao-54-4,0,0,0,0
stella-mcqueen,0,0,0,0
bo-xiao-luo,0,0,1,0
hu-qing-yan-25,0,0,0,0
pan-chris,0,0,0,0
yan-gui-hong-8,0,0,0,0
pu-sheng-yong,0,0,0,0
wen-jiu-xun-zui,0,0,0,0
lulu-37,3,0,6,9
chi-chi-57,0,0,0,0
wu-heng-wen,0,0,0,0
jiu-wan-li,0,0,0,0
li-you-yi-99,1,0,4,0
chuang-mei-gong-chang,0,0,0,0
tan-lan-de-ren-er,0,0,0,0
zhang-jia-hao-70,1,0,0,0
yan-hui-35-80,18,4,28,41
li-cai-86,1,0,1,0
marshal-peng,1,0,0,0
da-ming-zi-12,0,0,0,0
wang-hai-zhu-60-27,0,0,1,0
a-siu,0,0,0,0
tang-peng-34,0,0,0,0
Gorgonheart,37,37,300,2309
lusimov,17,17,92,3567
huang-ming-jie-82,0,0,12,261
imlab,0,0,1,37
jiang-zhao-ning,3,3,34,573
