user_id,followers,asks,answers,goods
liu-os,0,0,0,0
kong-dan-93,0,0,0,0
jin-mao-dao-1,0,0,0,0
jiang-xing-wei,1,1,0,0
zhao-xue-yu-65,0,0,0,0
li-ya-qing-78,0,0,0,0
fang-ju-68,0,0,0,0
yi-zong-chao,0,0,0,0
li-nan-nan-25,0,0,0,0
ga-fang-zeng,0,0,0,0
wang-hui-feng-30,0,0,0,0
huang-hai-jie,0,0,0,0
huang-yi-ming-26,0,0,0,0
shime-shao,0,1,0,0
guo-yun-2,0,0,0,0
ceng-da-hua,0,1,0,0
chen-kong-bai-43,0,0,0,0
wu-janine,0,0,0,0
ma-yao-55,0,0,0,0
mei-bing-75,0,0,1,0
bigbod99,81,81,46,31
zheng-yu-chen-97,0,0,0,0
liu-yu-yao-61,0,0,0,0
ma-li-jia-16,0,0,0,0
delly1994,0,0,0,0
wang-mu-mu-47-17,0,0,0,0
a-mu-mu-20,0,0,0,0
zhao-feng-57-86,0,0,0,0
wang-bo-13-53,0,0,0,0
yin-ze-chen-93,0,0,0,0
xue-qiu-45-9,0,0,0,0
xia-lin-13,0,0,0,0
kang-ren-yi,0,0,0,0
li-xin-nuo,0,0,0,0
yu-zhi-guang-96,0,0,0,0
cang-hai-44-49,0,0,0,0
da-wei-ba-49,0,0,0,0
huo-zhi-kang,0,0,0,0
wu-qi-tu-xing,0,0,0,0
fan-xia-89,0,0,0,0
ruan-qing-67,0,0,0,0
luo-hong-yin,0,0,0,0
da-shu-69-24,0,0,0,0
wang-ji-yang-3,0,0,0,0
li-heng-14-5,0,0,0,0
520-Eiffel-Tower,1,1,0,0
li-jian-kang-58,0,0,0,0
xu-le-le-54,0,0,0,0
bi-yue-zhe,0,0,0,0
luo-fan-47,0,0,0,0
qian-jian-pu,0,0,0,0
zhou-lu-61-3,0,0,0,0
zhang-chi-35-77,0,0,0,0
jia-ting-ting-15,0,0,0,0
liu-gang-83-4,5,5,0,0
emma-li-5,0,0,0,0
luhao-8,0,0,0,0
yang-yun-da-35,0,0,0,0
yu-jia-chen-5,1,1,1,0
Shelley-chou,0,0,0,0
yang-xiu-36,0,0,0,0
huang-huang-98,0,0,1,1
gao-amy-48,0,0,0,0
li-dan-ning,0,0,1,0
wei-zhong-shan-88,0,0,0,0
li-fei-83-57,0,0,0,0
li-heng-67-28,0,0,0,0
xu-shao-bin-20,0,0,0,0
qin-yan-9-63,0,0,0,0
luo-san-yang,0,0,0,0
mao-ze-dong-58,0,0,0,0
ai-nuo-nuo,1,1,1,0
ye-zi-de-si-kao,0,0,0,0
wu-na-12,0,0,0,0
qin-yan-ling,0,0,0,0
xu-guo-qing-1,0,0,0,0
li-zhi-de-nao-can-fen,0,0,0,0
yu-da-yang-63,0,0,0,0
MasonJuan,0,0,0,0
li-shu-de,8,8,4,0
he-wen-jing-26,0,0,0,0
dai-zhi-wen-96,0,0,0,0
zhi-gu-72,0,0,0,0
tang-wu-80,0,0,0,0
zhu-xiao-dong-76,0,0,0,0
liu-kai-wen-88,0,0,0,0
tan-fang-28,0,0,0,0
zheng-bao-bao-61,0,0,0,0
ding-heng-52,0,0,0,0
liang-yue-peng,0,0,0,0
wang-hao-19-43,0,0,0,0
wang-long-hui-42,1,1,0,0
feng-qian-70,0,0,0,0
he-xue-zhou-81,0,0,0,0
wang-xin-jian,0,0,0,0
yixiu-55-39,0,0,0,0
live-dong,5,5,15,33
mao-mao-22-52,0,0,0,0
ding-su-min-71,0,0,0,0
ceng-jin-rong,0,0,0,0
li-jia-lin-45,0,0,0,0
tianbang-yang,0,0,0,0
wu-yu-an,14,14,31,10270
nie-bing-17,0,0,0,0
lu-qiang-77-79,0,0,0,0
da-cong-zhan-jiang-21,0,0,0,0
qu-peng-55,1,1,34,356
xu-yi-11-72,0,0,0,0
xiao-xiao-mei-yang,0,0,0,0
hua-xi-52,0,0,0,0
zhang-xiao-ma-81,0,0,0,0
wang-lian-xing-57,0,0,0,0
cha-na-17-4,0,0,0,0
justin-sun-12,0,0,0,0
li-yi-jun-5-18,0,0,5,0
ceng-xiao-wen-11,0,0,0,0
potatoooliu,0,0,0,0
liu-feng-yuan-73,0,0,0,0
zhang-jian-long-9,0,0,0,0
gu-yan-97,0,0,0,0
xie-wen-wen-96,0,0,0,0
da-bao-59-97,0,0,0,0
lin-shi-yun-58,0,0,0,0
su-yi-7-93-5,0,0,0,0
cheng-chang-jun,0,0,0,0
hua-juan-16-14,0,0,0,0
wingtone-chung,0,0,0,0
chen-jia-23-31,0,0,1,0
chen-dian-80,0,0,0,0
yang-xue-79-76,0,0,0,0
wei-de-5,0,0,0,0
zhu-xiao-fei-40-45,0,0,0,0
chen-hao-7-5,0,0,0,0
jiang-xiao-ba-70,0,0,0,0
yu-zhou-bai,0,0,0,0
sirius-65,0,0,0,0
xiao-sa-78-53,0,0,0,0
chen-wayne-64,0,0,0,0
jiang-ping-an,0,0,0,0
gold-mid,0,0,0,0
man-aj,0,0,0,0
ye-wang-75,0,0,0,0
xia-xiao-ling-68,0,0,0,0
alexa-4,2,2,1,0
li-xin-27-61,0,0,0,0
zuo-an-80,0,0,0,0
wang-yifan-28,0,0,0,0
alphawolfff,0,0,0,0
chen-zhi-feng-42-70,0,0,0,0
lin-zi-xuan-60,2,2,1,0
wang-shan-55-9,0,0,0,0
xu-xiao-zhe-44,0,0,0,0
luo-xiao-hua-96-21,0,0,0,0
bai-chen-78-20,0,0,0,0
ma-jin-21,0,0,0,0
yan-wu-16,0,0,0,0
zhang-xiu-juan-33,1,1,0,0
kant-tse,0,0,0,0
shuai-xiao-42,0,0,0,0
nj-nj-63,1,1,3,0
jemzyye-zi,0,0,0,0
chen-dong-yuan,0,0,0,0
zhang-yidian,0,0,0,0
li-kai-63-61,0,0,0,0
HeyHoney,0,0,0,0
tang-xiao-xiao-61-73,0,0,0,0
gao-peng-80-4,0,0,0,0
guo-zu-min,0,0,0,0
zhou-zhuo-yang,0,0,0,0
hua-shao-11,0,0,0,0
liao-yi-26,0,0,0,0
huang-jiong-yan,0,0,0,0
hu-yun-35-39,0,0,0,0
huang-jue-38,0,0,0,0
li-chang-zhao,0,0,0,0
sron-ye,0,0,0,0
si-xiang-jia-shang-hao-jia,0,0,0,0
liu-liu-58-69,0,0,0,0
zhang-kai-88-47,2,2,0,0
wu-yao-long,0,0,0,0
bai-jin-kuang,0,0,0,0
zhang-xiao-feng-17,0,0,3,0
li-zhong-ping-94,0,0,0,0
liu-jie-67-98,0,0,0,0
zhou-kai-yin-99,0,0,0,0
qg-za,1,1,6,0
yao-gui-63,0,0,0,0
xing-shen-ming-sha-13,0,0,0,0
jiang-wei-87-39,0,0,5,0
yang-jia-jia-76,0,0,0,0
gui-lu-lu-21,0,0,0,0
xun-ke-meng,0,0,0,0
Molten-75-74,0,0,0,0
mu-zhe-24,0,0,0,0
cherrymeow,0,0,0,0
christa-lee,0,0,0,0
kinsey-95,0,0,0,0
qiu-xiao-qiu-29,0,0,0,0
xiong-zhen-yu-36,0,0,0,0
liu-mei-mei-40,0,0,0,0
shi-dan-ting,0,0,0,0
li-xuan-91-28,1,1,1,0
yang-hang-32,0,0,0,0
li-rui-22-54,0,0,0,0
wang-zhi-80,0,0,0,0
ding-tian-yang,0,0,0,0
mi-shi-xi,0,0,0,0
dou-li-you-tang-48,0,0,0,0
jin-nian-53,0,0,0,0
ai-qing-tian-16,0,0,0,0
zhang-xiao-le-36,0,0,0,0
zhu-jie-76-25,0,0,0,0
zhang-qiu-29,0,0,0,0
xiao-bian-dou,0,0,0,0
ai-aom,0,0,0,0
zhao-yun-peng-99,0,0,0,0
fu-shi-84,0,0,0,0
xu-zhao-24,3,3,6,1
itaen,3,3,3,11
tang-chuan-zhi,0,0,0,0
hei-an-sen-lin,0,0,0,0
mingxin-xu,0,0,0,0
jiang-run-wu,0,0,0,0
xiao-yi-9-8,0,0,2,0
mr-pang-hu,0,0,0,0
yan-zheng-xin,0,0,0,0
mu-gua-27,0,0,0,0
cai-wei-guo,0,0,0,0
stone11,0,0,0,0
shi-qing-wen-6,0,0,0,0
snow-hole,0,0,0,0
eduardo,1,1,0,0
yuee-shen,0,0,0,0
li-gou-dan-85,0,0,0,0
wu-yu-xuan-25,0,0,0,0
on-move,0,0,0,0
basil-lin,3,3,1,0
jin-jia-ming-44,0,0,0,0
si-xiao-qian,0,0,0,0
lin-yun-jie-83,0,0,0,0
wang-chu-tian-24,0,0,0,0
zhang-chi-huo,0,0,0,0
cao-luo-90,0,0,0,0
lynn23,0,0,0,0
yu-xiao-hui-20,0,0,0,0
mo-ming-7-40,0,0,0,0
zhi-ai-63,0,0,0,0
su-xia-88-34,0,0,0,0
gan-hong-ming,0,0,0,0
chen-yong-hong-dui-xue,0,0,0,0
kaidong-li,0,0,0,0
da-xu-46,0,0,0,0
peng-jia-97,0,0,1,0
lan-bo-zhang,0,0,0,0
huang-qi-bin-10,0,0,0,0
tuo-tuo-fu,0,0,0,0
wu-gui-52,0,0,0,0
zhang-hui-23-70,0,0,0,0
bu-lai-de-li-ku-po,0,0,2,0
cjm1115,0,0,0,0
yolanda-song,0,0,0,0
yang-shuo-1-27,2,2,0,0
zhang-bei-hai-82,0,0,0,0
hu-geng-sheng,0,0,0,0
nie-xiao-gang-15,1,1,0,0
qing-wen-qing-wen,0,0,0,0
wenge123,0,0,0,0
tong-yao-5,0,0,0,0
yao-yao-48-22,0,0,0,0
zhang-qian-49-71,0,0,0,0
er-yu-33,0,0,0,0
ben-qia-pian,0,0,0,0
jin-fei-yu-76,0,0,0,0
body-silence,0,0,0,0
gu-mo-xuan,1,1,14,2
xy-liu-62,0,0,0,0
zhou-xiao-ni-48,0,0,0,0
zhang-xue-4-50,0,0,0,0
yu-li-6-38,0,0,0,0
chen-yao-64-31,0,0,0,0
ooong-lo,0,0,0,0
toby-huang-61,0,0,0,0
qie-ge-wa-la-48,0,0,0,0
wang-jx-34,0,0,0,0
knowledge-ran,0,0,1,0
ni-ming-ni-yao-wo,0,0,0,0
liu-wen-yi-6-42,2,2,12,23
han-yi-87-77,0,0,0,0
yan-liang-jiang,0,0,0,0
cococoninini,0,0,11,23
zhou-yi-li-62,0,0,2,0
xu-da-bao-31,0,0,0,0
sissi-liu,0,0,0,0
yin-ying-ren-65,0,0,0,0
zhang-zhu-42-18,0,0,0,0
alvin-shan,0,0,0,0
zhang-xiao-yu-33-23,0,0,0,0
li-fei-43-72,0,0,0,0
li-jin-peng-10-98,0,0,0,0
tian-ce-78,0,0,0,0
sulin-qian,0,0,0,0
zu-shan-31,0,0,0,0
qiaozx,0,0,0,0
bao-tao-57,0,0,0,0
gao-xiao-guo,0,0,0,0
zhang-sen-yang,0,0,0,0
a-jiu-2,0,0,0,0
zhi-shui-96,0,0,0,0
echo-chen-18,0,0,2,0
yukang-ji,0,0,0,0
zhou-mao-you,0,0,0,0
