user_id,followers,asks,answers,goods
mu-mu-37-38,17,0,12,79
liu-kun-31-16,0,0,0,0
ye-qing-84,8,2,4,0
ying-ji-lei,0,0,0,0
wu-na-12,0,0,0,0
mei-gui-shu-gen,0,0,0,0
wang-long-hui-42,0,1,0,0
zhou-shen-hao,0,0,0,0
cai-da-wei-93,0,0,0,0
wang-xin-jian,0,0,0,0
he-hua-peng,1,0,8,0
da-qiang-gong,0,0,0,0
lao-wang-79-27,0,0,0,0
li-chang-zhao,0,0,0,0
Garyching,19,2,4,1
si-xiang-jia-shang-hao-jia,0,0,0,0
su-su-12-49,0,1,0,0
li-huai-39,0,0,0,0
dou-dou-dou-dou-mao,0,0,0,0
xie-ao-53,1,0,0,0
mozacoval,0,0,0,0
er-yu-33,0,0,0,0
qie-ge-wa-la-48,0,0,0,0
maska,0,0,7,4
xu-wu-86,0,0,0,0
fwgisbug,1,1,150,616
ming-wu-ji,2,2,1,0
xu-pei-yue,0,0,0,0
zhao-lan-shan,2,2,11,24
zhou-xiao-ke-32,0,0,0,0
yang-wen-jie-14,0,0,2,0
dong-chen-20-59,0,0,0,0
li-sheng-da,0,0,0,0
jiao-kan-ke,0,0,0,0
zhang-zhe-bo,0,0,0,0
mxive-roverse,0,0,0,0
niu-niu-zi-2,0,0,0,0
mu-shui-85,0,0,0,0
sivia-wong,0,0,0,0
xiao-xian-30,0,0,0,0
gui-sheng-74,1,1,4,4
zhang-shu-hang-20,0,0,0,0
wu-mi-mi-54,0,0,0,0
mj-little,0,0,0,0
han-jun-11-93,0,0,0,0
zhang-yi-ran-63-31,0,0,0,0
li-dong-51-63,0,0,0,0
qing-qing-88-4,0,0,0,0
lisanke,4,4,5,1
xie-zhi-feng-23,0,0,0,0
don-sycle,0,0,0,0
jeter_lin,6,6,9,1
zi-meng-xiao-hu-li,3,3,0,0
ni-ji-ta-ni-ji-ta,0,0,0,0
wang-xiao-yu-7-36,0,0,0,0
ren-hong-fei-88,0,0,0,0
ji-qian-86-21,0,0,0,0
mou-si-17-14,0,0,0,0
xiong-da-40,0,0,0,0
zhang-lincon,0,0,0,0
gua-niu-98-92,1,1,9,12
shi-zhen-zhen-44,0,0,0,0
tian-xia-wu-bai,0,0,0,0
liu-jing-67-3,0,0,0,0
zhang-chi-8-90,0,0,0,0
a-peng-69,0,0,0,0
lee-dan,0,0,0,0
xie-wei-33,0,0,0,0
zhang-ru-hui-94,0,0,0,0
hu-da-xia-5,3,3,35,24
zhang-an-an-16,0,0,0,0
xyunhua,1,1,0,0
tassadiar,0,0,0,0
xu-nuo-67-65,0,0,0,0
guo-hai-chao,0,0,0,0
jay-zhang-3-16,0,0,0,0
yike-pan,0,0,0,0
wang-ba-dun,0,0,0,0
li-xiang-28-78,0,0,0,0
ving-max,0,0,0,0
fu-dan-di,0,0,0,0
yi-dui,0,0,0,0
wei-sheng-liang-45-69,0,0,0,0
liu-ying-87-22,0,0,0,0
yang-yu-ting-74,0,0,0,0
