user_id,followers,asks,answers,goods
lee-jerry-76,0,0,0,0
andykevin,0,0,0,0
kui-zhu-zhu,8,2,0,0
zhao-wen-jie,39,18,39,3797
enda-liu,9,5,3,61
wang-wu-69-57,4,1,3,0
yang-dong-41-21,0,0,1,0
jun-19,6,4,5,5
a-gu-3,0,0,0,0
lan-cui-ming,9,2,11,82
sun-chao-29-56,4,0,4,1
chen-ting-ting-31-81,1,0,0,0
ren-yan-zong,0,0,0,0
sun-dong-mei-31,0,0,0,0
xiao-shi-zi-16,3,0,9,1
iswallowyourring,12,0,9,8
cai-tao-tao,9,0,26,378
ryan-32,82,3,46,199
li-nuo-hao,2,0,2,4
shawn-yang-74,77,2,7,71
niu-niu-32-58,2,0,0,0
sui-feng-34,0,0,0,0
li-zhang-21,3,4,2,0
dennis-5-50,1,0,0,0
yuan-su-73,1,0,0,0
unifinity,4,1,0,0
xu-zhu-2,0,1,4,0
li-xin-97-41,1,2,1,3
zheng-yao-43,0,0,0,0
li-peng-peng-18,1,6,13,7
huo-huo-63,3,0,0,0
lu-ren-jia-95-25,1,1,0,0
zch123,0,0,0,0
jing-xiao-liang,169,29,192,434
hiworldofice,31,1,54,196
luo-hua-wu-yan-liu-shui-jin-ri-91,3,0,0,0
shine-sun-74-45,0,1,0,0
fan-ke-14,2,5,10,0
bai-xiao-yun-24,0,2,9,2
mei-xu-an-82,1,0,0,0
hai-tian-61,0,0,0,0
wu-zheng-hui-75,0,0,0,0
liu-guilio,1,1,2,0
chen-wei-bin-40,10,10,60,278
yang-pu-88,0,0,2,1
mi-yang-sheng-wu-sjun-53,0,0,0,0
phos,149,149,113,8670
travelinglight,17,17,4,4
cao-lei-1,27,27,11,408
liang-zi-xiao-6,0,0,0,0
mars-li-48,0,0,3,0
walawa,13,13,18,6
ming-yi-77-53,2,2,2,0
li-kang-20-4,2,2,0,0
tu-dou-xi-hong-shi,0,0,1,2
igo2002ke,2,2,0,0
ma-arvin,0,0,0,0
wen-zuo-zhu,0,0,0,0
fa-mian-wo-wo,1,1,0,0
chen-qi-97-67,2,2,0,0
chen-tian-yue-63,1,0,0,0
fanfanxiong,1,0,0,0
irenachan,5,0,0,0
lan-de-bai-84,0,0,0,0
cui-bo-wu,2,3,10,0
chen-shu-43,0,0,0,0
wang-wei-83-83-73,1,0,0,0
wei-cheng-xing-h,11,5,31,250
wang-zha-zha-11,1,0,2,3
chen-yu-hang-30,3,0,0,0
zqclair,0,0,0,0
a-hua-tian-44,0,0,0,0
ka-ji-yixia,7,2,22,89
zhangyu29,1,1,3,4
xiao-ying-ming,1,0,3,0
zhang-peng-cheng-41,0,0,0,0
hao-tian-60,0,0,3,1
zzzzzzzzzzz,0,0,0,0jacky007wang,6,0,13,98

huang-yiqing-11,1,1,0,0bai-yu-35,2,2,1,0

zhao-ming-zhe-83,1,1,3,2
zhang-chuan-chuan-60,0,0,0,0
once-gun,1,1,40,310
xuanjianfeng,12,1,4,1
liu-guo-guang,0,0,2,0
fu-lan-ke-lin,216,2,16,593
candice-chan-40,7,7,15,52
feng-nian-81,1,0,1,0
song-you-you-10-11,1,1,5,3
zhou-zhou-49-49,0,1,1,0
yu-jian-13,3,3,0,0
sodalemon,0,0,0,0
bi-peng,1,1,7,1
wu-xiao-xing,0,0,0,0
li-wei-25-17,6,6,8,8
nasasc,0,0,15,7
lovewhowho,5,5,26,129
shao-bu-jin,0,0,0,0
shen-ya-nan-44,2,2,73,1393
li-zhu-71-86,0,0,0,0
zhou-cong-da,7,0,0,0
li-kai-feng-51,3,7,3,1
wen-ke-52-68,0,0,0,0
yoyo-green,2,0,0,0
wang-bei-lun,3,0,0,0
liu-chuan-66,0,0,0,0
fxcat,19,0,16,20
xiao-xiao-me,44,13,58,290
leooodu,1,0,7,1
wang-kai-ming-72,16,0,48,124
qi-ya-kun,1,0,4,1
zhang-zhang-34-12,2,0,11,0
wang-yiyi-21-72,1,0,0,0
zhou-ying-yi,1,0,0,0
wen-ban-tian,0,1,3,0
shaw-36,2,2,4,0
lu-ting-lin,3,0,1,0
jin-li-72,0,0,11,53
zhu-zhi-yao-38,0,0,0,0
Javaer,1,1,3,0
zheng-jia-chun,0,0,0,0
tang-hao-65-41,1,1,86,161
wu-zi-min,1,1,1,0
liruifeng,2,2,3,0
tie-ma-ta-bing-he,0,0,0,0
jiapu,4,4,80,122
cheng-er-8,0,0,0,0
niushuai,2,2,4,2
huang-xiao-bao-20,0,0,14,53
li-man-45,0,0,0,0
andee,0,0,3,1
emerson-11,1,1,1,0
shao-ling-79,6,6,3,22
chong-zi-58,0,0,0,0
wang-xiao-pang-41,2,2,13,210
liu-xin-yi-7,0,0,0,0
sh-sever,0,0,0,0
huo-lan-shan,0,0,0,0
li-li-39-77,3,3,2,0
zhu-zhi-81,2,0,0,0
bo-yi-42,12,4,16,7
li-si-ying-68-26,7,0,14,1
shou-di-yu,2,0,0,0
chen-yu-yuan-84,1,0,0,0
choke,3,0,8,0
www.chenxiang.com,0,0,0,0
zhangjinwo,11,1,12,95
trance-92,10,6,11,4
kang-kai-2,6,0,5,29
wang-lei-10-52,2,0,1,0
bo-ge-41,114,0,93,254
yanyan-44,17,4,36,113
zhi-zhi-51,0,0,0,0
matrix-trueman-2,2,1,2,1
song-yuan-shu,7,2,26,36
victorChou,29,1,7,69
han-dou-99,1,0,0,0
huo-cong-cong,11,0,1,21
wang-chuang-31-70,22,5,29,22
liu-peng-fei,0,0,5,2
bai-peng,42,42,78,135
wang-kui-20,0,0,3,0
jiang-tao-98,4,4,12,16
zi-ming-14,2,2,19,18
kingdom-lee,0,0,15,10
clytze222,2,2,26,15
lawrencepiao,15,15,25,34
ai-de-hua-11-51,2,2,7,0
wang-rong-34,0,0,1,0
wang-xu-chao-76,0,0,0,0
mrwumao,0,0,2,0
mang-mang-41,1,1,28,44
fu-hao-dong,0,0,0,0
joe,12,12,6,1
bu-qing-ge,0,0,0,0
Daijoubu,0,0,0,0
zhang-bob,0,0,0,0
shi-hua-50,0,0,0,0
lancer-theo,0,0,1,0
song-ba-ba,0,5,3,0
yuanjun-93,3,0,0,0
kkyysst-wang,4,1,0,0
xu-jia-hui-67,10,0,19,120
xie-lun-82,0,0,0,0
chang-ze-hao,7,0,2,3
xiao-yao-21-53,1,0,0,0
cao-feng-30,6,3,10,6
danielwu89,46,2,7,167
rancho-42,38,12,53,398
sofia-orange,6,0,4,9
aaronsu,46,12,136,358
idfjy,48,1,3,1
zuo-jian-tou,0,0,0,0
chaos-9-23,7,0,17,36
byring,23,1,19,52
jun-sheng-71,0,1,7,31
warmer-sun,1,17,3,2
feng-zi-yan-56,2,1,1,0
gong-chao-63,2,3,6,5
vega,132,0,38,435
bai-kai-shui-17,3,2,29,14
huang-fei-26-55,0,0,0,0
bo-bo-12,21,6,34,79
zhu-da-da-24,8,2,23,15
chang-yi-22,9,8,17,30
lang-74,4,43,14,1
Joozn,13,0,19,54
bu-jian-81,4,2,10,10
lan-re-he-qian-ting,2,0,2,1
lao-luo-tuo,1,1,1,0
shu-xiao-zhang,1,0,2,0
tangxm,4,0,0,0
cui-shuo-shuo,12,0,2,3
zhu-feng-kai,1,0,0,0
jin-xiao-xin,4,4,12,2
shi-shang-60,5,1,0,0
a-lai-ye-shi,15,2,10,14
guo-shi-dai,0,0,4,0
missbabyfish,0,0,0,0
summar,9,9,98,634
la-jiao-suan-cai-yu,1,1,0,0
hui-hui-95,0,0,0,0
li-mu-zi-86-26,0,0,0,0
na-yiqi,0,0,19,185
OnlyIndex,13,13,19,259
xie-tian-shan,2,2,5,48
jiang-ge,11,11,32,194
xiao-si-85,0,0,0,0
zhou-yuan-33,0,0,0,0
chu-hong-82,9,9,3,1
chen-sa-ye,0,0,0,0
lin-nai-yang,0,0,8,5
feng-tian-yuan-5,0,0,6,16
wen-lei-93,2,2,29,1142
xie-dou-dou-6,1,1,3,0
MrHo,1,1,70,904
fang-xing-nan-91,1,1,85,29
wu-sui,74,74,53,40
pi-nu-lu,1,1,2,0
zheng-wei-24-90,0,0,0,0
an-dong-ni-81,1,0,0,0
yang-teng-77,0,0,0,0
li-shen-56,0,0,0,0
yang-zi-hui,46,1,40,146
liu-yi-52-47,0,1,0,0
song-ning-yue,0,0,0,0
lin-xiao-ting-71,0,0,0,0
meng-bo-62-58,0,0,1,0
di-yang-98,0,0,0,0
zhu-wen-jie-47,0,0,0,0
xie-zi-26-92,0,0,0,0
zhang-jia-hao-98,0,0,0,0
wang-shi-shi-63,12,4,64,123
wang-jian-qiang-13,4,0,0,0
yang-bo-19-12,0,0,0,0
alieneila,6,0,0,0
bfyk,1,2,0,0
yu-hui-66-52,0,0,0,0
xia-yuan-16,0,0,0,0
liu-run-nan,0,0,0,0
zhang-yi-fei-9,0,0,11,129
gerrardyang,6,6,368,4830
jpingxxx,1,1,6,1
wang-feng-16,1,1,45,34
qu-zhong,0,0,0,0
dawnyang-59,0,0,0,0
maxx,25,25,23,43
beyondfar,0,0,0,0
wangpengdream,0,0,0,0
he-fan-35,0,0,0,0
yan-shi-liu,6,6,1,0
jiejiebaba,1,1,0,0
frinkhuang,3,3,4,1
wang-qi-jun-94,1,1,0,0
wang-qiu-lin-24,0,0,0,0
liu-xiao-huo-139,11,11,43,12
liu-da-96-86,0,0,2,0
cervier,0,0,79,832
ding-yu-80,0,0,94,9344
allenlight,0,0,3,6
zhang-dao-wen,0,0,0,0
chen-mo-62-2,15,15,34,35
ni-lin-bin,0,0,0,0
atogey-l,0,0,29,41
lin-ruo-chu-44,0,0,2,0
xie-hong-xing-11,0,0,0,0
zi-xue-46,1,1,3,0
liu-ting-fang-77,0,0,10,8
wang-hao-90-95,2,2,16,38
tian-peng-65-6,0,0,0,0
yue-gua-niu,0,0,0,0
yang-wei-cheng-77,0,0,0,0
luna-la-11,1,1,1,2
fish-doll,0,0,1,1
qiu-chang-sa-er,2,2,2,0
mo-mo-95-30,0,0,0,0
ou-yang-xiao-pen-zai,0,0,0,0
yong-yi-68,16,16,16,5
wu-yue-9-34,0,0,0,0
tang-jing-34,2,0,0,0
xuan-lu-38,0,0,0,0
wu-jin-xia-66,0,0,0,0
jie-forever,0,0,0,0
duan-ya-ya,0,0,0,0
tang-guo-37-38,0,0,0,0
jia-rong-4,14,0,0,0
wu-chen-mo-bu-bu,0,0,0,0
ban-jiao-yang-guang-97,0,0,0,0
chen-liu-xin-58,3,0,1,0
ye-feng-66-55,1,0,2,0
chun-jiu-lu,1,0,0,0
hao-chen-28,8,0,0,0
kang-jie-33,9,0,0,0
patricia-wang-58,0,0,0,0
cong-dian-hang,0,0,0,0
zhang-guo-chen-42,0,0,0,0
dssey-leau,0,0,0,0
su-leng-lu,1140,1,19,401
hu-yu-yu,1,0,0,0
yu-gou-gou-65,0,0,0,0
jing-sa-li,2,2,18,1
chloe-chang-27,0,0,3,1
xie-xiao-bei-41,0,0,0,0
li-Amanda-68-87,1,1,3,0
chen-xiao-niu-49,0,0,12,177
fuwocheng,8,8,292,12580
meng-meng-29,0,0,2,1
chen-xiao-yu-22-63,0,0,0,0
zhou-yu-79-95,0,0,0,0
mao-zhe-hao,0,0,0,0
wang-qian-jing-80,0,0,0,0
skyler-11,0,0,4,0
li-mou-nu,0,0,0,0
jun-wang-89,0,0,0,0
hai-rui-61,0,0,0,0
