user_id,followers,asks,answers,goods
niu-jia-min,0,0,0,0
peng-jun-bo,0,0,0,0
bill-wang-86,0,1,0,0
junjay-li,1,0,0,0
hu-zhi-chao-93,0,1,0,0
ren-peng-fei-75,0,0,0,0
xue-guo-zhi-3,0,0,0,0
zhouzheng,8,1,16,5
yun-xi-wo-kai,1,0,0,0
li-lin-80-64,1,0,0,0
raccoon,19,0,30,27
lankyzheng,3,0,4,2
po-jun-24,14,0,1,0
auroury,0,0,0,0
adfreeback,6,0,1,0
zhang-guo-jing-2,3,1,2,0
unowen,16,1,0,0
ren-ming-quan,2,4,2,0
xu-chao-28,12,3,7,23
lin-yang-95,1,0,1,0
mu-xiao-juan,1,1,5,30
xiong-mao-di-di,0,0,0,0
yi-wan-25,0,0,0,0
yao-zhang-57,0,0,0,0
leehui,0,0,19,9
nicing,19,19,171,800
tao-lei-81,0,0,0,0
yuanandbing,0,0,1,0
wo-wo-tou-po,1,1,1,0
xiao-hao-38-40,0,0,0,0
li-zhe-20-44,0,0,1,9
dao-feng-leng-70,0,0,0,0
liu-yu-43-49,0,0,0,0
ba-ba-31-86,0,0,0,0
jin-ci-1,0,0,0,0
echo-bai,1,1,1,0
wang-yue-79-86,1,1,1,3
wang-chen-93,0,0,0,0
li-rui-xiao-39,0,0,0,0
lin-jun-cheng,0,0,5,0
glason,0,0,2,1
chen-pei-38-92,0,0,0,0
wonglei,51,51,82,246
li-yihuan,0,0,1,0
lao-yao-70,0,0,0,0
ding-ru-60,4,4,4,0
man-man-yu-14,22,22,21,8
yanziqin,3,3,0,0
ambivalent,0,0,19,2
yuqinweb,4,4,4,0
huang-chong-18,0,0,0,0
flysnow,3,3,0,0
xiao-yan-87-77,0,0,0,0
wang-yuan-44,1,1,2,3
bei-xi-64,0,0,4,3
duqusheng,0,0,7,12
jia-yi-85,0,0,0,0
zheng-xia-20,0,0,0,0
wang-ting-ting-73,0,0,0,0
YuMount,0,0,0,0
callmeno1,0,0,0,0
pan-yu-cheng-85,0,0,0,0
wang-fu-jun,4,4,32,54
wu-long-yin,2,2,11,4
zhu-pei-cheng,0,0,0,0
hangmax,10,10,51,24
zheng-xia-ming,2,2,6,3
yang-xiao-li-73,0,0,0,0
tie-gu-64,1,1,3,0
chen-yue-fei-54,0,0,0,0
yi-ya-nuo,0,0,4,3
fang-xing-xing-30,4,4,4,0
zhang-kai-xu-95,22,22,53,36
bigbod99,87,87,54,32
felixwu,1,1,14,14
xiao-ming-34-71,0,0,0,0
yan-tai-yang,2,2,4,0
cha-zhen,0,0,0,0
gao-hong-gang-68,0,0,0,0
jyuny1,1,1,2,0
tu-hai-yan-59,0,0,1,0
meng-xu-dong-95,0,0,0,0
liu-feng-54-82,0,0,0,0
wen-hui-80-5,0,0,0,0
xuzinan,5,5,3,7
xu-mou-18-40,0,0,0,0
Qishi_,0,0,14,23
zuo-hong-60,0,0,1,0
wang-beryl,0,0,26,5
liu-fang-yu-69,0,0,0,0
magicboy,1,1,1,3
cat-bless,0,0,13,1
zzzz,1,1,6,4
yang-ting-ting-92,0,0,0,0
okay,12,12,38,29
sicheng,2,2,8,6
gong-chang-yi,0,0,0,0
pengsanshi,4,4,4,0
ma-can,5,5,3,0
huiter,1,1,72,37
sniper1211,0,0,6,1
ji-de-wo,0,0,0,0
li-ya-long-40,0,0,0,0
han-xu-40,0,0,0,0
tang-xiang-ming,0,0,0,0
snowland,1,1,9,4
businiao,0,0,1,0
li-hao-18-33,2,2,3,0
dongpunk,5,5,0,0
nu-nu-52,0,0,0,0
ruo-hen-84,1,1,0,0
bai-xiao-za,0,0,0,0
yu-yi-wei,0,0,2,1
kang-you-chao,0,0,0,0
xi-xi-39-81,0,0,0,0
wang-tong-18-13,1,1,0,0
ni-ni-49,0,0,0,0
wu-na-zhe-58,0,0,0,0
li-xiao-yu-92,0,0,6,0
wu-xi-89-63,0,0,0,0
yixishen,0,0,0,0
tian-chang-lin,0,0,0,0
lin-fang-wen-47,1,1,0,0
kevin-chen-21,2,2,1,0
wang-da-yang-36,0,0,0,0
yu-kong-kong,0,0,0,0
xie-yang,2,2,1,0
wfir,0,0,0,0
young-liu,1,1,2,0
ying-ge-lan-85,8,8,4,1
chen-hong-yu-66,0,0,0,0
liu-xin-1,0,0,0,0
wang-kuan,2,2,0,0
liu-hai-tao-32,0,0,0,0
she-jing-bing-69,0,0,0,0
ff-fff-66,0,0,0,0
wang-tong-xue-2,0,0,0,0
ding-zi,2,2,11,5
tian-chun-feng,0,0,1,0
lang-lang-44,0,0,0,0
zheng-helen,8,8,11,36
xue-bo-22,2,2,22,0
xin-xian-sheng-64,0,0,0,0
huang-da-mao-37,0,0,0,0
shaoanxu,0,0,0,0
gao-ke-10,0,0,0,0
wang-wang-71-11,0,0,0,0
jiang-feng-59-95,0,0,0,0
shi-xin-11-59,0,0,0,0
hou-xiao-yue-72,0,0,0,0
shikaijie,6,6,22,151
renfei,0,0,2,0
chen-yong-xiu,1,1,1,0
qin-tian-7-33,0,0,0,0
xiao-yao-39-93,0,0,1,0
charleschan,1,1,7,13
hu-yang-92-94,0,0,0,0
mutu,71,71,76,799
li-xu-23-49,0,0,0,0
xie-roy-4,0,0,0,0
hu-liu-qing-16,0,0,0,0
zhang-xi-ting,12,12,48,455
zhao-yue-10-77,1,1,1,2
baozhu,4,4,13,33
eason-73,12,12,7,0
ha-ha-67-89,0,0,0,0
fannie-44,0,0,0,0
gu-yun-long,0,0,0,0
rd-wong,2,2,0,0
zhu-xiu-jie,2,2,2,13
kgjiang,0,0,0,0
gao-hui-ping,0,0,0,0
chu-sen,4,4,2,0
zehua,2,2,4,1
lao-wang-37,0,0,0,0
sophie-c,2,2,6,7
zhang-shui-sheng,0,0,0,0
zhang-yida-65,0,0,0,0
jack1987,2,2,6,2
jujie-su,0,0,0,0
zhang-liang-98-91,6,6,6,1
lan-xin-47,0,0,0,0
shuang-leng-chang-he-24,0,0,0,0
qiu-lin-97,0,0,0,0
sunzhongyi,0,0,0,0
sunnyprince,5,5,3,8
wang-xin-77-6,1,1,2,0
lpgray,11,11,73,34
jinzhucui,1,1,19,11
yun-wang-34-61,0,0,0,0
zhou-tian,0,0,0,0
zhu-guo-feng-43,0,0,0,0
bianxingren,3,3,2,1
hai-yang-xun-shou-shi,6,6,11,3
wu-wei-48-93,1,1,5,0
he-yuan-41,1,1,2,0
chen-man-5,0,0,15,10
di-hong-wei-44,0,0,4,1
li-xiao-jun-16,0,0,0,0
liu-zhe-27-5,0,0,0,0
yang-zhao-36-33,0,0,0,0
huo-chai-a-meng-1,0,0,0,0
wei-an-ni-42,0,0,0,0
jiang-zheng-rong-sui-yue,1,1,0,0
bai-li-kong-kong-er,0,0,1,0
zhou-zhou-68-34,0,0,0,0
ebbl,1,1,2,1
li-lin-73-11-96,0,0,0,0
si-ma-gong-zi,1,1,5,0
gen-gen-89,0,0,0,0
chouhaizi,0,0,0,0
taodui,2,2,2,6
zhu-zhi-liang-56,0,0,4,0
liu-he-lei,0,0,0,0
ma-lin-69-50,0,0,0,0
lu-shuang-1993,4,4,1,1
wehappy,102,102,116,61
zhang-ding-rui-63,6,6,1,0
yuanzelu,3,3,0,0
xie-wei-you,2,2,106,19
