user_id,followers,asks,answers,goods
niu-jia-min,0,0,0,0
qinzixin,4,5,19,2
peng-jun-bo,0,0,0,0
feng-zhong-ke,50,1,39,1083
jiang-jie-60-68,0,0,0,0
hongfei-zhang,6,0,3,0
wu-qian-35,48,10,44,23
killuaquoll,9,2,8,37
lu-da-yu-89,1,0,0,0
alaior,15,0,0,0
fu-fu-95-78,0,1,0,0
duncanzhang,1673,7,193,2211
liu-wei-70,0,0,4,0
su-qing-jia,1,3,1,0
bixing-yan,6,2,7,7
talentygw23,11,0,10,3
enokitsu-kanon,5820,4,363,10204
zhang-a-zong,0,0,0,0
abyss-1314,0,0,0,0
zhang-san-feng-55-47,0,0,0,0
bu-si-niao-18,0,0,0,0
xue-guo-zhi-3,0,0,0,0
wu-shi-66-9,0,0,7,0
wang-qing-ting-13,0,0,0,0
liuyaping,1,1,32,824
yilee,0,0,0,0
sirius_7,9,9,35,207
zhang-peng-lei-9,0,0,0,0
lankyzheng,0,0,4,2
li-shuang-xing,0,0,0,0
reeboo-24,0,0,0,0
joseph-2,1,1,0,0
sunseekerns,0,0,1,0
KoTseng,0,0,1,0
wan-xiao-jun,0,0,2,1
dirtyslimkid,7,7,18,3
zhang-jian-feng-80,0,0,0,0
wen-yi-28,1,1,0,0
ttle-sea,0,0,0,0
lostxu,0,0,0,0
leo-35-57,2,2,0,0
missnie0914,0,0,0,0
djx-daniel,0,0,0,0
jenns,0,0,0,0
tao-xiao-8,1,1,7,0
tafangx,2,2,5,37
samclock,1,1,1,0
serena-lu-28,0,0,0,0
cheng-jing-43,8,8,23,37
zana,0,0,0,0
li-yihuan,0,0,1,0
chen-xx-81,0,0,0,0
da-nan-58,0,0,0,0
mu-xiao-juan,1,1,5,30
william-zhu-82,1,1,1,0
xiao-yao-leng-yue,1,1,0,0
xing-ren-jiang-9,0,0,1,0
haoo-71,21,21,147,85
qiu-qi-ya,0,0,2,0
yao-xiong-36,0,0,0,0
linkwun,13,13,58,1912
yi-wan-25,0,0,0,0
zhang-qian-5-54,0,0,0,0
wu-hua-xiang-41,0,0,0,0
halien,0,0,1,0
da-mao-71-8,4,4,2,0
long-mao-fan,0,0,1,0
yming-zh,0,0,1,0
kitschypathos,0,0,1,0
nuit-la,1,1,1,3
feng-yu-qiao,2,2,24,11
liu-zhe-80,0,0,3,0
yan-yu-dong,3,3,1,0
li-ya-li,0,0,0,0
lu-xin-86-86,2,2,6,8
jizj,0,0,0,0
lu-fengc,0,0,0,0
sunnysunshine,0,0,3,2
around,0,0,0,0
leizhu-sun,0,0,0,0
liu-zhe-fan,0,0,0,0
xie-mi-feng,1,1,13,1
zhang-xiao-nong,0,0,1,1
jiatian-hao-35,0,0,1,0
zhou-ya-6,0,0,4,2
yue-ya-31,0,0,1,1
wang-guang-yang,0,0,0,0
moguangyong,1,1,0,0
zhang-bo-lun-66,0,0,0,0
a-ng-56,0,0,0,0
liang-yi,1,1,0,0
ivan-yan,0,0,1,0
xing-yu-chen,0,0,4,2
relex,1,1,85,252
li-da-dan-80,0,0,20,1
luo-yu-bin,0,0,0,0
xiao-hao-38-40,0,0,0,0
xie-da-xia-71,1,1,0,0
jiong-mo,2,2,5,1
cui-yue-55,4,4,4,1
kaka-87,0,0,1,1
tang-ze-84,0,0,0,0
jin-ci-1,0,0,0,0
wang-chen-xi-80-55,0,0,0,0
hui-se-31,1,1,0,0
hfcorriez,3,3,15,20
wang-han-xian,0,0,28,345
echo-bai,1,1,1,0
killislove-64-27,3,3,0,0
wang-yue-79-86,1,1,1,3
TungWah,0,0,0,0
yan-hui-bin-22,1,1,2,0
li-rui-xiao-39,0,0,0,0
xu-long-hui,2,2,4,0
hua-yang-11-29,0,0,0,0
kou-yong-mu-mei,0,0,0,0
cheng-er-hei,2,2,3,1
leizca-ai,0,0,0,0
he-chuan-7,2,2,1,0
lao-yao-70,0,0,0,0
francisqu,0,0,9,6
ding-ru-60,4,4,4,0
li-jun-qing-52,19,19,61,126
yi-xi-74,0,0,1,0
yanziqin,3,3,0,0
purificent,0,0,0,0
yuqinweb,4,4,4,0
lomolife,0,0,0,0
li-a-da-9,14,14,2,3
iamjerryliu,0,0,0,0
enyor,0,0,1,6
wang-yuan-44,1,1,2,3
liang-yi-44-78,1,1,5,2
hu-bu-wei,8,8,15,10
bryan-42,0,0,0,0
youkaa,0,0,12,5
moxqing,0,0,0,0
lytous,6,6,100,1344
