user_id,followers,asks,answers,goods
arenshiwo,38,8,38,52
hu-jasmine,1,0,2,0
zhou-rui-jin,360,42,125,166
gu-min-ming,5,0,0,0
ourdearamy,253994,471,385,11355
liangxuzhi,2332,12,167,1364
evenstar,12348,42,664,12359
raymond-wang,249693,91,1682,65475
hsiaofan,3209,24,509,2521
Rex.huang,1363,9,111,656
alang,225,9,579,937
liu-hang-80,279,3,3,2594
fan-zhi-xing,74,14,13,25
rickyliu,1024,22,779,1108
jiang-fang-zhou,100774,11,62,18844
kennethtse,1361,2,1875,7617
zheng-wei-46,2,0,0,0
lisa-zhang-17,24,1,0,0
echo-lee-61,2,2,0,0
yang-xuan-78,10,6,5,5
wang-ting-ting-28-65,1,1,152,177
shizhao,35,35,258,639
winsunchen,102,102,177,709
jiang-yue-ping,0,0,9,169
yang-hong-tao-19,0,0,3,21
sharkui,0,0,21,2524
thexihexi0,79,79,66,96
liubinke,6,6,17,3
jiangyang,5,5,124,774
xie-dan-9,30,30,325,831
yemo,7,7,40,77
zhuang-biao-wei,61,61,1044,28756
xiao-pi-56,6,6,90,591
jiechen,10,10,70,120
gaohanyu,91,91,109,9839
lsun,12,12,321,482
cuisaihu,2,2,54,32
wyjsusan,3,3,15,24
fengyuqing,5,5,1,0
jianlei,0,0,6,1
pa-chong-yu-zhi-hu,0,0,0,0
zhu-min-xue,1,0,0,0
liao-lei-4-30,0,0,0,0
huang-shu-qing-85,0,0,0,0
eric-ann,40,0,35,339
lin-wu-shuang-23,1,0,0,0
xian-shi-37,0,0,0,0
ren-jie-stronge,2,3,13,2
bai-jia-po-niang-gong,1,3,0,0
wang-bu-zi,2,7,9,0
yu-yu-18-50,0,0,0,0
shi-yi-qin-42,0,0,0,0
lzx0381,14,0,7,74
bai-lang-67,13,16,24,12
wang-meng-ying-94,0,0,0,0
yinwei,111,4,24,18
chen-san-qi,1,0,0,0
hao-xun-xian-ren,0,0,0,0
zuohu-du,1,0,0,0
lao-wang-97,0,0,0,0
qiu-xu-10,3,1,6,4
kingleung,1,0,5,3
yang-xia-30-87,2,0,1,0
rayxu,7,0,3,2
wang-zhi-chao-2,6,0,0,0
qu-gao-he-gua,1,0,0,0
jamesky907,17,2,19,39
garnett,13,1,0,0
zhoujier,9,0,0,0
yeye11,0,1,0,0
lifeisnew,11,0,4,4
min-shu-45,2,0,0,0
wang-wei-xiong,25,4,2,2
dong-ju-83,0,0,0,0
bu-zhi-15,0,0,0,0
wen-min-2013,0,0,1,0
tracy-guo-96,5,0,16,4
bu-zhe-teng,3,3,1,0
cai-ji-min,6,1,1,8
shi-yun-yu,94,4,2,477
rocky-5,0,0,32,327
wang-zhi-yang-40,9,9,62,59
guanxy,6,6,362,1738
wang-wei-xing,0,0,12,127
caramelgrace,110,110,254,7566
xie-xiao-gu,1,1,7,131
kinvy,4,4,7,4
