user_id,followers,asks,answers,goods
jia-yibo,36,2,28,79
haochen-liu-39,542,12,237,3235
wannian,301,5,49,871
wang-liang-liang-87,76,3,4,279
quenzale,395,1,79,401
qin-qiu-90,10,1,1,18
zhu-xiao-jie-59,146,0,1,1778
gongzidabai,258,4,522,654
chinamaxli,82,3,12,319
sean-xu,70,1,9,27
franklin-yan,458,55,293,1876
ma-chi-61,18,0,9,21
phil_joe,914,11,1386,3924
brain_compass,407,0,0,28
daisysay,9,1,9,5
wei-xiao-ma-49,7,0,1,15
wushuang64,26,1,3,5
jayzeng,1056,0,84,5756
lin-y,26,0,12,123
zhao-ming-deng,29,0,0,0
fan-xiao-ting,2,2,32,3321
AirS,3,3,74,437
dan-che-che,0,0,1,162
zhao-xiao-qiao-15,0,0,0,0
liu-hong-cheng,25,25,50,5221
huangxisheng,39,39,93,919
chensf,0,0,1,15
yin-sang,8,8,17,242
liyinwind,10,10,138,3229
foxsshome,1,1,2,1965
he-raymond-18,1,1,10,112
pgmoses,3,3,12,115
yu-zheng-yi,0,0,0,0
shandabao,0,0,99,176
rainee-jiang,6,6,44,8684
ashhe,0,0,11,893
zhang-liang-54-7,15,15,78,121
shuang-de-tai-zi,0,0,2,19
zhang-yu-41-68,4,4,17,37
chenhui-cfp,0,0,2,43
chen-xiang-zhi-32,0,0,0,0
tang-bao-yun,0,0,0,0
jinna-zhang,0,0,0,0
feng-yi-46-73,0,0,0,0
liu-wen-zi-82,0,0,0,0
zhang-jiang-yong-78,0,0,0,0
cai-wei-jie-16,0,0,0,0
qu-cen,1,0,0,0
yizi-ma-92,0,0,0,0
yuan-wen-jun-64,0,0,0,0
li-li-ren-60,0,0,0,0
yan-yun-11,0,0,0,0
lan-yi-qing-55,0,0,0,0
jia-du-71,0,0,0,0
zhao-long-92-99,0,0,0,0
yao-ding-53,0,0,0,0
mi-ya-71,10008,0,1,294
xu-yi-wen-16-19,0,0,0,0
chen-chen-97-34-85,0,0,0,0
sun-wei-15-25,0,0,0,0
yang-ce,0,0,25,43
flyingrabbit,65,65,75,1747
i19-op,4,4,38,82
awesome-chacha,7,7,0,0
siyin_automan,1,1,13,53
BlackCloak,0,0,79,21755
zhonghairong,16,16,35,97
zeng-jing-lin,9,9,29,368
yang-jia-min-67,0,0,2,67
jiejie_my_lover,11,11,84,20251
nbht,0,0,23,816
zihaolucky,4,4,19,292
wu-yu-an,16,16,28,17397
stanley-49,3,3,3,123
zhang-___-fan-2,0,0,28,126
shenpp,74,74,17,1519
JimJ,27,27,41,663
GeoffreyR,3,3,96,3485
hai-can-bao-76,6,6,33,11783
AmberChu,9,9,24,38
zhang-yi-da-8-37,0,0,0,0
liao-shu-li,0,0,0,0
liang-fei-11-1,0,0,0,0
li-chao-4-49,0,0,0,0
darlingsu,0,0,0,0
krischen,0,0,0,0
wang-xiu-xiu-46,0,0,0,0
wei-jia-hong,0,0,0,0
shui-cheng-71,0,0,0,0
tan-wen-45,1,0,0,0
wang-xiao-yu-43-8,0,0,0,0
wei-cong-cong-88,0,0,0,0
qi-xiang-xiang-27,0,0,0,0
space-shuttle,0,0,0,0
san-shi-er-kai,0,0,0,0
sui-xin-45,0,0,0,0
innohyh,4,0,0,0
yan-li-guo,0,0,0,0
yan-qing-53,0,0,0,0
gu-shan-33,0,0,0,0
yang-shu-rui,1,1,10,2
wangyoang,3,3,17,52
li-jiang-96,6,6,46,46
scott-62,0,0,34,495
sleepingknight,19,19,234,3849
irisruoxiwang,0,0,35,10
zhu-hai-76,3,3,38,47
sandman-li,25,25,0,2633
xu-shuang-8,3,3,121,629
zhengjintiao,2,2,65,1927
tang-xun-65,0,0,8,1144
su-qi-21-57,0,0,11,0
yuande,5,5,6,11
fredli-39,3,3,14,61
wuvist,6,6,201,1574
lou-xiao-ming,1,1,13,29
cecilia-97,1,1,16,87
Jazzlover,0,0,68,27491
lin-zi-qiao-12,0,0,5,212
jin-du-jiang,9,9,26,3197
wan-wan-97-11,0,0,14,48
liu-yu-wei-80,0,0,0,0
xu-zi-yao-55,2,0,0,0
xx-xx-33-34,0,0,0,0
xiao-zhong-zhu-ge,3,0,8,2
ma-zhi-yuan-18,0,0,0,0
xu-an-jing-16,0,0,0,0
yizhi-hu-60,0,0,0,0
wen-jin-tian,0,0,0,0
lai-wo-jia-wan-hao-ma,0,0,0,0
mo-shang-chen-93,0,0,0,0
ma-miao-98,0,0,0,0
lin-zhi-cheng-huiyi,12,2,21,10
jin-ge-99-10,0,0,0,0
miao-chen-12,0,0,0,0
johnlu-zi-er-dan,0,0,0,0
teng-yuan-zhi-shu,0,0,3,3
lee-lee-2-66,0,0,0,0
song-a-bin,0,0,0,0
yoyo-gtm,0,0,0,0
zhang-chun-yue-19,9,9,15,22
meng-cheng-28,1,1,15,4
shi-hang-59,0,0,2,264
zhang-yu-feng-83,2,2,63,2291
antonia,4,4,36,786
zhang-hong-sha,8,8,18,135
he-lian-bo-bo-da-wang,5,5,19,5
che-nue-er,9,9,20,9
poesia-people,1,1,0,0
yang-jie-51-30-45,5,5,28,25
chentao91,0,0,2,156
chinanhumoren,13,13,172,883
qinghuan1211,4,4,67,10746
joey-8,12,12,37,218
followstars,0,0,515,5644
an-ran-15,3,3,16,10
yunqi608,4,4,70,4230
chen-dao-yang-10,0,0,4,22
789456123,4,4,19,245
yang-yang-4-75,5,5,22,321
yang-xin-77-67,0,0,0,0
xia-yi-hang,0,0,0,0
chou-zhe-68,0,0,1,0
lan-cang-97,0,0,0,0
cooler-das,0,0,0,0
lin-le-tian-50,0,0,0,0
zhu-shuai-63,0,0,0,0
xing-ming-13-51,0,0,0,0
zhao-kun-31-94,0,0,0,0
qing-shui-pao-xiao-seng,0,0,0,0
ceng-xiao-bao-4,0,0,0,0
mou-yi-han,0,0,0,0
sei-kyo,0,1,0,0
lei-ren-yuan-87,0,0,0,0
warrior-fys,0,0,0,0
mike-yang-19,0,0,0,0
hao-xiao-feng-5,0,0,0,0
zerotown,2,1,0,0
xing-ming-85-46,2,0,0,0
wed-sun,0,0,0,0
chen-yu-xiu-8,7,7,127,11840
celes-chan,0,0,13,61
macing,0,0,2,176
dwoo,1,1,80,1179
feng-lai-71,0,0,3,5
jefferyh,2,2,11,30
xiaoyang-89,3,3,67,232
wang-mai-mai-70,2,2,11,45
wei-bo-de-yi-shu,5,5,462,1381
ju-xuan-ya,0,0,33,451
liveyee,7,7,68,1018
hao-zi-29,0,0,58,1273
keda,0,0,13,603
yuki-umi,0,0,3,167
yu-yi-7-99,2,2,26,38
wei-jie-78,0,0,81,3178
hanwuhua,3,3,27,92
hasuran-li,1,1,92,3777
northup,8,8,38,182
wang-fu-gui-95-3,2,2,191,3544
sofa-xu,0,0,0,0
zuo-an-ka-pei,6,0,16,23
xiaotianxiao-tian,0,4,5,0
a-piao-62,0,0,0,0
ha-ha-10-18,0,0,0,0
zhang-jian-zhang-jian-25,0,0,0,0
melissa-lee,0,0,0,0
feng-zhu-46,0,0,0,0
zang-wen-qiang,0,0,0,0
chen-kai-85-11,0,0,0,0
dong-yao-cong,0,0,0,0
zhou-rui-18-95,0,0,0,0
fang-yin-63,0,0,0,0
yan-dong-jin-chu,0,0,0,0
peng-wen-34,0,1,0,0
qiu-di-57,0,0,0,0
li-xin-hua-63,0,0,0,0
zhou-da-lu,0,0,0,0
yu-qi-chao-43,0,0,0,0
wang-xi-tang,0,0,0,0
yin-xiao-hua-97,0,0,0,0
guangdao-bao,0,0,0,0
gao-ling-61-3,0,0,0,0
li-gang-37-19,0,1,2,0
huang-er-tiao,4,1,2,0
xu-li-62-94,0,0,0,0
tan-zhi-yi-97,0,0,2,0
teddy-he,0,0,0,0
li-xiao-fan-3,0,0,0,0
wang-yi-li-5,7,1,15,27
da-qian-qian,0,0,0,0
fejie1988,7,10,13,9
li-yu-hao-23,0,0,0,0
rome-han,0,0,0,0
li-yang-94-91,0,0,0,0
lin-yi-65-24,0,0,0,0
deng-yi-20,0,0,0,0
long-mei-wen,0,0,0,0
xi-lin-25,0,0,0,0
gong-wei-58-78,0,0,0,0
huang-ming-jie-82,0,0,12,261
xzwxz,10,10,211,38146
ai-mi-kai,7,7,169,329
hua-tun,2,2,77,532
derk-zech,4,4,43,286
zhanghe4,2,2,18,158
deepqiu,0,0,9,129
shen-du-21,0,0,0,0
wu-bin-4-64-30,0,0,5,36
haiyingtina,0,0,1,8
wang-lei-75-12,0,0,5,29
xubowen,3,3,62,22580
archie-mok,3,3,29,565
wangxuejiao,21,21,45,1313
gu-bo-77,14,14,98,573
zhang-hao-qian,0,0,38,465
mu-xiang-82,0,0,7,79
hangjia,2,2,67,196
busch,2,2,19,3512
mao-xue-lu,1,1,75,86
zhang-de-cheng-98,0,0,0,0
pei-yun-95,0,0,0,0
Jasonwang123,0,3,2,0
ye-si-ai-du-77,0,0,0,0
qi-qi-ta,1,0,0,0
zhang-shuai-5-85,0,0,0,0
mei-zi-43-78,0,0,0,0
zhan-xiao-rong,0,0,0,0
xiao-shu-niang-niang,0,0,0,0
cha-cha-69,0,0,0,0
xia-xia-27-79,0,0,0,0
wang-mei-li-74,0,0,2,0
yang-xiao-feng-11-49,0,0,0,0
xi-men-qing-19,0,0,0,0
wealong-c,2,1,10,5
chen-guo-qing-95,0,0,0,0
hou-mei-44,0,0,0,0
liu-wen-ying-99,0,0,0,0
zhang-yu-8-33,0,0,0,0
cast007,0,0,0,0
leocc,36,36,115,7976
lachesis,6,6,155,810
dalan,1,1,6,231
haighs,0,0,26,992
iwork,1,1,2,5
XC911,1,1,155,1566
xia-mo-feng,0,0,0,0
homepage,7,7,56,1783
zhang-yibai-96,0,0,9,1111
ecxa09,20,20,6,65
li-xian-hui-57,0,0,2,0
zhu-xuan-86,2,2,75,80062
euterpe-liu,1,1,2,3
wooddy,5,5,5,108
ding-man-42,2,2,4,1
sundance1000,14,14,249,3330
antant,32,32,92,4266
shaoxuan,0,0,2,0
musichen,0,0,10,18
noahgu,1,1,20,8770
xiao-chen-39-13,0,0,0,0
zhou-jin-jin-56,0,0,0,0
wang-hai-93-10,0,0,0,0
hsiaomin-chen,0,0,0,0
liu-zhao-yang-96,0,0,0,0
ju-shi-lei,0,0,0,0
shi-wei-88-39,0,0,0,0
yao-dou-60,0,0,0,0
yu-yang-yang-73,0,0,0,0
xu-wen-qi-61,0,0,0,0
song-jing-82-63,0,0,0,0
tang-dou-87,0,0,0,0
alice123-45,0,0,0,0
ak47-90,0,0,0,0
yang-ende,0,0,0,0
han-zhu-12,0,0,0,0
xu-jiu-jiu-32,0,0,0,0
pewu,4,4,18,12058
xiang-ya-xian-65,0,0,0,0
liangyi9527,1,0,0,0
zhang-wu-wu-46,0,0,0,0
meiyouzhuya,98,98,122,8221
ca-ca-26,0,0,94,3587
tian-yuan-dong,0,0,2,15
wu-xi-zi,0,0,3,140
yang-kun-06-28,0,0,43,25
kichiku,4,4,205,10509
povesa,0,0,0,0
sylvia-yang,2,2,15,15
li-cheng-min-8,0,0,1,0
qiu-49,1,1,33,56
li-zuo-le,1,1,22,70
silu-liang,0,0,9,413
light-alice,1,1,5,894
yang-fu-cheng-80,4,4,5,3
tsingson,0,0,16,30
sylvieduan,2,2,28,512
kangweiping,0,0,4,16
mako,7,7,27,96
ma-shuang-yang,2,2,19,127
wang-ru-jun,0,0,1,9
rui-yu-33,0,0,9,13
justin.yu,0,0,6,255
oooz,53,53,220,678
he-xin-95,6,6,43,779
sunruit,0,0,27,212
fang-ying-yuan,0,0,28,177
