user_id,followers,asks,answers,goods
liuxinzheng,11950,56,549,18059
gao-jia-lu,8,0,0,0
mingyupku,25,0,8,7
commando,143577,27,816,62831
li-xin-yang,528,26,82,1460
sakinijino,355,0,21,459
starit,47,14,48,63
lianghai,57681,129,1530,23609
xu-bin-68,6,0,1,0
ripley,11381,12,209,1554
mengfanyi,72,3,90,156
yang-ya-peng,22,0,0,0
zhang-yong-hao,226,19,27,372
wang-jiao-hong,4,0,0,0
wang-huai-76,8624,2,8,388
hughlv,69,0,5,25
zhou-yun-zhe,339,1,0,0
tarwon,722,12,75,837
kongqi,153,15,167,375
wangxiao,81,13,3,0
xie-wen-sen,2,4,3,3
xiong-yafeng-1990,0,0,1,0
mu-ning,1,0,0,0
donny-hu,0,0,1,0
chen-justin-71,0,0,0,0
li-jia-chuan,0,0,0,0
wang-rong-quan-23,0,0,0,0
gun-gun-35,0,0,0,0
li-chen-49-87,0,0,0,0
luo-li-68-86,0,0,0,0
yyqk,4,1,2,4
dieyumenglan,17,0,1,3
daisy-lazy,0,0,0,0
sama-kami,0,4,1,0
lee-2,6,11,43,16
tang-jing-lei,0,0,0,0
norsie,6,1,8,8
jayyu-free,2,2,0,0
feng-gang-26,0,3,3,0
chen-qian-8,16,5,4,2
mengqingyu,1,1,0,0
li-song-wei-11,3,3,83,28097
li-hong-dou,1,1,49,464
PengObama,2,2,1,2
zhao-ji-cheng,1,1,3,6
wang-zhen-ya-94,17,8,23,28
liu-hua-33-83,0,0,0,0
hidecloud,15,15,85,1694
paicha,105,85,38,320
zhi-dao-hu-2,3,0,0,0
xu-shu,10,10,38,202
he-shi-21,0,0,0,0
kai-lukoff,2,2,2,9
yu-xin-76,8,0,0,0
hepo,0,0,25,39
gareth-chen-99,0,0,0,0
wayneshiong,8,8,59,1129
terrytowne,0,0,0,0
jiaken,0,0,0,0
xu-zhou-417,11,0,8,23
jennypiglet,0,0,15,54
triangle-a-d,0,0,0,0
isundefined,6,6,46,217
cang-zhu-xie,35,16,30,27
tong-yu-xing,0,0,0,0
a-di-li,22,0,8,4
guo-bei,10,10,8,337
wang-xiao-quan-8,0,2,0,0
wen-qin-8,0,0,0,0
imzxd,36,36,101,330
uxworks,16,16,98,1687
tsen-43,5,0,3,0
zouyu,17,17,20,35
nomessi,2,2,25,22
shan-shi-15,0,0,0,0
jincute,1,1,10,6
lee-adama,0,0,0,0
kevincs,10,10,11,1
pan-che-46,10,0,2,46
rui-yan-33,0,0,0,0
gao-yan-35-73,0,0,0,0
deutsch-99,49,1,53,168
leo-37-55,10,3,5,3
xiao-lu-86-41,0,0,0,0
wen-shao-xuan,0,0,0,0
wang-yan-feng-89,0,0,1,0
liu-jian-ming-80,0,0,0,0
tylerchuh,7,2,12,5
yu-yu-18-50,0,0,0,0
deng-wen-xiang,6,1,4,4
fu-hong-hai,0,0,0,0
jayinton,7,0,7,2
wang-bo-53,18,5,2,0
zhu-rong-zheng-28,2,1,1,0
haixuan-gao,0,0,0,0
lu-zhan-bo-48,0,0,0,0
fcw-fcw,0,0,0,0
wang-meng-ying-94,0,0,0,0
li-yuan-hui-14,0,0,0,0
oneway,48,2,23,3
xu-xiao-ying-16,0,0,0,0
shi-tian-10,1,1,0,0
zhihu_lxl,62,36,18,284
bluedesign,7,0,1,0
gong-sun-gong-zi,0,0,0,0
orzlong,0,2,3,1
mu-yu-81-25,17,1,0,0
jinkeluck,7,0,0,0
xin-mu-78,0,0,0,0
hz-zhang,0,0,0,0
tao-ge-79,0,0,1,0
inckio,13,0,5,4
hai-tian-31,27,0,0,0
v5liyang,61,13,47,49
wang-xiao-yi-75-46,0,0,0,0
li-sheng-90,0,0,0,0
wang-shu-yan-78,0,0,0,0
l-june,0,0,0,0
JonyKeo,0,0,0,0
zhe-ye-47-18,0,0,0,0
