user_id,followers,asks,answers,goods
qi-qi-83-33,0,0,0,0
tian-peng-65-6,0,0,0,0
mourvedre,0,0,0,0
elenor-dear,0,0,0,0
yue-guang-15,0,0,0,0
qing-yin-xian-sheng,0,0,0,0
bei-yu-97,0,0,0,0
xiang-xx-64,0,0,0,0
ji-yu-chao-89,0,0,0,0
zhang-ya-ya-97,0,0,0,0
zhang-yi-da-65-75,0,0,0,0
zou-xing-yu,0,0,0,0
mu-ge-ren-69,0,0,0,0
cao-yu-xin-70,2,0,0,0
xiao-fei-96-78,0,0,0,0
sui-bian-ba-43,0,0,0,0
chen-yu-fan-68,0,0,0,0
zhang-hao-2-73-62,0,0,0,0
wang-mei-60-81,0,0,0,0
liao-hai-hua,0,0,0,0
chu-xiu-hong-56,0,0,0,0
yxzhu-cheung,0,0,1,0
kai-xin-guo-32,0,0,0,0
zhang-pei-yi-94,0,0,0,0
cui-mian-mian-45,0,0,0,0
wan-zhu-17,0,0,0,0
wen-jian-sheng,0,0,0,0
du-gu-7,0,0,0,0
liu-liang-chuan,0,0,0,0
jiang-le-jun,0,0,0,0
lu-yun-liang-91,0,0,0,0
jackyshi,0,0,0,0
jin-jin-32,0,0,0,0
yi-ge-ge-68,0,0,0,0
xiao-quan-84,0,0,0,0
zhou-biao-10,0,0,0,0
susu-lin,0,0,0,0
zhan-shu-han,0,0,0,0
liu-qian-75-5,0,0,0,0
huang-tatw,0,0,0,0
zhu-yuan-40-41,0,0,0,0
lu-shen-42-98,0,0,0,0
lu-xuan-54,0,0,0,0
ma-chuan-qi,0,0,0,0
wen-wen-67,0,0,1,0
zhang-da-meng-zi,0,0,0,0
fei-xiao-shui,0,0,0,0
azusa-yellow,0,0,0,0
yiling-44,0,0,0,0
ren-zong-ben-ren,0,0,0,0
han-xiao-li-21,0,0,0,0
li-zhen-zhen-73,0,0,0,0
wang-xing-yi-13,0,0,0,0
wen-wen-38-47,0,0,0,0
hu-fei-jun-40,0,0,0,0
mai-mai-86-6,0,0,0,0
sh-jing,0,0,0,0
wen-dao-12-57,0,0,0,0
wang-tian-yi-44-98,0,0,0,0
ha-luo-ke,0,0,0,0
cheng-xin-69,0,0,0,0
xiao-gua-86-65,0,0,0,0
su-qi-36,0,0,0,0
peng-bo-yu,0,0,0,0
cheng-shan-69-10,0,0,0,0
zhang-lu-40-25,0,0,0,0
xian-zhi-hu-17,0,0,0,0
chen-wei-zhen-24,0,0,0,0
meng-niu-53,0,0,0,0
wang-xin-zhen,0,0,0,0
liu-lian-56,0,0,0,0
li-lei-kai,0,0,0,0
luo-peng-zhao,0,0,0,0
lenny-leng,2,2,3,53
su-amily,0,0,0,0
chen-an-qi-47-41,0,0,0,0
chen-jian-ming-46,0,0,0,0
sun-min-min-67,0,0,0,0
zhang-lu-69-93,0,0,0,0
niu-rui-90,0,0,0,0
cao-qi-feng-35,0,0,0,0
cai-xing-mo,0,0,0,0
chen-zhuo-12-15,0,0,0,0
zou-yun-hui-1,0,0,0,0
bu-er-zhi,0,0,0,0
bu-ya-wei,0,0,0,0
jin-dao-qi,0,0,0,0
qiu-qing-29-40,0,0,0,0
ge-ge-89-25,0,0,0,0
li-mu-zi-cao,0,0,0,0
xie-ke-20-1,0,0,0,0
xu-ben-ben-66,0,0,0,0
li-sheng-95-74,0,0,0,0
yan-sun-hao,0,0,0,0
liu-luo-ran,0,0,0,0
ge-shang-44,0,0,0,0
dan-jie-51,0,0,0,0
xia-tian-30-48,0,0,0,0
zai-wu-de-hou-de,0,0,0,0
bei-wo-li-de-xiao-xi-gua,0,0,0,0
ling-xiao-8-54,0,0,0,0
wang-yi-11-41,0,0,0,0
li-chao-97-61,0,0,0,0
chen-ting-ting-31-81,0,0,0,0
wu-shuai-47-31,0,0,0,0
shu-shi-qi-4,0,0,0,0
zhu-jin-cheng-7,0,0,0,0
ji-xue-ping-24,0,0,1,0
dashi-huixing,0,0,0,0
nan-ge-zi-53,0,0,0,0
yuan-jia-wen-98,0,0,0,0
y-yy-why,1,1,4,0
bing-bing-68-65,0,0,0,0
tu-tu-6-55,0,0,0,0
zhang-xiao-jun-98-92,0,0,0,0
han-ling-49-78,0,0,0,0
li-gang-qiang-87,0,0,0,0
ladyli-rou-rou,0,0,0,0
zhang-su-ling-46,0,0,0,0
du-lan-te-39-21,0,0,0,0
zhu-min-zhou,0,0,0,0
mo-chi-54,0,0,0,0
zhou-hong-11,0,0,0,0
yu-ye-20,0,0,0,0
huang-cheng-8,0,0,0,0
bu-zhi-ming-zi,0,0,0,0
mu-kou-zi-65,0,0,0,0
xu-yi-ru-99,0,0,0,0
hou-su-31,0,0,0,0
ying-xiong-57,1,1,2,0
zhao-xi-yue-64,0,0,0,0
li-zhi-hao-79-91,0,0,0,0
zhang-guang-yao-42,0,0,0,0
xiong-mao-7-46,0,0,0,0
tang-bi-xi,0,0,0,0
yan-wen-30,0,0,0,0
belong-wu,0,0,0,0
li-ke-89-19,0,0,0,0
qh-gqh,0,0,0,0
iken-seki,0,0,0,0
zhang-qi-46-40,0,0,0,0
zhang-li-19-9,0,0,0,0
liang-yun-44-34,0,0,0,0
liu-juan-74-25,0,0,0,0
han-yu-xiang-19,0,0,0,0
liu-mang-89-58,0,0,0,0
zhang-han-34-72,0,0,0,0
an-da-ren-91,0,0,0,0
han-dong-yan-56,0,0,0,0
wen-dao-48,0,0,0,0
tao-zi-9-55,0,0,0,0
mao-ge-46-63,0,0,0,0
liu-wang-hua,0,0,0,0
markselby,0,0,1,2
wa-li-39,0,0,0,0
neng-jacy,0,0,0,0
luo-li-qian-29,0,0,0,0
bu-de-bu-se,0,0,0,0
xia-an-39,0,0,0,0
xiao-yu-you-yong-jun,0,0,0,0
zhu-jin-zhen,0,0,0,0
yang-jing-66-5,0,0,0,0
su-zhi-min,0,0,0,0
ivy-huang-70,0,0,0,0
wang-yong-hui-85,0,0,0,0
rachel-yang-78,0,0,0,0
li-yuan-92-88,0,0,0,0
