user_id,followers,asks,answers,goods
wangyiding,294,4,141,541
an-jia-men-yuan,26662,1,71,29270
zhang-chun-34,26023,11,191,29847
alvin,408,22,24,103
magie,289890,74,819,61147
nuonuolili,22503,6,134,32654
lilyforever,2862,2,136,3077
ma-bo-yong,76777,1,29,57496
suyang123,5667,45,40,12088
liutingji,594,9,83,767
Beidou-Changxi,1375,7,93,8420
liu-shuang,10372,0,98,865
fabio,217,7,47,48
rosicky311,2869,1,156,2325
li-hui-63,10940,1,13,557
calliope,245192,2,158,89846
dasddas,17,10,1,0
celegorm,3878,0,33,1597
zhang-jia-wei,397709,0,1776,270921
xiaodaoren,245910,45,831,24083
vivian-jing,0,0,0,0
liu-zai-59,0,0,0,0
xie-xie-37-30,0,0,0,0
zang-hao-5,1,0,3,3
mo-yan-zhi-20,0,0,0,0
yang-li-73-10,0,0,0,0
mou-sen-60,0,0,0,0
ming-zi-36-32,0,0,0,0
wang-chou-78,0,0,0,0
dong-jun-lin-17,0,0,0,0
five2go,0,0,0,0
lin-li-jing,0,0,0,0
marsren-xin,5470,2,11,117
wang-da-chui-3-82,3,0,0,0
huang-jing-shan-22,0,0,0,0
tang-li-hua-32,0,0,0,0
searcher,1,0,0,0
mcfly-18,1,0,0,0
edison-wong-47,1,0,0,0
kai-wen-29,0,0,0,0
flytodie,4,4,101,607
moonmonster,7,7,34,5170
lfzeng,4,4,13,2
liuyingbo,12,12,74,148
junchen,0,0,12,28
yinfm,1,1,2,1
guangyao,3,3,7,16
photoxu,10,10,37,1664
xuweite,0,0,17,30
iamsujie,8,8,133,2332
sucb,0,0,4,3
wang-yifan-30,9,9,17,75
Steph,1,1,13,36
lian-chang-wang-jiang,12,12,100,928
unted,48,48,92,1299
jieli,1,1,102,362
kencdp,0,0,6,12
allenzhang,8,8,14,3236
qi-xiao-qikennyqi,22,22,42,341
burado,78,78,734,4931
li-da-bao-73,0,0,0,0
xie-xiao-peng-35,0,0,0,0
kui-en-64,10,10,31,15
you-jiao-bin,0,0,0,0
li-xiao-xian-54,0,0,0,0
zhan-meng-nuo,1,0,0,0
huang-rong-rong-17,0,0,0,0
quan-le-65,0,0,0,0
zhu-yuan-yu-run-xu-yuan-yuan,0,0,0,0
bao-xing-chen-45,0,0,0,0
wa-sa-bi-27,0,0,0,0
zhao-jing-jing-20,0,0,0,0
shi-peng-cheng-30,0,0,0,0
ding-tao-30,0,0,1,3
zuo-xiao-xin-5,0,0,0,0
li-hao-yu-55-19,0,0,0,0
liang-yue-35-93,0,1,0,0
zhao-yong-he,0,0,0,0
wang-yu-6-19-50,0,0,0,0
tsen-43,5,0,3,0
huzhuqing,0,0,0,0
wu-si-si,0,0,1,0
sophie522,2,2,0,0
yayahoney,0,0,0,0
nic_sky,2,2,2,28
yogool,1,1,9,20
wangbing-20,1,1,0,0
zengdonglian,1,1,3,1
hujiayan,14,14,16,5
qin-chuan,1,1,0,0
kingsir,0,0,0,0
gao-shan-716,0,0,1,0
anita,6,6,18,5
feir,21,21,58,215
zirquez,21,21,205,1961
ivysmile,0,0,2,2
inmay,3,3,35,299
izhidao,179,179,657,2612
dun-si-ji,0,0,2,2
liu_xin,12,12,46,87
lian-mian-2,0,0,0,0
yang-xiao-44,1,0,0,0
qing-ci-66-63,0,0,0,0
liao-da-wei-76,0,0,0,0
li-long-jie-62,0,0,0,0
du-liang-jie,0,0,7,1
liao-ai-di,0,0,0,0
zi-mei-35,0,0,0,0
zhihuwh,7,14,25,9
yang-wen-bin-3,0,0,0,0
jiang-tao-41,8,1,6,8
jiang-da-qi-60,0,0,0,0
zhang-yu-47-7,0,0,0,0
qiu-zhi-73-18,0,0,0,0
zhou-yi-74-68,0,0,0,0
ying-49,128,4,60,245
yang-ting-ting-6-78,0,0,0,0
hanbingjun,7,4,5,3
wen-quan-64,0,0,0,0
xi-lu-lu-64,0,0,0,0
zhang-kang-28,17,0,1,0
chen-sheng-zhi-68,0,0,0,0
resugary,6,2,2,4
xiong-31,0,0,0,0
yu-yu-18-50,0,0,0,0
yan-yu-lu-ji-wei-ran-yu-shi,0,0,0,0
zhuang-you-29,0,0,0,0
xu-kai-76-17,0,0,0,0
wang-xin-33-3,1,0,0,0
shi-yi-qin-42,0,0,0,0
li-yan-fa-41,0,1,0,0
da-zhang-ju-82,0,0,0,0
du-li-jun-76,0,0,0,0
zhao-da-yue,0,0,0,0
tong-yuan-liang-si-29,0,0,0,0
guo-xiao-min,20,0,7,2
cao-yuan-xiao-ye-lu-91,0,0,0,0
zhang-ran-8,5,0,0,0
yuan-bai-cai-36,0,0,0,0
a-nan-20,0,0,0,0
uitony,6,6,52,645
jackk294,0,0,0,0
yan-jun,0,0,0,0
gui-lin,1,1,0,0
qin-ying,0,0,0,0
nicklui,0,0,17,6
om19,6,6,81,292
lixiaoyue,1,1,10,5
zhu-xiao-cao,32,32,181,941
giulia-chan,1,1,34,154
xpli,2,2,1,0
nkchivas,2,2,35,73
angela-56,0,0,0,0
wang-li-43,0,0,0,0
xiaoduo,0,0,4,0
jia-dong-29,13,13,14,6
ta-la,1,1,0,0
meteorasy,0,0,3,1
rockele,0,0,10,4
shui-yang,0,0,25,99
wuwei,9,9,35,231
shenwei,0,0,0,0
mcliu,0,0,3,18
qiuqiu,20,20,58,77
fenglin,24,24,171,807
dosou,10,10,17,10
daxiong,29,29,324,5485
jary,3,3,7,17
ourdearamy,471,471,385,11355
lixiangmin,12,12,70,432
zhutou,27,27,33,20
5key,7,7,33,1040
pigtwo,7,7,20,61
mai8304,16,16,27,23
dowell,3,3,74,284
oxygen,236,236,376,4454
huairen,22,22,270,2548
yinzi,0,0,162,1480
whale,1056,1056,620,7373
xinghan,9,9,23,151
beta,14,14,46,190
cicada,17,17,48,607
keso,71,71,953,25316
elya,31,31,89,2281
