user_id,followers,asks,answers,goods
yin-ba-tian-28,328,0,8,942
neozhang,8724,26,62,536
Jazzlover,26632,0,68,27490
cheng-yi-nan,232471,16,463,41702
liu-ai-yu-40,2623,4,17,3805
mu-mu-87-98-18,973,3,6,776
chen-jing-er-66,4,0,1,5
eno-one,25620,0,3,378
lycheeorange,5884,4,162,14671
bing-bing-84-40,1824,0,11,4269
yaqiangyu,59,2,11,544
zhu-bo-tao,895,8,58,1571
yinwang0,6813,0,0,0
xiepanda,38878,23,208,54195
chen-nian-hui,379,1,60,1178
xuegefei,609,1,18,1913
BeatsRocks,127,1,1,941
zhou-kai-xuan-47,5807,0,25,1970
lemup,1355,0,31,3594
gao-ke-69,146947,22,156,22445
ll-ll-23,0,0,0,0
vivi-liu-20,0,0,0,0
tie-chui-79,0,0,0,0
xiao-zhuo-1988,0,0,0,0
xiaoforest,29,0,0,0
ruan-meng-ji,0,0,0,0
jgtm,168,0,9,59
zhi-hu-53-3,0,0,0,0
shi-hua-62,0,0,0,0
yin-yao-11,0,0,0,0
ma-jie-80-28,0,0,0,0
wang-ba-dan-37-56,0,0,1,0
vanny,113,5,9,97
xi-gui-97,0,0,0,0
li-chao-30-62-11,0,1,1,0
zhou-ke-ke-97,0,0,0,0
liu-zhi-qiang-37-78,0,0,0,0
2cat,1,2,1,0
du-yang-99-54,2,0,3,66
han-xiao-jie-29,0,0,0,0
he-xian-gui,0,0,0,0
he-demi,0,0,0,0
yan-ke-63,0,0,0,0
yao-cong-29,0,0,0,0
zuo-si-52,0,0,2,0
sai-sai-15-91,1,0,1,0
snow-li-68,1,0,0,0
liu-ming-tai,0,0,0,0
zhao-zi-jing-15,1,0,0,0
liu-wei-55-66,0,0,0,0
lin-feng-57-71,3,2,7,1
huang-jun-wen-15,8,2,5,5
zhang-yi-18,0,0,0,0
che-you-lu-30,0,0,0,0
wei-meng-12,0,0,0,0
dian-qi-shu,0,0,0,0
xu-yi-jia-60,5,0,0,0
carol,53,0,3,1
aaron-19-19,4,0,2,4
peng-la-na,1,0,4,1
shang-ai-lan,5,5,76,10923
diao-ye,1,1,13,1942
tongeril,15,15,21,316
wang-zi-ru,0,0,6,2640
yang-cong-quan-man-tou,59,59,424,6575
zhuxiaobao,0,0,223,50425
opinion,9,9,74,6069
azorey,13,13,18,3117
tifan,3,3,19,784
dingge,22,22,254,19813
nawong,0,0,11,93
chibole,8,8,74,23164
yolfilm,91,91,1511,230314
wang-ge-24,1,1,0,0
akirachang,58,58,89,3623
wanderer,114,114,323,2174
liu-ye-feng,9,9,23,1810
iissii,0,0,16,1041
zhang-chun-34,11,11,191,29847
dean1715,0,0,20,2354
snenlv-sha,1,0,0,0
tang-quan-66,0,0,0,0
siqi-zhu-70,0,0,0,0
li-xin-chao-91,3,1,0,0
ni-bu-kuai-dian,0,0,0,0
bronwyn,1,0,0,0
li-yong-ling,0,0,0,0
tsen-43,5,0,3,0
yu-s,0,0,0,0
guo-han-dong,0,0,0,0
yang-ku-qi,0,0,0,0
tang-yi-93-25,11,0,11,2
xiao-chang-jian,2,0,0,0
chen-cheng-37-78,1,0,0,0
xie-lin-97,0,0,0,0
guo-zun-69,0,0,0,0
che-qiu-yun,0,0,0,0
wang-guo-long-72,0,0,0,0
tao-si-qi,0,0,0,0
juan-mao-57,1,0,0,0
liu-meng-hua,27,7,24,7
liu-jian-zhi-53,0,4,1,0
cao-zi-35,0,0,0,0
er-xuan-48,0,0,0,0
yan-xi-16,0,1,2,0
zhang-li-sha-51,0,0,0,0
pengjie-chen,0,0,0,0
sheng-hu-che,0,0,0,0
zhiyuan-huang,0,0,0,0
a-tong-tong-53,2,0,0,0
chen-mian-zhu,0,0,0,0
lq-lq,5,1,14,7
duan-jun-32,7,1,2,0
gao-wei-jia,11,7,3,0
droseal,0,0,0,0
yu-han-70-10,0,1,0,0
qing-yu-ru-meng,0,0,0,0
lin-jia-ming-50,0,0,0,0
wujinlvcheng,1,2,4,12
ken-ding-ju,0,0,0,0
chen-cheng-28-83,1,0,1,0
li-ying-jun-11-92,0,0,0,0
shaxjl,11,1,2,3
ma-bo-tai,0,0,0,0
yu-yu-18-50,0,0,0,0
deutsch-99,49,1,53,168
huang-xiao-hua-93-84,0,0,0,0
wei-jia-zhi-30,4,2,7,0
zhuang-jun-42,0,0,0,0
zhu-yu-xiang-48,0,0,0,0
luo-li-li-59,0,0,0,0
wang-zhen-hua-41,0,1,0,0
luo-shiva,0,0,0,0
jiang-lin-27-20,0,0,0,0
sun-jian-shu-46,0,0,0,0
dan-mo-66,0,0,0,0
carl-liu-93,0,0,0,0
han-xue-chen,0,0,0,0
pao-zi-55,2,3,15,6
xixi-bao,1,0,0,0
tian-hao-20-5,0,0,110,53849
kaifulee,6,6,103,25107
Digidea,79,79,276,1968
wangcheng678,215,215,381,9457
____,5,5,18,3178
luo-yong-hao,0,0,1,1574
nordenbox,337,337,1006,70257
kamyau,3,3,13,124
Jasonisid,0,0,6,881
zhengguoqiang,57,57,326,11761
chenxi,3,3,68,1460
pongba,0,0,0,0
wang-huai-76,2,2,8,388
ma-bo-yong,1,1,29,57496
