user_id,followers,asks,answers,goods
boxun,94337,18,138,18433
wonglei,118,57,89,340
sys52008,12109,126,681,3471
zhou-zhao-93,1314,11,212,2284
chun-lei,433,94,420,1635
foxsshome,2067,1,2,1965
sandman-li,5671,25,0,2633
wentrue,1252,1,17,178
yolfilm,307868,91,1511,230312
chibole,24211,8,74,23164
wu-hua-ma-8,74,18,126,568
crossin,374,6,77,601
zihaolucky,172,4,19,292
hexiyin,376,4,34,565
man-shu-95,608,3,117,1024
karmashun-chao,2735,7,95,9045
spawn83,231,10,42,478
tan-yin-10,687,15,76,2247
tu97,132,44,136,1046
kennethtse,1361,2,1874,7617
ji-xuan-yi-9,4,4,545,37371
Ysis,9,9,1436,7184
cheng-nian,5,5,683,13032
he-de-wen,3,3,125,2630
qinghuan1211,4,4,67,10746
lachesis,6,6,155,810
zhuang-biao-wei,61,61,1044,28756
liangbianyao,0,0,47,60708
imajin,37,37,80,53644
awesome-chacha,7,7,0,0
he-xiao-you-38,23,23,23,481
lonelywhale,8,8,387,29781
bo-cai-28-7,17,17,834,116929
