Aias Law	2014-02-02	苦了大直隶省了	24 赞
徐潇	2014-02-02	苦笑ing。。。	3 赞
戴戈辉	2014-02-02	这引文真是触目惊心。	6 赞
Phil	2014-02-02	96年单位同事来上海培训，正逢12月初，长三角地区季节性大雾常发时段，有一次因为大雾班车在路上堵了一个多小时，北京的同事就半开玩笑地收：冬天还起雾，这都什么鬼地方......现在帝都已经赶超啦。94年第一次去北京，7月份，最高温度也就35度而已，也没几天，白颐路的参天大树形成绿色拱顶，把路面遮得没几处太阳地，凉爽美观。97年夏天再来，好像在修四环了，白颐路的大树基本被砍光，白辣辣的阳光直接照在水泥地上......	6 赞
邹小二	2014-02-02	引文直接击穿了tg的嘴脸，用更差的空气质量证明美帝的别有用心，却又不敢直面自己的问题！	9 赞
Star Folding	2014-02-02	答非所问	5 赞
张奥宇	2014-02-02	北京城上的灰壳…吓尿乐	1 赞
小军	2014-02-02	要投入几千亿治理了，不好也不应该。要是这几千亿用来扶贫，能让中西部多少人过上好日子啊，就他妈为了北京的空气	5 赞
杨米娅	2014-02-02	早年北京所谓的「桑拿天」就是雾霾吧……	0 赞
北风	2014-02-02	桑拿天指的是夏季气温高湿度大无风，人们会大量出汗。和雾霾没有任何关系。	9 赞
Eric Yan	2014-02-02	要多谢骆家辉同志	4 赞
王晓蓝	2014-02-02	作为一个老北京人，真心没觉得2010年之后空气在变好……	3 赞
欧永泳	2014-02-02	引文引用得太好了，有理有据，令有信服	3 赞
wayne tong	2014-02-02	有些表现是比较失望，然后以前伦敦很那啥的，还死过不少人，我希望国家是越来越好的吧	1 赞
刘中阳	2014-02-02	把我想说的都说了，我就不用写了， 真好～	0 赞
杨米娅	2014-02-02	这样啊，多谢指教了。可能我受周围人误导了，以前家里人遇上热天+雾大的情况就叫桑拿天……	0 赞
Jing	2014-02-02	也许北京能好，河北呢？工厂外迁，总要迁到什么地方吧。如果是这种治理思路我就觉得太悲哀了，只不过换一批人倒霉。我记得2004年我出国之前石家庄的天就一直灰蒙蒙的，白鞋穿不住，鼻子里也不舒服，窗台上一天就一层黑灰。现在看样子也没有好转...	28 赞
西西里上尉	2014-02-02	不是啦，是热，出汗，闷	0 赞
Gaberber	2014-02-02	第一段：「雾霾最近几年没有突然爆发，只是我们知道了 “雾霾” 这个现象。」后面在解释这句话。	0 赞
王小明	2014-02-02	不得不赞，河北永远都是个狗是个小透明。特别是石家庄，这么憋屈的省会真心不多见。	0 赞
杜蒙	2014-02-02	自从知道了雾霾和PM2.5之后，但凡阴天雾天大家就叫唤是雾霾，是不是有点矫枉过正了。	0 赞
林柏松	2014-02-02	引文一看，倒有一种来到朝鲜感受。	2 赞
Sisyphus	2014-02-02	你不是欠他们人情，你是欠河北省的失业钢铁工人一个人情	0 赞
cOMMANDO（作者）	2014-02-02	我并不欠河北省的失业钢铁工人人情，正如我并不会因为购买了可口可乐，就欠了百事可乐/非常可乐/康师傅的所有工人人情、购买了奥迪汽车，就欠了奔驰/宝马/大众的所有工人人情、来到北京，就欠了哈尔滨所有服务业就业人员的人情一样。	14 赞
xqdwww	2014-02-02	戴口罩那个事情印象太深了……那时候觉得这个运动员真sb……现在想想自己真sb……	36 赞
xqdwww	2014-02-02	欠河北工人情这是个啥逻辑……跪了……	0 赞
王健宇	2014-02-02	新闻评论碉堡了	1 赞
王瑞扬	2014-02-02	事后看看还是那句老话：天下无人不通共，唯有中宣是内奸。	7 赞
Ms-X	2014-02-02	您怎么让我相信政府呀·····	0 赞
艾凤武	2014-02-02	不够专业，严格地说，沙尘暴和雾霾不是一回事，沙尘暴的颗粒要大于pm2.5，一般不会进入肺泡，而且并不含有毒的化学成分。	0 赞
黄亦迪	2014-02-02	天朝的新闻连起来看太有趣了	2 赞
andy	2014-02-02	总比让贪官吃了强	0 赞
Tiger David	2014-02-02	在北京读了四年书，08年之前那几年的春天真不能忍，外面就是大黄天...	0 赞
cOMMANDO（作者）	2014-02-02	是的，我知道沙尘暴和雾霾不是一回事。我只是说，02年之前我们的关注点在沙尘暴，03-08年左右沙尘暴现象得到控制，而 “雾霾” 这个概念又并未引起人们关注。至少我是从美国使馆得知 “PM2.5” 这个概念的。	0 赞
王宇超	2014-02-02	当年也是如此	0 赞
周单坤	2014-02-02	我不知道北京，长三角的雾霾确实是最近一年多才开始有的	4 赞
周单坤	2014-02-02	说得是北方的状况，华东的雾霾结结实实是最近两年的事情。	2 赞
边嘉明	2014-02-02	我就想问一下：有人考虑过我们河北人的感受么？！！！！	0 赞
李松蔚	2014-02-02	投票太亮了……巫师们做了战前最后的占卜，他们按照殷商的习惯一边烧着兽骨一边观察着兽骨上的裂隙。如果裂隙向左，说明殷商军队将大胜对手；如果裂隙向右，则说明殷商军队将大败对手；如果什么裂隙也没有，则说明连老天爷都对殷商军队即将取得的伟大胜利无话可说。	14 赞
乔蚩尤	2014-02-02	那我太幸福了，我去过北京4次，待的时间都不长，平均下来也就一次7天吧。。。都是风和日丽晴空万里。。。只不过地面环境越来越差，	2 赞
刘航	2014-02-02	尼玛……美国人太实诚了！	0 赞
周雨阳	2014-02-02	只知公布数据而不管公布数据后受牵连的企业的职工的死活吗？	0 赞
Sisyphus	2014-02-02	因为老爷们觉得空气不好，河北钢铁工人就得下岗。朱宰相时代，因为老爷们觉得国企需要调整，东北的产业工人都得下岗，一家只能靠女性在澡堂卖肉维持生计。	1 赞
郭逸野	2014-02-02	看了当年的评论 真心羞愧我怎么会被洗脑这么严重 真心为自己的智商感到捉急	1 赞
Sisyphus	2014-02-02	在您没听懂我说什么之前，请不要炫耀你那浅薄的经济学常识。	0 赞
cOMMANDO（作者）	2014-02-02	这和经济学没关系，这只是常识……	5 赞
xqdwww	2014-02-02	我老跪着也不是回事，只能说，你好棒哦。	2 赞
久木	2014-02-02	北京好了～南方都遭殃了～每次南方Pm2.5超标，北京变蓝天，这叫南方人民情何以堪	0 赞
Sisyphus	2014-02-02	呵呵	0 赞
