user_id,followers,asks,answers,goods
leng-zhe,23413,2,336,45592
mudhorse,877,12,283,2611
lianghuan,50078,199,268,15285
huang-xin-99,3990,10,80,813
nan-qu-xiong-mao,1774,4,49,2083
cogito,172255,0,0,0
poem,6798,0,135,2800
MrToyy,65806,9,397,11948
laomao,1030,40,116,3550
zhongxm,7563,13,92,2536
lin-hai-92-9,2602,535,87,1577
wang-li-qun-1976,123,8,61,326
cheshire-cat,220,3,43,765
qiu-xia,1522,11,168,1714
xuxiaofeng,3164,47,683,8132
raymond-wang,249691,91,1682,65475
ma-yan-jun,389,1,33,58
chen-xing-yi,16012,0,17,1017
gzvinson,41,13,89,319
waynezhang,15608,44,84,2219
hu-chao-chao-58,0,0,0,0
deng-bin-2-61,0,0,0,0
yang-zi-20-66,0,0,0,0
sun-juan-85,0,0,0,0
kang-ping-le,0,0,0,0
chao-gao-26,0,0,0,0
di-li-nu-er-di-li-xia-ti,0,0,0,0
lian-lu-30,1,0,0,0
mei-you-qian-ma-xian-sen,0,0,0,0
wu-shan-shan-44,0,0,0,0
li-bu-zhi-24,0,0,0,0
zhang-lao-shi-33,0,0,2,0
jiang-wen-jia,0,0,0,0
wu-meng-han-25,0,0,0,0
qi-qi-88-96,0,0,0,0
yan-yan-9-47,0,0,0,0
wu-gang-57-50,0,0,0,0
liao-shu-li,0,0,0,0
jin-xu-67,0,0,0,0
li-dou-jiao-71,0,0,0,0
spicyqueen,2,2,10,84
mao-qi,10,10,154,5754
wheretogo,5,5,0,0
liujinbo,1,1,43,70
mj1997,10,10,197,7593
imike,1479,1479,1261,56933
li-yang-89,1,1,790,19220
lei-lei-89,88,88,1862,12512
patrickluo,34,34,492,10735
octobrevie,1,1,0,0
zhangxiaochun,0,0,0,0
JoeyZhi,50,50,281,1021
williamzhang,15,15,51,573
liuxm,12,12,54,308
magie,74,74,819,61147
weizhi.pan,22,22,81,4032
jin-xing-58,0,0,2,1
cha-men-hu-de-xiao-bei-xin,67,67,291,28551
cai-guo-hai,4,4,18,160
mao-da-shu,12,12,550,7131
