user_id,followers,asks,answers,goods
sun-chang-yuan-19,0,0,0,0
wang-yang-39-4,0,0,0,0
yu-peng-61,1,0,0,0
xue-guo-zhi-3,1,0,0,0
sean-xu-1,0,0,0,0
jingyi-wang-84,0,0,0,0
liguokai,62,0,1,0
serena-lu-28,0,0,0,0
mu-xiao-juan,5,1,5,30
maophy,12,1,1,0
da-wei-32,0,2,0,0
zhu-hua-feng,11,38,16,209
mingshun,9,0,0,0
yi-zou,0,0,0,0
zhi-luo-yu,0,0,0,0
hui-darvill,5,0,0,0
cha-er-si-72,0,0,0,0
chen-jiu-xiang-73,1,0,0,0
xie-mi-feng,1,1,14,1
song-xue-wei-29,4,1,3,0
li-ke-ke-59,1,1,38,89
jin-ci-1,0,0,0,0
hfcorriez,3,3,15,20
wang-chen-93,0,0,0,0
chen-fei-lin,1,1,2,0
glason,0,0,2,1
hua-yang-11-29,0,0,0,0
man-man-yu-14,22,22,21,8
sophina-joy,0,0,1,0
hklmtt,0,0,0,0
tuo-niao-qian,0,0,0,0
ambivalent,0,0,19,2
derek1985,1,1,16,5
chigo-lv,1,1,1,0
liang-yi-44-78,1,1,5,2
han-cheng-liang-1,0,0,0,0
linqinglin,0,0,11,5
shu-cheng-96,0,0,2,1
wang-lai-fu-38,16,16,8,6
xiaocaoge,3,3,5,2
YuMount,0,0,0,0
loyalman1314,5,5,15,35
tan-ting-li,0,0,1,0
sun-ji,0,0,0,0
yang-yue-83-91,0,0,0,0
wu-yin-81,0,0,7,2
yi-ya-nuo,0,0,4,3
zhang-kai-xu-95,20,20,53,36
du-rui-zheng-81,0,0,0,0
sun-ke-ke-96,0,0,0,0
tian-bian-90,0,0,0,0
wang-ba-90,0,0,0,0
zhu-kai-79,1,1,1,0
er-dong-16,0,0,11,1
zhihu_lxl,31,31,17,276
tang-wei-27-87,0,0,0,0
zhao-su-han-11,4,4,7,5
liu-feng-54-82,0,0,0,0
wang-beryl,0,0,26,5
deng-hua-78,0,0,0,0
beiji,0,0,0,0
wang-qing-14-97,0,0,1,0
zhang-meng-ke-71,2,2,0,0
niu-ben-5,4,4,9,7
shijianbin,3,3,50,158
hua-xi-wa,0,0,13,14
cao-tian-que,0,0,0,0
xia-sha-li,1,1,1,4
ren-yu-long,3,3,52,25
sicheng,2,2,8,6
ge-shi-xuan,0,0,0,0
ning,24,24,16,8
zhong95,0,0,0,0
liang-chen-6,0,0,0,0
zhang-liang-98-91,6,6,6,1
han-xu-40,0,0,0,0
xiao-chong-22,0,0,0,0
li-hao-18-33,2,2,3,0
thinkdancer,3,3,23,6
dajie-mou,1,1,1,0
yu-yi-wei,0,0,2,1
liu-miao-25,0,0,0,0
li-xiao-yu-92,0,0,6,0
lin-gang-18,1,1,0,0
wu-xi-89-63,0,0,0,0
yu-kong-kong,0,0,0,0
li-shuang-er-94,1,1,1,1
yang-jing-hong,0,0,0,0
he-tong,0,0,12,3
young-liu,1,1,2,0
ying-ge-lan-85,8,8,4,1
liu-xin-1,0,0,0,0
she-jing-bing-69,0,0,0,0
li-hai-94,1,1,4,1
juncai-yanzi,0,0,2,2
tian-chun-feng,0,0,1,0
yang-jie-22-51,0,0,0,0
zhouyang,16,16,17,109
pei-pei-54,0,0,0,0
qichen,0,0,0,0
jiang-feng-59-95,0,0,0,0
charleschan,1,1,7,13
zhi-wu-jiang-shi,0,0,0,0
guoshuai,0,0,2,1
hu-liu-qing-16,0,0,0,0
qing-wen-19,0,0,0,0
ke-da-25,1,1,0,0
ta-ta-mi-27,0,0,3,1
mo-gu-mo-mo-32,0,0,0,0
lao-wang-37,0,0,0,0
jack1987,2,2,6,2
yang-meng-54,0,0,0,0
eeiee,0,0,0,0
hai-yang-xun-shou-shi,6,6,11,3
he-yuan-41,1,1,2,0
dong-wei-jie-86,0,0,0,0
li-xiao-jun-16,0,0,0,0
jinzhucui,1,1,19,11
wei-an-ni-42,0,0,0,0
li-xiang-yu-84,0,0,2,1
huang-ruo-xi-35,0,0,0,0
gen-gen-89,0,0,0,0
heijiajia,1,1,3,0
he-xiao-dong-76,2,2,1,0
holiday-law,0,0,0,0
taodui,2,2,2,6
ma-lin-69-50,0,0,0,0
leonardo-zhang,0,0,0,0
wehappy,102,102,116,61
belvn-belvn,0,0,0,0
sxjklxk,1,1,7,0
li-bo-yue-5,0,0,0,0
jia-jia-15-81,1,1,5,0
li-ming-fei-43,0,0,0,0
questionaire,1,1,0,0
chai-zhen-2,0,0,5,2
ernesthuang,0,0,4,10
tan-jun-37,1,1,1,1
grace-du-16,0,0,2,1
wu-she-ying,0,0,0,0
lenz-yu-63,0,0,0,0
serena-ni,0,0,0,0
zhao-diao-diao,2,2,8,1
zhang-qian-jin,0,0,0,0
yang-lei-43-72,0,0,0,0
zoemiao,3,3,0,0
liu-jing-10-12,0,0,0,0
xiang-fei-7-62,0,0,0,0
xuexizhe,0,0,0,0
li-xin-81-51,0,0,0,0
b9xcc,0,0,1,0
tegrat,0,0,0,0
jiang-jie-yi,3,3,2,0
gao-yi-58,0,0,0,0
amberyic,1,1,4,0
chen-qi-38-35,0,0,0,0
zizaixiaoxiong,1,1,2,2
wang-jia-51-26,0,0,0,0
wu-ke-fei,3,3,21,6
scofanfan,0,0,4,0
a-su-su-su-qia,1,1,1,0
stevenlee367,1,1,8,1
mu-mu-16-33,0,0,0,0
freddie43,0,0,0,0
gao-zhu-57,0,0,0,0
xie-an-di,1,1,7,2
ayr1,5,5,3,6
wang-ying-jie-47,0,0,0,0
zhuo-bie-ming,0,0,0,0
wang-wang-5-54,0,0,0,0
wang-li-hui-94,0,0,2,2
yunn,1,1,1,0
yao-jin-4,0,0,2,2
liusihao,17,17,28,65
ren-kun-59,0,0,0,0
bei-yan-67,0,0,0,0
lia123aa,0,0,0,0
zhu-feng-76,0,0,21,22
xinlinqi,0,0,0,0
yang-zhi-55-47,0,0,0,0
meng-xiang-45-72,0,0,0,0
shenpeng,3,3,26,71
tingting-shieh,6,6,3,0
chen-tong-xue-83,1,1,0,0
alex-huang-9,1,1,4,5
liu-de-87,0,0,0,0
LukeGuo,9,9,66,22
john-lee-66,1,1,0,0
maggie-liao-28,0,0,1,0
touyu-pang,0,0,0,0
guo-yu-er,3,3,13,4
zhang-jie-10-19-35,0,0,0,0
liu-guo-hui-2,0,0,0,0
xiu-mu-21,1,1,2,53
li-min-zhi-73,0,0,0,0
he-hua-peng,0,0,8,0
ren-yu-wei-nankai,0,0,0,0
li-sheng-da,0,0,0,0
fan-ye-86,2,2,18,6
butcherv,60,60,160,466
maska,1,1,12,9
simon-40,0,0,7,7
stanley-zhang-1,0,0,0,0
chen-chen-32-49,5,5,3,0
jiu-yi,0,0,4,202
liu-yong-jie-4-92,0,0,0,0
liu-zhe-hao-82,3,3,0,0
siyanghuo,3,3,1,0
gui-sheng-74,1,1,4,4
zuo-xiao-long-29,0,0,0,0
yiwusuohuo,0,0,0,0
li-rong-rong-89,0,0,0,0
alibuguai,0,0,4,1
liu-ya-sen,0,0,23,2
qrqqrq,0,0,8,28
xiao-ya-jing-92,1,1,0,0
shi-shang-yu-65,1,1,0,0
lichengege,0,0,0,0
wang-er-50-43,0,0,0,0
xu-da-li-93,0,0,0,0
gua-niu-98-92,1,1,11,12
luo-qi-ming,2,2,0,0
echo-40-22,2,2,14,1
luo-meng-yue,0,0,0,0
zhuang-xing-56,0,0,0,0
helen-lu-84,1,1,20,23
lee-dan,0,0,0,0
kean-moon,0,0,0,0
guo-hai-chao,0,0,0,0
teter-ted,0,0,8,184
gavin-50-94,10,10,6,536
yin-yi-chun,1,1,0,0
yan-ri-yu,0,0,1,0
liang-yan-qiong,0,0,1,0
chen-ming-62-49,0,0,0,0
leisure-73,0,0,0,0
yu-yang-49-34,0,0,0,0
zhu-gu-li-74-26,0,0,0,0
qh-lee,0,0,0,0
yang-zi-63,4,4,9,120
xie-fa-fa-94,0,0,0,0
yi-ding-70,0,0,0,0
tao-yuan-10-5,0,0,1,0
yu-zhong-xuan-lu-solo,0,0,0,0
zhang-yan-qing-51,0,0,0,0
Daniel_Lu,3,3,12,0
keith-w,0,0,0,0
he-da-37,0,0,0,0
joyking,0,0,3,1
TomBoyQueens,3,3,37,11
yufei.li,1,1,1,0
myhilily,16,16,90,396
gao-gao-72,1,1,2,1
wtywei-tian-ying,2,2,0,0
thejaws,0,0,9,10
fang-xue-en,17,17,85,928
huang-hai-zhou-64,1,1,16,44
supennkeke,1,1,0,0
tian-wen-yan-65,2,2,0,0
qin-qian-16,0,0,12,1
qwetfqewf,0,0,5,1
zhuliangliang,0,0,6,3
xiao-bao-93,0,0,0,0
lu-zhan-93,0,0,0,0
darren-20,0,0,2,0
zhouduo,2,2,10,6
lu-yifeng,2,2,1,0
xu-chun-lei-17,0,0,0,0
xuezhicheng,1,1,1,0
luo-peng-fei-78,6,6,1,1
ming-zi-jian,5,5,14,17
soldiermoving,1,1,5,3
hua-sheng-92-12,0,0,0,0
liu-yang-96,0,0,3,0
zhong-yi-33,3,3,0,0
simondu,1,1,13,3
alaneuler-erving,2,2,0,0
liu-fei-die,0,0,0,0
songh,1,1,0,0
anita777,0,0,0,0
deng-zhou-67,0,0,0,0
moz-hyper,0,0,23,18
zhao-wei-ming-70,0,0,0,0
lu-feng-21-16,0,0,0,0
jiang-xu-hua,0,0,0,0
huyy11huyy11,0,0,0,0
wang-xiao-shuai-18,0,0,8,7
anth0ny,0,0,2,0
zhi-han,0,0,0,0
mofeicheng,0,0,0,0
jin-xiang-96,0,0,0,0
chaoli,0,0,2,1
perfect007,8,8,125,381
zhong-ling-rui,0,0,0,0
leng-lei,0,0,0,0
kinn-chaptere,0,0,0,0
hougongcheng,0,0,0,0
