user_id,followers,asks,answers,goods
huazong,38065,0,45,8110
sharkui,13961,0,21,2524
yolfilm,307878,91,1511,230314
zhang-peng,11320,31,86,2591
allenzhang,27399,8,14,3236
zhou-kui,6146,1,12,77
wang-hua,4085,4,16,779
liu-shuang,10372,0,98,865
liang,192,6,8,23
zhangyiming,205,8,2,5
topaz,440,1,4,27
disinfeqt,8208,76,71,1073
shen,102184,151,167,1252
huang-ling-zi,161,13,8,2
ouning,781,1,5,8
zhongyongjian,182,3,2,8
guoxiaopang,79,1,7,5
chang-bin,8150,1,10,148
yuxinlie,3937,191,272,2371
yu-yi-duo,38666,19,85,11228
lawrencelry,842,842,2598,50754
zhouyuan,588,588,340,12020
whale,1056,1056,620,7373
imike,1479,1479,1261,56933
