user_id,followers,asks,answers,goods
wang-xiao-chuan,11916,1,48,1862
cogito,172257,0,0,0
wentrue,1252,1,17,178
allenzhang,27399,8,14,3236
jiangweihang,3538,12,79,2213
di-xue-hun,277,0,2,121
gerrardyang,3195,6,368,5375
gxxx,1014,13,144,601
liu-yue-yuan-wei,57,0,0,0
chen_1st,711,10,51,516
traceyxiang,120,2,20,66
shao-yi-bo,2263,0,2,97
derekshen,877,1,33,118
kejun,68238,1,55,1871
yephoenix,133,0,0,0
wu-di-26,37,1,0,0
freak,35,0,0,0
la-qi,40,0,6,5
think,663,51,128,240
limingyuan,13918,2,15,257
luo-qin-35,1,4,2,0
setilis,23,0,3,1
wang-jie-60,16,0,11,1
song-wei-jia-31,28,0,18,38
yang-ze,89,2,21,26
chen-qi-bin-15,1,0,2,0
wei-qiang-50,0,1,0,0
li-meng-die-11,0,0,0,0
ai-ai-wen,3,0,6,7
chen-li-24-85,1,0,0,0
Julianchan,69,5,20,59
ying-ye-65,10,0,0,0
Hiien,26,2,13,73
miss-chang-jing-lu,1,0,0,0
funzhen,9,0,8,17
zhang-chen-81-35,0,0,0,0
ouzy,164,25,159,224
duan-qing-long,0,0,0,0
OoLilyoO,0,0,0,0
dundun-woo,0,0,0,0
wang-hua,4,4,16,779
limingshun,4,4,9,12
yining,0,0,0,8
fan-hai-tao,6,6,20,22
guoyu,2,2,0,0
scuderia,0,0,0,0
gelei,0,0,7,38
xklxkl,0,0,3,5
chen-xing-yi,0,0,17,1017
zhoupin,10,10,18,80
shubin,1,1,37,58
hongqn,1,1,10,335
liangning,1,1,9,72
abjkl,2,2,6,27
bian,5,5,163,2591
feng-ling-zi,1,1,26,151
nullpointer,1,1,28,1078
yuancheng,25,25,44,1375
xu-zhao-jun,5,5,85,1911
baiya,9,9,130,2870
