user_id,followers,asks,answers,goods
he-ming-24,27,2,1,0
BACTERIUM,6,0,6,5
jixin,282930,1307,785,34253
shisu,3426,3,1159,9302
Tron,14,0,9,53
zenggh,1,0,0,0
peilin,2,0,0,0
she-xi-41,0,0,0,0
wang-min-58-75-4,1,0,0,0
cheng-ang-50,6,0,12,1
kevin-hill,21,0,1,0
gao-mei-10,1,0,0,0
sai-er-kai-da,3,1,3,7
zheng-ye-15,6,3,14,18
wu-juan-57,7,0,0,0
pimgeek,520,4,80,904
kirashi,80,0,3,1654
xiao-li-li-64,0,0,0,0
guo-xun-16,19,2,34,86
liu-fu-kuo,0,0,0,0
zhu-wen-zhen-15,1,0,0,0
luoqeng,0,1,1,0
yang-yi-lin-2,27,1,0,0
ke-xiao-bo,15,34,10,6
yang-guang-11-55,15,9,19,117
lu-yan-yan-9,0,0,0,0
zhang-dan-dan-23,10,1,4,23
gengrui-guo,3,2,4,18
zhou-er-gou-98,149,31,248,137
leeelie-woo,3,1,1,1
li-wen-47-13,137,9,49,146
luo-yu-lin-27,1,0,0,0
tony-jang,7,0,0,0
zhang-jin-ye,2,0,0,0
chengzhoukun,310,1,11,328
wang-bei-er-47,17,3,13,1
cao-meng-di,20,16,80,104
hao-yue-32,32,5,0,0
wu-rui-97-4,10490,97,1709,14057
neil-35-70,6,3,0,0
lin-chen-16,25,4,76,288
jueshihaojian,12,6,8,4
piaojian,12,4,16,5
zhang-xing-xing-93,77,2,29,85
huo-jia-14,0,0,0,0
zhidengta,6,1,17,12
moon-drama,27,4,6,19
karl-wong,5,1,1,1
wen-ting-95,24,2,1,0
aihop,3,0,1,1
shi-ming-96,3,0,1,1
dong-sheng-15,20,1,17,43
liu-xiong-feng-93,23,1,9,43
wang-peng-han-21,45,2,4,2
pei-jian-75,0,0,0,0
zhang-xiao-ming-49-55,1,0,4,0
lin-xi-73-45,2,1,4,0
xiao-tan-43,0,0,0,0
zhou-gang-64,6,0,1,0
lu-xie-38,0,0,0,0
jiang-jun-hao-46,34,0,20,8
zhu-yixin-42,9,1,15,8
long-jia-wei,0,2,1,3
lin-er-ke,72,20,35,307
cheng-kun-yuan,250,270,190,96
zhang-he-98-22,1769,9,118,1838
yuan-song-xian,22,0,15,10
fu-jing-cheng,0,0,0,0
zhang-zi-yang-25-10,6644,8,284,11501
forrest-jing,5,0,0,0
zhan-jin-peng,0,0,0,0
luo-yu-xiao-93,1,0,0,0
shiina,7,0,2,4
bcstyle,3,0,0,0
chen-si-si-56-36,11,2,3,13
fuwocheng,0,0,0,0
cai-jian-ming,1,0,1,4
su-yihang,3,0,0,0
solaris-stone,16,0,8,4
xie-dino,2,0,0,0
peng-gui-jing,10,0,2,0
