user_id,followers,asks,answers,goods
zhang-cheng-48-98,0,0,3,0
Colton,0,0,0,0
zhao-mu-26,2,1,0,0
er-xiao-98-74,0,0,0,0
zhou-yu-jun-79,1,0,1,0
rickie,1,1,2,0
lion-sherlock,0,1,0,0
yan-yi-19,44,47,94,124
a-ling-22,0,0,0,0
xie-bin-68-41,0,0,0,0
chen-wei-57,83,22,168,740
wan-pu,121,5,34,23
yang-xi-73,6,0,6,3
li-an,313,204,142,588
sicheng,15,2,8,6
fu-yun-xiao-jie,7,1,5,0
desperatecat,3,0,5,0
dong-ming-61,2,0,0,0
li-xiao-yu-92,4,0,6,0
ying-ge-lan-85,2,8,5,1
tang-ni-22,0,0,0,0
chen-jiu-xiang-73,0,0,0,0
zhouyang,16,16,17,109
xie-roy-4,0,0,0,0
wehappy,102,102,116,61
dingsheng,6,6,33,14
he-yuan-41,1,1,2,0
yin-wen-zhe-hao,0,0,0,0
kai-xing-14,0,0,0,0
vinczp,9,9,38,5
james-peng-38,0,0,4,0
wen-lei-84-96,0,0,0,0
liu-jing-10-12,0,0,0,0
chen-ya-ge-95,0,0,1,0
zizaixiaoxiong,1,1,2,2
liu-chaoyue,6,6,26,67
chen-yu-40,0,0,16,70
a-su-su-su-qia,1,1,1,0
wang-run-sheng-18,0,0,0,0
mu-mu-16-33,0,0,0,0
li-yuan-54-57,0,0,0,0
xingxing-he,0,0,12,4
peng-hao-40,0,0,0,0
za-jia-11,0,0,0,0
hynuo-fen,0,0,1,5
xue-liang-88,5,5,20,2
wen-li-75,0,0,0,0
yan-wu-16,0,0,0,0
wu-jian-59,0,0,0,0
fan-ye-86,2,2,18,6
li-sheng-da,0,0,0,0
ww-spica,0,0,0,0
jia-yu-kun,0,0,0,0
lewis-92,0,0,1,0
gua-niu-98-92,1,1,11,12
zhang-yu-cheng-77,0,0,6,1
lee-dan,0,0,0,0
guo-hai-chao,0,0,0,0
zhu-gu-li-74-26,0,0,0,0
jin-feng-23,1,1,0,0
sun-hao-66,17,17,6,0
xuezhicheng,1,1,1,0
li-zhi-76-72,0,0,1,2
yu-yue-33-60,0,0,0,0
ann90,0,0,0,0
thomas.zhou,16,16,7,18
xiasummerlin,0,0,0,0
anita777,0,0,0,0
zhao-wei-ming-70,0,0,0,0
hongzhi-lee,0,0,0,0
sun-chuan-70,0,0,0,0
jiang-xu-hua,0,0,0,0
jin-xiang-96,0,0,0,0
wu-yan-92-10,0,0,0,0
wang-xiao-shuai-18,0,0,8,7
hu-liang-80-61,0,0,0,0
reasinwong,3,3,10,31
qiu-xiao-xuan-18,1,1,0,0
xing-yue-shen-hua-90,1,1,0,0
ying-feng-xiao,0,0,0,0
cai-cheng-22,0,0,0,0
zhu-you-zha,2,2,0,0
wu-han-wen,0,0,0,0
xin-ren-chong-ji,0,0,0,0
boreaslol,1,1,57,270
aoimishi,12,12,10,6
rancho-fang,4,4,62,42
zhang-zhi-hu-45,0,0,0,0
liu-yan-xi-92,0,0,6,47
thxbear,0,0,0,0
wu-zhe-87,1,1,5,0
sun-xiao-jun-4,0,0,1,2
lizzy-liu-63,0,0,0,0
li-guo-hao-93,0,0,0,0
mao-qiu-32,0,0,0,0
li-jia-qi-76,1,1,2,1
liu-qiong-64,0,0,1,0
xu-yao-rong,1,1,2,3
long-yan-xi-85,1,1,2,3
san-gu-liang,0,0,0,0
cai-cai-cai-34-84,0,0,0,0
huang-da-jia,0,0,0,0
lu-suo,1,1,29,37
li-shu-kun-94,0,0,1,0
rrttbetter,0,0,0,0
xiao-feng-14-55,0,0,0,0
wang-wen-dong-68,0,0,1,0
du-ruo-zhou-32,0,0,0,0
