user_id,followers,asks,answers,goods
lu-lei-97-38,4,1,0,0
wang-xin-84-3,0,0,0,0
li-shu-xing,0,0,0,0
liu-su-69-78,0,0,0,0
weakray-sun,0,0,0,0
mei-xiao-ya,0,0,0,0
yiyi-47-2,0,0,0,0
li-le-qin,0,0,0,0
ning-meng-ju-zi,0,0,1,0
huang-jun-70-52,0,0,0,0
chen-yun-chao-35,0,0,0,0
xiao-huo-shan-10,0,0,0,0
xiao-mou-3,0,0,0,0
hu-hu-45-89,0,0,0,0
wu-kai-yin-71,0,0,0,0
wang-xiao-chui-79,0,0,0,0
ke-le-79-25,0,0,0,0
alin-john,0,0,0,0
zhu-yuan-jie-35,0,0,0,0
lun-hui-93-80,0,0,0,0
zhuan-jia-tong,0,0,0,0
dong-qi-78,0,0,0,0
xiao-jiu-30-29,0,0,0,0
zhao-zhi-wei-48,0,0,0,0
song-xin-1,0,0,0,0
pei-dan-62,0,0,0,0
aizhubao,8,8,16,6
huang-dong-gui,0,0,0,0
mo-tao-yan,0,0,0,0
fang-jia-ming-81,0,0,0,0
zhou-hua-18-38,0,0,0,0
li-xiao-bu-50,0,0,0,0
jiao-ze-83,0,0,0,0
he-kai-qian,0,0,0,0
li-zhen-nan-3,0,0,0,0
li-hui-mei-29,0,0,0,0
po-po-zai-gong-zuo,0,0,0,0
ling-zi-31-4,0,0,2,0
hai-mian-yang-er,0,0,0,0
zhou-xiao-min-57-56,0,0,0,0
luo-yao-dong,0,0,0,0
zhang-cheng-48-98,0,0,3,0
hong-shuai-64,0,0,0,0
wang-yun-fei-50-93,0,0,0,0
wang-ou-27,0,0,0,0
zhang-lan-81-90,0,0,0,0
lu-xiao-41,0,0,0,0
zhou-ai-di-60,0,0,0,0
ji-jian-wei-73,0,0,0,0
ni-ni-72-11,0,0,0,0
wei-xu-min,0,0,0,0
tan-jia-xing,0,0,0,0
chen-xi-66-34,0,0,0,0
xu-bo-yu-37,0,0,0,0
mo-mo-mo-83,0,0,0,0
lu-fei-8-23,0,0,0,0
jacob-kong-74,0,0,0,0
a-long-90,0,0,0,0
wang-chuan-99-89,0,0,0,0
wang-wei-51-33,0,0,0,0
zsj7,0,0,0,0
yang-wei-bo-86,0,0,0,0
wang-han-98,0,0,0,0
zhang-ke-ni,0,0,0,0
xu-ling-93-42,0,0,0,0
zhou-qiao-7-72,0,0,0,0
li-nan-25-2,0,0,0,0
shen-zhan-90,0,0,0,0
wang-jing-15-95,0,0,0,0
yuan-shang-zhe,0,0,0,0
zheng-xi-qia,0,0,0,0
ak49tenly,0,0,0,0
xiao-pi-dan-76,0,0,0,0
professor-snape,2,2,1,0
ma-fei-7-78,0,0,0,0
zheng-yu-lin-93,0,0,0,0
nuan-nuan-69-64,0,0,0,0
li-jia-jia-83-48,0,0,0,0
shui-sheng-87,0,0,0,0
zan-shao-wei,0,0,0,0
xiu-xiu-9-69,0,0,0,0
ning-xi-chen,0,0,0,0
wang-zai-zai-42,2,2,5,0
pan-shan-shan-63,0,0,0,0
xiao-mu-23-13,0,0,0,0
weijiang-feng,0,0,0,0
li-yun-xu-19,0,0,0,0
han-liang-38-55,0,0,0,0
po-bai-xian,0,0,0,0
cai-peng,0,0,0,0
ji-qun-ejia,0,0,0,0
tao-luo-85,0,0,0,0
jimmy-hsu-69,0,0,0,0
afc163,10,10,55,1168
jiang-jie-60-68,0,0,0,0
li-dan-30-1,0,0,0,0
qin-zheng-42,0,0,0,0
zhu-ge-cun-fu-25,0,0,0,0
chen-jing-12-70,0,0,0,0
li-ran-36-53,0,0,0,0
gan-lan-shu-40,0,0,0,0
ying-tian-xue,0,0,0,0
li-shi-min-89-13,0,0,0,0
yi-tian-xing-16,0,0,0,0
williams-bill,0,0,0,0
liao-liao-92-4,0,0,0,0
yuan-shu-fu,0,0,0,0
hao-ba-14,0,0,0,0
zhao-wei-shuo,0,0,0,0
xuzd88,0,0,0,0
sang-sssss,0,0,0,0
yu-lan-98,0,0,0,0
wang-hui-ling-98,0,0,0,0
xie-pei-wen-64,0,0,5,0
wang-fu-gui-61,0,0,0,0
yu-mu-mu-45,0,0,0,0
chen-zhao-yu-47,18,18,11,22
yiquan-85,0,0,0,0
chen-xiao-qi-99,0,0,0,0
duncanzhang,7,7,193,2211
zhao-guang-guang-28,0,0,0,0
xiao-zhen-70-5,0,0,0,0
hu-yin-po,0,0,0,0
gou-gou-si-ling,1,1,0,0
engene519,0,0,0,0
zhang-zhi-hong-57,0,0,0,0
jiu-du-64,0,0,5,0
li-lin-zhi-65,0,0,0,0
wei-mei-39,0,0,0,0
zhang-bao-ping-49,0,0,0,0
zhao-xiao-nao-50,0,0,0,0
cao-jin-83,0,0,0,0
li-yuan-lin-37,0,0,0,0
yi-zhi-mao,0,0,0,0
heng-heng-66,0,0,0,0
zhou-zhi-jun-62,0,0,0,0
zhou-hui-5,0,0,0,0
liu-xin-yi-7,0,0,0,0
xiao-mo-li-18,0,0,0,0
wu-liang-8,0,0,0,0
chen-yi-60-9,0,0,0,0
xin-xiang-66,0,0,0,0
sharpy-sharpy,0,0,1,0
zhang-yu-55-99,0,0,0,0
wang-ye-92-14,0,0,0,0
huang-xiao-yan-33,0,0,0,0
zi-bu-yu-44-87,0,0,0,0
efemantr,12,12,118,213
wang-jian-guo-52-14,0,0,0,0
guo-xiao-ruan-56,0,0,0,0
gu-jing-jing-30,0,0,0,0
ma-xiao-mei-90,0,0,0,0
lin-cheng-yan-3,0,0,0,0
wang-jing-chun-10,0,0,0,0
xu-kai-39-49,1,1,0,0
wang-kun-peng-8,0,0,0,0
tsubasayi,1,1,4,52
xiaocao-li,0,0,0,0
wang-yang-yang-51-15,0,0,0,0
zhang-chun-yu-71,0,0,0,0
wang-zhe-99-42,0,0,0,0
qia-qia-60-67-28,0,0,0,0
ya-wu-69,0,0,0,0
guo-xian-sheng-69,0,0,0,0
marianz,1,1,0,0
ai-flora,0,0,0,0
li-chen-86-49,0,0,0,0
chen-nuo-57,0,0,0,0
guo-bing-10,0,0,0,0
cat-mr-99,0,0,0,0
yubin-li,0,0,0,0
liang-guo-heng,0,0,0,0
su-ta-ta,0,0,0,0
gao-bao-ming,0,0,0,0
tang-hao-8-64,0,0,0,0
wang-chao-ying-10,0,0,0,0
liu-yan-81-36,0,0,0,0
wu-feng-xia-67,0,0,0,0
wang-you-ran-26,0,0,0,0
wang-zi-han-han,0,0,0,0
wu-zhang-shuang,0,0,0,0
huang-jian-hui-16-58,0,0,0,0
wang-xu-2-19,1,1,0,0
liu-mei-ying-66,0,0,0,0
shuai-ge-67-20,0,0,0,0
tingting-hou,0,0,0,0
li-yang-37-84,0,0,0,0
an-nuo-25-28,0,0,0,0
zhong-bu-chao,0,0,0,0
sun-kiki-6,0,0,0,0
li-bao-jun-63,0,0,0,0
song-jin-da,0,0,0,0
shou-hui-tu-57,0,0,0,0
zhang-nuo-nuo-32,0,0,0,0
ni-xiao-tian-16,0,0,0,0
zhi-hu-bu-dong,0,0,0,0
jiu-yu-95,0,0,1,0
li-teng-91-13,0,0,0,0
yizhang-zhang,0,0,0,0
liu-jiao-xing-32,0,0,0,0
pucool,0,0,0,0
delete-dai,0,0,0,0
xia-hao-43-63,0,0,0,0
xie-cheng-72,0,0,0,0
yi-steven,0,0,0,0
bu-si-niao-18,0,0,0,0
shi-xiao-yun-77,0,0,0,0
wu-an-74-4,0,0,0,0
li-wei-75-43,0,0,0,0
chen-cheng-52-71,0,0,0,0
he-qing-he-29,0,0,0,0
pang-yue-55,0,0,0,0
xiao-chuan-li,0,0,0,0
di-shuo-75,0,0,0,0
peng-wei-liang-55,0,0,0,0
ge-wu-73,0,0,0,0
xiong-yi-fei-67,0,0,0,0
li-hong-li-45,0,0,0,0
wang-liang-84-61,0,0,0,0
zou-yu-94,0,0,0,0
tian-cong-90,0,0,0,0
jie-ge-31-79,0,0,0,0
liu-liu-liu-88,0,0,0,0
jia-jia-6-79,0,0,0,0
wang-wen-can-20,0,0,0,0
ding-kun-fei,0,0,0,0
li-yu-zhi-9,0,0,0,0
qia-wa-yi-melody,0,0,0,0
clair-lu,0,0,0,0
dui-wo-ai-geek,0,0,0,0
wan-neng-qing-nian-98,0,0,0,0
wang-shu-wen-25-30,0,0,0,0
mi-xing,0,0,0,0
stein-tang,0,0,0,0
lu-chen-jing,0,0,0,0
xie-fang-11,0,0,0,0
hao-shuai-cheng,0,0,0,0
