user_id,followers,asks,answers,goods
li-men-zi-66,0,0,0,0
yang-mao-2,0,0,0,0
cheng-jia-yun,0,0,0,0
bei-bei-70-92,0,0,0,0
po-po-zai-gong-zuo,0,0,0,0
wang-wen-zhou-2,0,0,0,0
li-niu-er-88,0,0,0,0
li-hong-wei-52,0,0,0,0
yuan-lu-xing-90,0,0,0,0
song-ssy,0,0,0,0
liang-charlie,0,0,0,0
jiang-lu-70,0,0,0,0
fan-fu-24,0,0,0,0
lin-ge-28,0,0,0,0
ding-ling-ling-38,1,0,0,0
chen-lu-hang-46,0,0,0,0
zhao-ya-zhu-6,0,0,0,0
zhu-xiang-guo-17,0,0,0,0
wang-jing-91-89-63,0,0,0,0
zhang-cheng-48-98,0,0,3,0
zhang-wei-long-48,0,0,0,0
chou-xiao-hai,0,0,0,0
ye-xing-44,0,0,0,0
zhi-xian-sheng-30,0,0,0,0
bai-lu-77,0,0,0,0
lee-oner,0,0,0,0
nuo-yan-21,0,0,0,0
duoduo-xu-46,0,0,0,0
wang-da-ha-26,0,0,0,0
yang-da-xia-6,5,5,1,0
li-zhe-24-2,0,0,0,0
zhang-xiao-yu-13-44,0,0,0,0
zhang-li-97-48,0,0,0,0
wang-ou-27,0,0,0,0
yang-guo-10-14,0,0,0,0
niu-cai-xia,0,0,0,0
wang-xin-hao-85,0,0,0,0
bai-shui-60,0,0,0,0
han-jia-yin-96,0,0,0,0
mo-xiao-mei-75,0,0,0,0
li-yiting,0,0,0,0
cheng-kun-shu,0,0,0,0
zhen-gao-fei,0,0,0,0
deng-yong-shi,0,0,0,0
gan-cui-84,0,0,0,0
jiang-liu-er-57,0,0,0,0
li-nan-52-83,2,2,0,0
er-xi-86,0,0,0,0
ceng-cai-yun-61,0,0,0,0
ji-jian-wei-73,0,0,0,0
zhou-ai-di-60,0,0,0,0
zhen-qin-39,0,0,0,0
zhu-jiao-61-94,0,0,0,0
xu-chen-60-31,0,0,0,0
jiao-xiao-jiang,0,0,0,0
chen-xi-66-34,0,0,0,0
lao-matt,0,0,0,0
