user_id,followers,asks,answers,goods
zhao-hui-jun-4,131,0,5,58
xiao-hong-yang,971,0,42,1275
andrew-shen-29,559,0,109,1149
hao.yun,71,0,0,0
ma-bo-yong,76780,1,29,57496
lu-yu-qi,3569,12,12,8207
sun-peng-57,282,2,0,0
zhuxiaobao,31723,0,223,50425
li-song-wei-11,30001,3,83,28098
oxygen,46142,236,376,4454
mickeylili,1000,0,46,2786
vichare-wang,132,0,41,200
xu-teng-fei-13,7719,8,346,13211
tinybir,3472,16,37,8957
afaris,21,0,0,0
rosecrimson,12060,5,124,20738
chen-fu-zhou,35580,29,987,13463
richard-may,4103,7,79,493
calliope,245195,2,158,89847
since1619,2717,1,43,3992
jian-jian-31-59,0,0,0,0
yi-rui-51,0,0,0,0
li-si-ru-56,0,0,0,0
liu-jian-wei-80,0,0,0,0
ping-ping-59-99,0,0,0,0
tao-tao-95-41-94,0,0,0,0
zhong-yu-ming-78-27,0,0,0,0
du-xing-24,0,0,0,0
ke-le-17-95,0,0,0,0
wei-qiang-91-61,0,0,0,0
mou-jun-yu-92,0,0,0,0
chen-hui-zhi-98,0,0,0,0
kingqiang,0,0,0,0
tang-bao-yun,0,0,0,0
jinna-zhang,0,0,0,0
feng-yi-46-73,0,0,0,0
fang-wei-93,0,0,0,0
zhang-yi-sheng-20,0,0,0,0
jiang-kai-83-94,0,0,0,0
zhang-jiang-yong-78,0,0,0,0
wang-heping,0,0,0,0
yuan-li-39-37,0,0,0,0
xie-wei-mei,0,0,0,0
xu-tian-mai,0,0,0,0
xia-dao-82,0,0,0,0
rong-tong-13,0,1,0,0
yuan-dong-30,0,0,0,0
zheng-li-bin-79,0,0,0,0
wang-ying-xin-34,0,0,0,0
hu-chao-chao-58,0,0,0,0
zhang-wen-26-79,0,0,0,0
chen-mo-yu-35,0,0,0,0
xie-jing-7-32,0,0,0,0
zhang-wei-43-60,0,0,0,0
xia-ye-7-18,0,0,0,0
zheng-zhao-li-72,0,0,0,0
speaker-wind,0,0,0,0
kang-ping-le,0,0,0,0
di-li-nu-er-di-li-xia-ti,0,0,0,0
mai-jia-yi,7,1,0,0
zhao-qiao-36,0,0,0,0
wei-jia-hong,0,0,0,0
jia-shan-32,0,0,0,0
heng-dou-ya,0,0,0,0
cheng-men-jiao-xia,0,0,0,0
he-eric-24,0,0,0,0
wxjiee2000,0,2,3,2
yan-qiu-93,0,0,0,0
you-xiao-dong-23,0,0,0,0
wang-xiao-yu-43-8,0,0,0,0
huang-qiong-qiong-5,0,0,0,0
dong-fang-mu-89,0,0,0,0
space-shuttle,0,0,0,0
qian-yue-16,0,0,0,0
li-hua-hua-58,0,0,0,0
gu-shan-33,0,0,0,0
xi-da-pu-ben-18,0,0,0,0
zhou-di-74-68,0,0,0,0
liang-yvonne,0,0,0,0
yu-jia-xue-48,1,0,0,0
yuan-3-yuan,0,0,57,7162
li-a-ling,0,0,44,960
gracelu,305,305,521,19414
zhang-xu-86-29,13,13,686,3320
zi-xiao-60,0,0,11,121
yu.dan,26,26,240,24684
jin-pei-xing,0,0,0,0
zhu-qian-38,0,0,0,18
ma-lei-46,4,4,42,104
adterram,1,1,12,114
li-di-32-68,18,18,93,1138
wx-wx,2,2,20,2280
nergend,0,0,9,31
wu-peng-5,0,0,5,5
shuang-wang,1,1,14,7529
zhuang-ze-xi,33,33,219,2720
muyi88,3,3,13,250
zhang-jia-wei,0,0,1776,270923
lxm-sjtu,0,0,10,37
yssun,1,1,20,239
xiang-yi-mei,2,2,10,130
zhang-zhen-zhen-44,0,0,4,0
ziofat,23,23,171,994
vieplivee,278,278,10,347
zhang-xiao-hua-33,2,2,25,2359
Samhero,0,0,86,4528
wenabby,16,16,345,5254
cheng-yi-nan,16,16,463,41702
guanchunwang,1,1,10,23
zhang-yi-73-93,6,6,34,257
qiao-liang-11,0,0,0,0
jia-jia-21,6,6,88,575
kornephoros,22,22,187,3478
su-fei-17,27,27,184,33005
leevi,3,3,252,1583
liu-zhen-71,0,0,11,30
hong-tao-56,2,2,113,1862
lilyforever,2,2,136,3077
tiancaiariel,0,0,0,0
0000,0,0,15,113
clerk-ma,5,5,42,513
akunamatata,6,6,22,176
zeng-10,3,3,0,118
wei-mu,4,4,63,984
marie-valentine,0,0,2,12
shanshan,10,10,84,1213
keving,8,8,28,186
chen-cen-66,0,0,7,130
yeyi,32,32,225,6529
tian-ji-shun,52,52,382,37772
talich,25,25,807,29662
tangsyau,25,25,248,4853
lianghai,129,129,1530,23609
duyan,316,316,1088,13448
naiching,0,0,1,0
xu-zhou,2,2,204,2441
yinshoufu,0,0,17,1848
cindysss,147,147,0,0
da-joy,45,45,244,4659
delphi,134,134,1236,12205
