user_id,followers,asks,answers,goods
jiang-tao-1-73,0,0,0,0
zhou-li-53-88,0,0,0,0
he-bi-43,0,0,0,0
wang-mou-mou-18-92,0,0,0,0
kong-man-33,0,0,0,0
zhao-jun-yan-48,0,0,0,0
li-guo-guo-43,0,0,0,0
yang-zhi-yu-95,0,2,0,0
zhang-da-gang-49,0,0,2,0
chen-ai-2-85,0,0,0,0
gong-miao-24,0,0,0,0
xiao-xiao-74-1,0,0,0,0
cheng-tian-shuang-81-7,0,0,0,0
fan-fan-fan-63,0,0,0,0
qing-zhu-69-66,0,0,0,0
chen-emma-35,0,1,0,0
wu-da-san-de-gu-liang,0,0,0,0
he-qiang-84,0,0,0,0
li-he-31-21-50,0,0,0,0
riley-chang,0,0,0,0
tang-qian-57,0,0,0,0
gao-hui-fang-78,0,0,0,0
li-wei-61-57,0,0,0,0
yue-zheng-fu,0,0,0,0
wu-shuang-mei-8,0,0,0,0
li-jin-gan,0,0,0,0
wu-ye-fei-xing-53,0,0,0,0
nie-chang-11,0,0,0,0
chen-xin-12-40,0,0,0,0
hua-sheng-ke-liao,0,0,0,0
xiong-xiao-29-98,0,0,0,0
guo-mei-li-38,0,0,1,0
jia-ling-75,0,0,0,0
mo-jie-ge-wei,0,0,0,0
tuo-la-ji-41,0,0,0,0
li-chen-ming-54-38,0,0,0,0
wang-fei-98-46,0,0,0,0
bamboo-super,0,0,0,0
shi-bao-63,1,1,0,0
chen-liu-65,0,0,0,0
yang-shuo-51-85,0,0,0,0
yan-lin-33-35,0,0,0,0
sea-lee-19,0,0,0,0
wang-da-guai-47,0,0,0,0
ceng-yue-xi,0,0,0,0
he-er-84,1,1,15,19
xu-ji-rong-72,0,0,0,0
zhang-wen-34-49,0,0,0,0
gu-xiang-yu-76,0,0,0,0
li-xiao-ji-11,0,0,0,0
xiao-hui-hui-87-27,0,0,0,0
simixn,0,0,7,1
yan-xiao-ran-27,0,0,0,0
lei-bo-8,0,0,0,0
tan-mang-guo,0,0,0,0
hugh-lee-31,1,1,6,0
dai-qi-82,0,0,0,0
fu-da-chuan,0,0,0,0
a-an-5,0,0,0,0
a-niu-98-23,0,0,0,0
wa-wa-68-76,0,0,0,0
zhang-xue-wei-10,0,0,0,0
sun-zhen-xing-10,0,0,0,0
kou-xiao-pa,0,0,10,0
hua-tian-80,0,0,0,0
shu-ge-47,0,0,0,0
chen-mian-27-55,0,0,0,0
zhang-fan-77-60,0,0,0,0
jiang-nuan-nuan-55,0,0,0,0
cao-liu-qing,0,0,0,0
mo-li-wu-48,0,0,0,0
pan-xiao-chen-65,0,0,0,0
choco-zhan,0,0,0,0
mi-mi-24-25,0,0,0,0
fu-xiao-bai-2,0,0,0,0
zhang-yi-xin-46,0,0,0,0
chen-wen-kang-10,0,0,0,0
zhou-si-yang-90,0,0,0,0
yang-zhuo-81,0,0,0,0
liu-xin-yi-7,0,0,0,0
huo-hui-19,0,0,0,0
