user_id,followers,asks,answers,goods
sun-da-da-67,0,0,0,0
jiang-liu-er-57,0,0,0,0
pao-zi-12,0,0,0,0
chen-xi-66-34,0,0,0,0
lu-fei-8-23,0,0,0,0
mo-mo-mo-83,0,0,0,0
yu-xi-16-85,0,0,0,0
zsj7,0,0,0,0
zhuo-liu-76,0,0,2,0
bu-fan-18-69,0,0,0,0
shen-zhan-90,0,0,0,0
ai-xin-jue-luo-ke-lei-ge,0,0,0,0
du-wu-feng,0,0,0,0
zheng-xi-qia,0,0,0,0
an-tai-50,0,1,0,0
trickthetrick,0,0,0,0
chen-zi-qiu-98,0,0,0,0
zhang-cun-guo,4,2,25,16
ma-yi-34-66,0,0,0,0
liu-wei-19-81,0,0,0,0
zan-shao-wei,0,0,0,0
wang-zai-zai-42,2,2,5,0
brian-bravo,10,10,68,311
migong-zi,0,0,0,0
wu-ni-miao,0,0,4,0
pan-shan-shan-63,0,0,0,0
a-jin-27,0,0,0,0
tian-ye-36-82,0,0,0,0
hu-xiang-zi-39,0,0,0,0
wang-diven,0,0,0,0
da-zhu-jiao,0,0,0,0
yang-lu-55-14,0,0,0,0
cai-peng,0,0,0,0
jangdwter,0,0,0,0
laraison,0,0,0,0
yuan-hei-hei,0,0,0,0
showshow-love,1,1,0,0
chen-qi-xin-3,0,0,1,0
hongfei-zhang,0,0,3,0
wei-wang-92-5,0,0,0,0
gan-lan-shu-40,0,0,0,0
yi-tian-xing-16,0,0,0,0
ccc-cathy,0,0,0,0
su-zhi-chao-99,0,0,0,0
zhou-jing-yi-62,0,0,0,0
huang-shao-4,0,0,2,0
wang-dian-jun,3,3,1,0
li-yihuan,0,0,1,0
nan-mr-creep,0,0,0,0
xiao-zhu-shan-bo-jue,2,2,5,10
lu-pu-tong,0,0,0,0
ming-xi-73,0,0,0,0
xu-nan-13-91,0,0,0,0
zhuguozeng,0,0,0,0
yu-mu-mu-45,0,0,0,0
tian-tian-88-9,0,0,0,0
huang-helen-46,0,0,0,0
gan-lin-69-1,0,0,0,0
hsia-ham,0,0,0,0
mou-xiao-qun,0,0,0,0
mao-dong-14,0,0,0,0
duncanzhang,7,7,193,2211
gou-gou-si-ling,1,1,0,0
shang-guan-shuai-ge,0,0,0,0
jiu-du-64,0,0,5,0
tong-yong-juan,0,0,0,0
dong-dong-19-85-70,0,0,0,0
wei-mei-39,0,0,0,0
zhang-bao-ping-49,0,0,0,0
wang-xiao-28-59,0,0,0,0
chunlei-fu,0,0,0,0
cui-xue-nan,0,0,0,0
meng-lv,0,0,0,0
zhou-hui-5,0,0,0,0
gspjazz,0,0,2,0
chen-yi-60-9,0,0,0,0
chen-xiao-yi-46,0,0,0,0
luo-lan-li-zhen,0,0,0,0
zeng-aemn,0,0,0,0
chen-zhi-ping-30,0,0,0,0
lin-xu-17-83,0,0,0,0
wang-jing-94-83,0,0,1,1
zhu-heng-29,0,0,0,0
barney-guo,0,0,0,0
bixing-yan,2,2,7,7
cao-dan-39-35,0,0,0,0
wang-yang-yang-51-15,0,0,0,0
zhang-chun-yu-71,0,0,0,0
ya-wu-69,0,0,0,0
ai-an-nuo,0,0,0,0
chen-nuo-57,0,0,0,0
