user_id,followers,asks,answers,goods
yang-yang-de-yi-40,0,0,0,0
jin-chen-58-54,0,0,0,0
he-bi-43,0,0,0,0
hong-jian-50-44,0,0,0,0
wu-demo,2,0,3,0
li-guo-guo-43,0,0,0,0
zhang-da-gang-49,0,0,2,0
wu-da-san-de-gu-liang,0,0,0,0
huang-xiao-dong-2,0,0,0,0
yue-zheng-fu,0,0,0,0
da-da-77-15,0,0,0,0
wu-shuang-mei-8,0,0,0,0
lao-chen-lao-chen-41,0,0,0,0
yan-ye-12,0,0,0,0
xiong-xiao-29-98,0,0,0,0
zhou-xiao-wo-2,0,0,1,0
jia-ling-75,0,0,0,0
wang-jin-xi-83,0,0,0,0
li-chen-ming-54-38,0,0,0,0
li-shan-54,0,0,0,0
song-shi-hui,0,0,0,0
bamboo-super,0,0,0,0
yang-shuo-51-85,0,0,0,0
jane-cao-42,0,0,0,0
xu-wang-56,0,0,0,0
yin-mao-ting,0,0,0,0
ta-hou,0,0,0,0
yang-ne,0,0,0,0
xu-cc-98,0,0,0,0
zhu-bo-48-69,0,0,0,0
ujun-lee,0,0,0,0
da-zha,0,0,0,0
bing-bing-99-11,0,0,0,0
lei-bo-8,0,0,0,0
li-xiao-ji-11,0,0,0,0
simixn,0,0,7,1
chen-zhi-chao-57,0,0,0,0
liu-si-jing-17,0,0,0,0
zhang-wei-90-16,0,0,0,0
a-niu-98-23,0,0,0,0
adamzhang,0,0,24,155
li-yu-shan-89,1,1,2,27
karo-zhao,0,0,2,0
shen-ya-nan-44,2,2,64,807
jiang-nuan-nuan-55,0,0,0,0
yun-chu-13,0,0,0,0
pan-xiao-chen-65,0,0,0,0
liu-run-kai-34,0,0,0,0
li-wang-wang-71,0,0,0,0
jacinda-zhao,0,0,0,0
chen-hai-29-13,0,0,0,0
he-dong-mei-88,0,0,0,0
yang-yan-ming-25,0,0,0,0
kang-lin-83,0,0,0,0
zhong-jia-hao,1,1,3,0
long-da-39,0,0,0,0
xiao-dui-72,0,0,0,0
xia-xiao-chuang,0,0,0,0
zhou-xiao-shun,0,0,0,0
hu-meng-long-75,0,0,0,0
sun-qi-di-92,0,0,0,0
biao-biao-yu,0,0,0,0
li-zi-mu-96-24,0,0,0,0
nie-dan-56,0,0,0,0
yangsheng,0,0,0,0
wu-mo-xi-21,0,0,0,0
yao-jiao-9,0,0,0,0
zhang-qi-90-36,0,0,0,0
ding-shan-76,0,0,0,0
Gsspy,8,8,21,24
li-zhao-yang-1,0,0,0,0
xiao-mao-82,0,0,0,0
zhang-hao-14-48,0,0,0,0
john-wu-78,0,0,0,0
dan-xiao-xuan-61,0,0,0,0
xiao-he-he-68-75,0,0,0,0
yang-zhong-fu,1,1,0,0
zhu-yuan-jie-35,0,0,0,0
zhuan-jia-tong,0,0,0,0
mi-niao-41,0,0,0,0
zhuang-xiao-yan-77,0,0,0,0
chen-liang-13-68,0,0,0,0
zhang-rui-64-9-23,0,0,0,0
tong-xiao-xi-71,0,0,0,0
yu-ke-94,0,0,0,0
lin-xiao-ran-27,0,0,0,0
li-chen-86-49,0,0,0,0
hu-yu-zhao,6,6,28,17
yan-lou,0,0,1,0
mo-li-mo-li-31,0,0,0,0
shi-wei-shu-ji-cool,0,0,0,0
niu-cai-xia,0,0,0,0
xiao-yu-27-64,0,0,0,0
xiao-he-19-4,0,0,0,0
wang-ou-27,0,0,0,0
hua-er-98,0,0,0,0
bai-shui-60,0,0,0,0
zhang-lan-81-90,0,0,0,0
li-nan-52-83,2,2,0,0
ji-jian-wei-73,0,0,0,0
zhen-qin-39,0,0,0,0
wang-long-14-10,0,0,0,0
si-lie-de-bing-hun-13,0,0,0,0
chen-xi-66-34,0,0,0,0
lu-fei-8-23,0,0,0,0
mo-mo-mo-83,0,0,0,0
xiao-lu-shi-xiao-mao,0,0,0,0
hong-yi-tian,0,0,0,0
liu-xiao-jin-41,0,0,0,0
rachel-22,0,0,0,0
alaior,0,0,0,0
zhang-fang-57-37,0,0,0,0
fan-bei-bei-97-19,0,0,0,0
zhou-jing-wei-12,15,15,33,169
gua-niu-zhi-shui,0,0,0,0
yang-wei-bo-86,0,0,0,0
zhang-ke-ni,0,0,0,0
shen-zhan-90,0,0,0,0
wang-fei-93-39,0,0,0,0
zheng-xi-qia,0,0,0,0
ak49tenly,0,0,0,0
zheng-yu-lin-93,0,0,0,0
gao-sheng-47-14,0,0,0,0
xue-zhe-68,0,0,0,0
wang-jia-yao-49,0,0,0,0
guo-luo-68,0,0,0,0
migong-zi,0,0,0,0
pan-shan-shan-63,0,0,0,0
hu-xiang-zi-39,0,0,0,0
zhao-fan-fan-84,1,1,0,0
chen-zhi-33-72,0,0,0,0
li-yihuan,0,0,1,0
sithel-ace,0,0,0,0
da-tou-19-36,0,0,0,0
huang-jia-lin-43,0,0,0,0
meng-wen-tao-81,0,0,0,0
mu-xia-82,0,0,0,0
miao-xing-ren-11,0,0,0,0
wang-it,0,0,0,0
du-gu-qiu-bai-60-13,0,0,0,0
alan-cheung-36,0,0,0,0
fu-ya-17,0,0,0,0
yang-xiong-di-28,0,0,0,0
geng-xin-zhong,0,0,0,0
wang-han-10-24,0,0,1,0
hua-xue-jing,0,0,0,0
nan-mr-creep,0,0,0,0
ren-er-nu-wei,0,0,0,0
wang-jin-hua-77,0,0,0,0
sang-sssss,0,0,0,0
ke-wei-er,2,2,1,0
huang-xiao-song-27,0,0,0,0
lu-pu-tong,0,0,0,0
yu-lan-98,0,0,0,0
kong-yu-chao,0,0,0,0
liu-yang-62-56,2,2,12,1
huang-helen-46,0,0,0,0
fang-yu-69-65,0,0,0,0
xian-jia-jun-87,0,0,0,0
duncanzhang,7,7,193,2214
liu-ting-8-30,0,0,0,0
gou-gou-si-ling,1,1,0,0
xiao-bo-95-43,0,0,0,0
ji-mo-62-94,0,0,0,0
hei-hua-fei-hiffo,0,0,0,0
zhou-yu-jiao-38,0,0,0,0
wen-xiao-nian-yu-er,0,0,0,0
tong-yong-juan,0,0,0,0
xu-li-zheng-14,0,0,0,0
li-fu-yu-19,0,0,0,0
wei-mei-39,0,0,0,0
annie-du-79,0,0,5,1
an-kang-86,0,0,0,0
yuan-teng-peng-mei,0,0,0,0
hoto-lvr,0,0,0,0
zhang-ban-rou,0,0,0,0
tonali-koenno,1,1,0,0
meng-lv,0,0,0,0
zhou-zhi-jun-62,0,0,0,0
zhou-hui-5,0,0,0,0
wan-stu,0,0,0,0
xiao-mo-li-18,0,0,0,0
ge-chi-san-jian-dian,0,0,0,0
zzzzxxjin-jie,0,0,0,0
xing-fu-22,0,0,0,0
danny-lam-24,0,0,0,0
luo-lan-li-zhen,0,0,0,0
zhang-xi-13-34,0,0,0,0
gu-yu-56-1,0,0,0,0
zhang-yu-55-99,0,0,0,0
feng-xing-sang,0,0,0,0
shan-xia-zhi-jiu-52,0,0,0,0
yiu-sing-chan,0,0,0,0
lin-xu-17-83,0,0,0,0
bixing-yan,2,2,7,7
wen-qian-qian-67,0,0,0,0
hongming-huang,0,0,0,0
zhou-xuan-40-86,0,0,0,0
zhang-zhang-40-61,0,0,0,0
an-ji-ma,0,0,0,0
yun-fei-90-34,0,0,0,0
xiao-guai-22,0,0,0,0
su-toto,0,0,0,0
chen-nuo-57,0,0,0,0
si-ma-yan-yan,0,0,0,0
li-chen-71-79,0,0,0,0
jiang-zhuo-xin,0,0,0,0
an-wei-chen,0,0,0,0
qi-ian,0,0,0,0
yubin-li,0,0,0,0
luo-yx,0,0,0,0
liang-guo-heng,0,0,0,0
gao-bao-ming,0,0,0,0
zhu-ben-58,0,0,0,0
zhang-dong-xu-34,0,0,0,0
wang-chao-ying-10,0,0,0,0
liu-yan-81-36,0,0,0,0
wang-xiao-13-97,0,0,0,0
xiong-de-xing,0,0,0,0
zhenjiao-chai,0,0,0,0
zhang-yong-qiang-19,0,0,0,0
lu-qi-ya-50,2,2,3,0
wang-xu-2-19,1,1,0,0
wang-si-ya-9,0,0,0,0
li-yang-37-84,0,0,0,0
wu-xin-sang,0,0,0,0
sun-kiki-6,0,0,0,0
chi-chi-38,0,0,1,0
lin-dan-98-99,0,0,0,0
herb-lv,0,0,0,0
dan-dan-12-51,0,0,0,0
xiao-wen-8-53,2,2,0,0
gl-yi,0,0,0,0
qin-wei-83,0,0,6,0
pei-ge-31,0,0,0,0
li-teng-91-13,0,0,0,0
wei-qi-46-65,0,0,0,0
pucool,0,0,0,0
wang-mo-han-46,0,0,0,0
gu-cha-ma-dao,0,0,2,0
fei-fang-69,0,0,0,0
song-zhi-33,0,0,0,0
xinyi-xue,0,0,0,0
wang-ming-12-77,0,0,0,0
xia-ye-15-51,0,0,0,0
candy-john,0,0,0,0
ya-nan-3,0,0,0,0
li-he-84-41,0,0,0,0
yu-yu-50-30,0,0,0,0
xiao-chuan-li,0,0,0,0
xiong-yi-fei-67,0,0,0,0
zhi-zivlark,0,0,0,0
jia-jia-6-79,0,0,0,0
wang-wen-can-20,0,0,0,0
lovewhowho,5,5,26,125
bai-yang-3-83,0,0,0,0
yan-yan-77-37,0,0,0,0
xiao-wen-kai-16,0,0,0,0
liang-tao-52,0,0,0,0
wu-feng-18,0,0,0,0
qia-wa-yi-melody,0,0,0,0
luo-xu-36-57,0,0,0,0
bo-he-wei-lian,0,0,0,0
li-shao-ze-98,0,0,0,0
sai-ke-xi,0,0,2,5
xie-xiao-hua-88,0,0,0,0
jiang-ting-cheng,0,0,0,0
li-yi-43-22,0,0,0,0
cynthia-pang,0,0,0,0
kong-xin-yi-54,0,0,0,0
qiu-xiao-feng-35,0,0,0,0
meng-di-86,0,0,0,0
hao-shuai-cheng,0,0,0,0
kell-king,0,0,0,0
lin-xiao-xi-10,0,0,0,0
xue-ji-fu,0,0,0,0
chen-qin-44,0,0,0,0
diaosynm,0,0,98,35
tan-ming-31,0,0,0,0
gao-jia-yuan,0,0,0,0
ko-ai,0,0,0,0
xian-guan-tou,0,0,0,0
yu-xian-sen-13,0,0,0,0
peng-kai-44,0,0,0,0
suo-lei-52,0,0,0,0
xiao-bi-32,0,0,0,0
li-you-chen-67,0,0,0,0
monica-zhao-56,0,0,0,0
ni-hao-60-59,0,0,0,0
town-terry,0,0,0,0
pei-hong-yi,0,0,0,0
yu-yue-76-76,0,0,0,0
cao-kun-kun-29,0,0,0,0
huo-hua-63,0,0,0,0
jessica-xu-30,1,1,20,9
chi-pi-sa-de-mo-mo,1,1,0,0
you-xue-song,0,0,0,0
syan,12,12,5,14
li-dong-jie-72,0,0,0,0
he-meng-ya-99,0,0,0,0
guo-bing-33,0,0,0,0
wen-yi-28,1,1,0,0
xia-yu-16-22,0,0,0,0
bao-ming-69,1,1,0,0
guo-da-xia-35-86,0,0,0,0
jia-xi-bei-69-75,2,2,1,0
leehui,0,0,19,9
echo-lee-3-36,0,0,0,0
yu-qi-zhao-tai,0,0,0,0
celie-lau,0,0,0,0
chen-wei-min-20,0,0,0,0
momo-41,0,0,12,131
guo-yu-lei-99,0,0,0,0
daviddiu,0,0,0,0
guan-dou-dou,0,0,0,0
liu-yidao-71,0,0,0,0
fan-kahlen,0,0,0,0
er-ma-33-38,0,0,0,0
zha-bi-xiao-chi,0,0,0,0
xie-feng-99-91,0,0,1,0
tian-peng-65-6,0,0,0,0
fei-xiao-shui,0,0,0,0
zhang-chuang-75-43,0,0,0,0
yu-miao-86-96,0,0,0,0
he-yuan-3-91,0,0,0,0
chengmenglai,0,0,21,1
meng-niu-53,0,0,0,0
liu-shang-qing-14,0,0,0,0
li-lei-kai,0,0,0,0
pan-hui-43-98,0,0,0,0
chen-ting-ting-31-81,0,0,0,0
shu-shi-qi-4,0,0,0,0
