user_id,followers,asks,answers,goods
lin-yi-xian-54,0,0,0,0
mu-mu-37-38,17,0,12,79
ga-fang-zeng,0,0,0,0
zhang-jie-10-19-35,0,0,0,0
yu-zhi-guang-96,0,0,0,0
li-xin-nuo,0,0,0,0
huo-zhi-kang,0,0,0,0
quroa9,11,3,5,1
da-shu-69-24,0,0,0,0
chen-ou-ou-49,0,0,0,0
liu-jian-hu,0,0,0,0
GFFFFFF,2,1,6,12
liu-gang-83-4,1,5,0,0
time-old-81,0,0,0,0
yang-yun-da-35,0,0,0,0
liu-yan-qi-16,0,0,0,0
ying-ji-lei,0,0,0,0
yi-mu-77-41,0,0,0,0
jiang-shuang-22,0,0,0,0
da-quan-la-xiao-quan,1,4,1,0
wu-na-12,0,0,0,0
qu-xiao-fei,2,2,0,0
pei-gen,0,0,0,0
cheng-wen-15,0,0,0,0
wang-xin-jian,0,0,0,0
yixiu-55-39,0,0,0,0
mao-mao-22-52,0,0,0,0
chen-ji-62-21,0,0,0,0
chen-ya-wan,0,0,0,0
bo-jue-jia-de-ru-lian-shi,0,0,0,0
ding-li-peng,0,0,0,0
hua-xi-52,0,0,0,0
hu-yang-60-12,0,0,0,0
wellc,2,2,1,0
wang-yifan-28,0,0,0,0
man-aj,0,0,0,0
zhang-xiu-juan-33,1,1,0,0
listen,0,0,1,0
lao-wang-79-27,0,0,0,0
si-xiang-jia-shang-hao-jia,0,0,0,0
gui-lu-lu-21,0,0,0,0
xun-ke-meng,0,0,0,0
zzcjb2013tj,1,1,1,0
liu-mei-mei-40,0,0,0,0
timebug,0,0,2,6
zhang-xiao-le-36,0,0,0,0
jin-nian-53,0,0,0,0
chen-lei-93-94,0,0,0,0
lin-yi-qiang-10,2,2,1,0
chen-shan-he-18,0,0,0,0
da-peng-71,0,0,0,0
fu-shi-84,0,0,0,0
geekLeven,0,0,1,0
dou-dou-dou-dou-mao,0,0,0,0
huangyiping,2,2,3,20
ban-xian-28,0,0,0,0
snow-hole,0,0,0,0
