user_id,followers,asks,answers,goods
duqusheng,17,0,7,12
duncanzhang,1673,7,193,2211
bixing-yan,6,2,7,7
zhang-peng-lei-9,0,0,0,0
lankyzheng,3,0,4,2
jingyi-wang-84,0,0,0,0
mu-xiao-juan,5,1,5,30
leehui,12,0,19,9
lu-xin-86-86,3,2,6,8
dao-feng-leng-70,0,0,0,0
jin-ci-1,0,0,0,0
xiao-yu-7-75,1,0,0,0
li-rui-xiao-39,0,0,0,0
man-man-yu-14,14,22,21,8
yuqinweb,11,4,4,0
liang-yi-44-78,0,1,5,2
wei-long-12,3,0,14,16
michael-57,1,1,2,1
maitiano,5,2,6,7
qing-kong-fei-niao,18,0,0,0
yi-ya-nuo,0,0,4,3
zhang-kai-xu-95,22,22,53,36
wang-beryl,0,0,26,5
li-yue-28-81,0,0,0,0
niu-ben-5,4,4,9,7
sicheng,2,2,8,6
ji-de-wo,0,0,0,0
han-xu-40,0,0,0,0
ocean-5,1,1,0,0
snowland,1,1,9,4
dongpunk,5,5,0,0
yu-yi-wei,0,0,2,1
wu-heng,0,0,0,0
li-xiao-yu-92,0,0,6,0
wu-xi-89-63,0,0,0,0
yu-kong-kong,0,0,0,0
li-shuang-er-94,1,1,1,1
tafangx,2,2,5,37
zhou-zi-mo-57,0,0,0,0
zhang-da-tou-40,1,1,0,0
ying-ge-lan-85,8,8,4,1
heaven_000,4,4,12,19
tian-chun-feng,0,0,1,0
lu-gu-niang,0,0,1,0
don-quixote-41,0,0,1,0
hou-xiao-yue-72,0,0,0,0
shikaijie,6,6,22,151
chen-yong-xiu,1,1,1,0
charleschan,1,1,7,13
xie-roy-4,0,0,0,0
horsemwzma,0,0,3,0
xiao-an-52,11,11,5,1
jack1987,2,2,6,2
xu-ye-hua,0,0,0,0
zhao-hua-yi,2,2,0,0
qiu-lin-97,0,0,0,0
he-yuan-41,1,1,2,0
li-xiao-jun-16,0,0,0,0
jiang-zheng-rong-sui-yue,1,1,0,0
hei-mo-wang,3,3,1,0
bai-li-kong-kong-er,0,0,1,0
charlee-tao,0,0,0,0
wu-233,0,0,0,0
jia-jia-15-81,1,1,4,0
fei-yue-hai-tian-zhi-jing,0,0,0,0
luo-man-man,0,0,0,0
nonocast,5,5,28,14
yang-xin-53,4,4,13,11
ernesthuang,0,0,4,10
liu-jing-10-12,0,0,0,0
xiang-fei-7-62,0,0,0,0
xuexizhe,0,0,0,0
itmutong,0,0,15,38
yang-ze-ping,7,7,14,0
li-xin-81-51,0,0,0,0
he-min-12-64,0,0,0,0
liangxuzhi,12,12,166,1332
iliukai,0,0,0,0
zhang-jin-24-79,0,0,0,0
zizaixiaoxiong,1,1,2,2
shun-ping,0,0,0,0
ccliang,0,0,1,0
imchaos,11,11,37,23
alexa-4,2,2,1,0
putaoshu,0,0,5,3
sophie-guan,0,0,0,0
chen-yu-40,0,0,16,70
stevenlee367,1,1,8,1
luo-ding-9,0,0,1,0
ttouicm,0,0,0,0
mu-mu-16-33,0,0,0,0
gao-zhu-57,0,0,0,0
jolenwood,0,0,2,0
ayr1,5,5,3,6
appally,2,2,8,5
wang-wang-5-54,0,0,0,0
cnljj1989,0,0,3,3
wang-li-hui-94,0,0,2,2
qu-zhe-20,0,0,3,16
yangfeipaigu,0,0,5,0
zhang-zz-54,0,0,0,0
b9xcc,0,0,1,0
luokan,1,1,7,11
lin-lin-10-6,0,0,0,0
yang-zhi-55-47,0,0,0,0
Vico24,1,1,4,1
xiao-da-da-27,4,4,13,108
chauliang,0,0,0,0
jiang-wei-09-05,0,0,3,0
hui-lu-74,0,0,0,0
xie-da-xia,5,5,5,0
he-hua-peng,0,0,8,0
li-ling-yu-81,5,5,2,0
fan-ye-86,2,2,18,6
maska,1,1,12,9
li-yang-41,4,4,6,10
halo-73,0,0,5,4
chen-jin-cheng-1,0,0,0,0
liu-yong-jie-4-92,0,0,0,0
