user_id,followers,asks,answers,goods
han-ling-xiao,0,0,0,0
zheng-wei-yu-19,0,0,0,0
xiang-qian-tuo-tao,0,0,0,0
foster,12,2,12,103
xiang-fei-7-62,0,0,0,0
xu-rui-qiang-80,0,0,0,0
zhang-long-fei-9,0,0,0,0
mao-le-er,0,0,0,0
ni-ming-yong-hu-59-67,1,0,1,0
li-die-28,1,1,3,0
yang-zi-chuan-58,0,0,2,0
lu-chen-92-3,0,0,0,0
zhang-ting-93-75,0,0,0,0
wang-zi-long-23,0,0,0,0
zhao-jia-wei-58,0,0,0,0
liang-hai-feng-79,0,0,0,0
zhang-tian-yi-47,0,0,0,0
chuck-lau,0,0,0,0
jiang-yue-76,0,0,0,0
ai-lin-44-39,0,0,0,0
zhao-xue-yu-65,0,0,0,0
han-ji-ping-13,0,0,0,0
huang-yao-shi-8-41,0,0,0,0
fang-ju-68,0,0,0,0
zhao-mo-mo-12,0,0,0,0
li-ke-98-81,0,0,0,0
zhisan,0,0,0,0
bai-qing-shu,0,0,0,0
sun-shu-yu-89,0,0,0,0
luo-yan-zhen-85,0,0,1,0
yu-xing-wang,0,0,0,0
xi-xi-29-34,0,0,0,0
shao-fang-lin,0,0,0,0
yang-zhan-86-83,1,1,0,0
li-yi-93-24-25,0,0,0,0
deng-qi-47,0,0,0,0
kzzxmcche-chuang,0,0,0,0
di-er-43,0,0,0,0
shi-jian-69-82,0,0,0,0
ma-li-jia-16,0,0,0,0
xu-yang-yang-14,0,0,0,0
li-li-hua-98,0,0,0,0
shi-rong-27,0,0,0,0
xiao-da-da-27,4,4,13,99
pan-da-sha,0,0,0,0
mir-klose,0,0,0,0
miliang-zou,0,0,0,0
zheng-dan-34,0,0,1,0
capa-robert-66,0,0,0,0
rex-xie,0,0,0,0
xia-chu-lin-1,0,0,0,0
yan-jin-kai-21,0,0,0,0
andrea-liu-57-53,0,0,0,0
mu-zi-88-52,0,0,0,0
li-hong-71-45,0,0,0,0
xiao-ma-ma,2,2,3,0
shang-jeffery,0,0,0,0
wang-ji-yang-3,0,0,0,0
feng-hai-dong-90,0,0,0,0
RogerWong,0,0,18,18
zhong-xue-di,0,0,0,0
sun-xue-ke-58,1,1,0,0
hongjiumuguaaa,0,0,0,0
cao-cao-74-85,0,0,0,0
jiang-zhi-peng-18,0,0,0,0
nbeigaoyouyongmam,0,0,0,0
jacy-wong,0,0,0,0
jia-ting-ting-15,0,0,0,0
zhang-ti-qiu,0,0,0,0
jiao-er-74,2,2,0,0
imssss,0,0,0,0
cheng-si-he,0,0,0,0
lu-duo-duo-23,0,0,0,0
gu-du-hong,0,0,0,0
ni-cai-16-78,0,0,0,0
vvv-z,15,15,0,0
fu-feng-fu-feng-ri-yue,0,0,0,0
wei-xian-sheng-32-45,0,0,0,0
ydwei-xiao-sun-qian,0,0,1,0
timeflys,0,0,0,0
gao-lu-74,0,0,0,0
li-fei-83-57,0,0,0,0
