user_id,followers,asks,answers,goods
haiming-li,4,6,3,0
williams-bill,0,0,0,0
shao-tian-85,0,0,0,0
shang-guan-ke,0,0,0,0
yang-yi-6-20,0,0,0,0
chainkhoo,16,0,1,0
song-jia-wen-2,5,1,0,0
yan-yang-65-68,0,0,0,0
wang-jia-yao-22,1,5,18,4
chen-yan-90-27,0,0,0,0
ren-an-911,0,0,0,0
sun-rui-49-14,0,0,0,0
fan-qie-da-sheng,0,0,0,0
zi-yun-60,0,0,0,0
zhang-xiao-wen-83-23,0,0,0,0
lin-yang-95,1,0,1,0
lou-dan-86,9,2,1,0
mu-xiao-juan,5,1,5,30
dai-xu-heng,0,0,0,0
guo-xiao-min,20,0,7,2
qiangqiangfang,1,1,2,9
kurt-gee,0,0,0,0
halien,0,0,1,0
jiang-si,2,2,2,0
gu-xiao-xing-16,0,0,0,0
li-zhi-fang-15,0,0,0,0
wu-bin-jie-38,0,0,0,0
he-lei-code,9,9,80,181
zhang-na-ge-shui,0,0,0,0
li-zhe-20-44,0,0,1,9
jiong-mo,2,2,5,1
ben-xiang-84,1,1,22,92
jin-ci-1,0,0,0,0
yang-lei-72-29,0,0,0,0
wang-chen-93,0,0,0,0
li-rui-xiao-39,0,0,0,0
zhou-peng-2-45,0,0,1,0
man-man-yu-14,22,22,21,8
guo-city-27,0,0,0,0
sophina-joy,0,0,1,0
bai-chi-68-80,0,0,0,0
lin-wei-ran-81,0,0,0,0
yuqinweb,4,4,4,0
ambivalent,0,0,19,2
yang-fan-11,2,2,0,0
di-jia-yu,0,0,0,0
TungWah,0,0,0,0
huang-yi-chao-67,2,2,0,0
tian-luo-22,0,0,0,0
lin-zhong-wu,1,1,0,0
yan-mu-73-32,0,0,0,0
li-qin-jun-313,0,0,0,0
yang-xiao-li-73,0,0,0,0
li-hong-55-68,0,0,0,0
coln-lin,0,0,0,0
yi-ya-nuo,0,0,4,3
wz-zhao,0,0,0,0
ninanannan,0,0,0,0
bai-xiao-deng,0,0,3,0
yin-chong-ye,0,0,0,0
wang-beryl,0,0,26,5
he-hai-bo,0,0,0,0
