user_id,followers,asks,answers,goods
wang-duo-62-2,0,0,0,0
tan-su-hong,0,0,0,0
chen-xiao-hai-87,0,0,0,0
ma-dou-48,0,0,0,0
yu-sheng-ni-lu,0,0,0,0
mi-jie-shi,0,0,0,0
zhao-xiping-46,0,0,0,0
huang-hai-jie,0,0,0,0
wu-yao-28-61,0,0,0,0
xing-yiyi,0,0,1,0
zhangguorong,0,0,0,0
xu-yang-yang-14,0,0,0,0
qi-zi-86-15,0,0,0,0
rex-xie,0,0,0,0
da-wei-ba-49,0,0,0,0
yawnlon,0,0,0,0
zhao-hong-18,0,0,0,0
sun-zhi-qing-65,0,0,0,0
xu-le-le-54,0,0,0,0
liu-gang-83-4,1,5,0,0
wang-bu-er-61,0,0,2,0
Shelley-chou,0,0,0,0
xiao-bai-47-73,0,0,0,0
wei-xian-sheng-32-45,0,0,0,0
wu-cai-84,0,0,0,0
zhang-li-yi,0,0,0,0
xu-guang-ming-7,0,0,0,0
yang-hong-1-22,0,0,0,0
yan-yiping,0,0,0,0
guo-xiu-yu-20,0,0,0,0
mo-shi-22,0,0,0,0
yao-gou-75,0,0,0,0
deng-pao,1,1,4,0
etterding,7,7,48,396
wang-shao-jie-89,0,0,0,0
panruo,2,2,0,0
tang-yue-93,0,0,0,0
xiao-sa-78-53,0,0,0,0
su-zi-qi-13,0,0,0,0
zhao-yang-5-37,0,0,0,0
song-yan-66,8,8,4,1
zhang-cun-87,0,0,3,0
chen-dong-yuan,0,0,0,0
xx-nina,0,0,0,0
liu-ming-ren-10,0,0,0,0
chen-liang-liang-43,0,0,0,0
xing-ming-33-29,0,0,0,0
wingkong-chu,2,2,2,0
zhang-rui-43-35,0,0,0,0
shi-dan-ting,0,0,0,0
linghao-wu,0,0,0,0
li-ling-yu-81,5,5,2,0
xu-xiao-zhi-ma,1,1,0,0
tangfeng,2,2,1,3
zuo-tian-yu-29,0,0,0,0
wang-neyo,0,0,0,0
tang-ze-hua,0,0,0,0
su-heng-jie,0,0,0,0
cai-si-yuan-10,0,0,0,0
si-xiao-qian,0,0,0,0
su-xia-88-34,0,0,0,0
gan-hong-ming,0,0,0,0
an-wei-ni,0,0,0,0
wen-qi-qi-qi,0,0,0,0
tuo-tuo-fu,0,0,0,0
ai-ni-ma-75,0,0,0,0
chen-dian-13-24,0,0,0,0
xu-yin-zhou,3,3,2,1
wei-miao-yue,0,0,0,0
yao-jiang-long-82,0,0,0,0
nbeigaoyouyongmm,0,0,0,0
yipeng-zhou,0,0,0,0
