user_id,followers,asks,answers,goods
li-cheng-cheng-61-44,0,0,0,0
huang-suo-cun,0,0,0,0
zheng-xi-5,0,0,0,0
wang-mei-21-10,0,0,0,0
yang-yang-13-4,0,0,0,0
liao-bing-ji,0,0,0,0
tuo-ni-65,0,0,0,0
jialu-li,0,0,0,0
hu-zhi-23,0,0,0,0
one-super,0,0,0,0
li-jin-66-31,0,0,0,0
hu-lin-lin-85,0,0,0,0
linyu-zhao,0,0,0,0
yang-chen-97-32,0,0,0,0
feng-xiao-ying-72,0,0,0,0
liu-xi-mi,0,0,0,0
xiao-cai-15-24,0,0,0,0
wu-bin-xuan,0,0,0,0
xu-liang-gui,0,0,0,0
zhang-zp-46,0,1,0,0
zhang-kun-lun-66,0,0,0,0
shi-ze-yue,0,0,0,0
fool-chase,0,0,0,0
liu-ping-18-58,0,0,0,0
huang-shang-93-75,0,0,0,0
huang-efan,0,0,0,0
yang-ying-jun-75,0,0,0,0
bai-he-duo-chou,0,0,0,0
teng-ge-li-fu,0,0,0,0
qi-qi-qi-70-26,0,0,0,0
zhang-bao-zao,0,0,1,0
zheng-qi-75-60,0,0,0,0
chen-chen-jian,0,0,0,0
liu-xia-82-67,0,0,0,0
chen-pin-1,0,0,0,0
dong-xin-yuan-25,0,0,0,0
xing-ming-9-40,0,0,0,0
dang-pei-min,0,0,0,0
lei-wei-91-47,0,0,0,0
lu-hedia,0,0,0,0
hao-ren-78-73,0,0,0,0
ga-fang-zeng,0,0,0,0
supermiao-xiao-mi,0,0,0,0
wang-hui-feng-30,0,0,0,0
cai-wen-77,0,0,0,0
wang-ya-10-68,0,0,0,0
mu-mu-mu-mu-64,0,0,0,0
wang-lin-han-31,0,0,0,0
yue-ban-wan-bu-wan,0,0,0,0
wu-wan-ying-19,0,0,0,0
bu-he-he-42,0,0,0,0
you-zhi-84,0,0,0,0
lin-lan-29,0,0,0,0
cang-hai-23-56,0,0,0,0
ding-ding-28-90,0,0,0,0
wang-xu-dong-6-13,0,0,0,0
sui-ran-dan-shi,0,0,0,0
heng-yi-29,0,0,0,0
zi-shen-quan-fang-wei,0,0,0,0
tang-guo-93,0,0,0,0
sophy-chan-23,0,0,0,0
shi-nu-bi-26-29,0,0,0,0
xue-zhi-feng-99,0,0,0,0
zhang-chu-ling,0,0,1,0
wang-si-83,0,0,0,0
huang-ming-hua-55,0,0,0,0
bao-zi-zi,0,0,4,1
zhu-se-se,0,0,0,0
li-zhi-zi,0,0,0,0
lalala-august,3,3,0,0
echo-pu,0,0,0,0
ping-shi-31,0,0,0,0
ji-chao-99,0,0,0,0
qi-qi-41-29,0,0,0,0
song-shuang-41,0,0,0,0
dagan,0,0,0,0
dai-zhao-zhou,0,0,0,0
shuqueen-liu,0,0,0,0
wang-ming-yue-29-7,0,0,0,0
peng-fei-71-17,0,0,0,0
gao-da-xian-89,0,0,0,0
cao-miao-3,0,0,0,0
tang-sprite,0,0,0,0
ni-cai-30-83,0,0,0,0
melody-cheung,0,0,0,0
sun-wen-81,0,0,0,0
sun-hai-hai,0,0,0,0
lei-sheng-fu,0,0,0,0
rocky-lee-91,0,0,0,0
niu-niu-3-48,0,0,0,0
