user_id,followers,asks,answers,goods
wang-duo-bao-90,0,0,0,0
xu-li-52-48,0,0,0,0
li-xuan-24-89,0,0,0,0
wu-yu-52gc,262,1,30,297
dean-moriarty,3526,147,30,5053
cpei,0,0,1,0
cai-zheng-63,18,0,0,0
hui-tu-yuan,0,0,0,0
jin-chen-yue,0,0,0,0
wen-hua-cong,5,0,1,0
shu-ye-60,0,0,0,0
lou-xin-yue-64,32,1,27,13
clyde_,151,7,66,1375
qi-wei-85,3,1,8,1
sun-yimin-2,1,3,2,0
lin-yi-qiang-10,11,0,4,16
mian-mian-xx,0,0,0,0
Lee.H,1,0,1,0
zhou-jian-ming-9,12,0,13,3
chen-qian-sen,1,0,0,0
zheng-hua-54,2,0,0,0
xu-yun-fang-81,64,7,4,0
zhong-jiu-80,21,11,16,2
zhang-li-yi,2,0,0,0
thx1104,29,8,26,82
ge-ran-52,3,3,1,0
zhang-tao-55-24,22,2,33,33
he-ming-24,29,2,1,0
BACTERIUM,9,0,7,5
jixin,298155,1308,785,34974
shisu,4520,3,1159,12613
Tron,39,0,13,213
zenggh,1,0,0,0
peilin,2,0,0,0
she-xi-41,0,0,0,0
wang-min-58-75-4,1,0,0,0
cheng-ang-50,6,0,12,1
kevin-hill,22,0,1,0
gao-mei-10,1,0,0,0
sai-er-kai-da,3,1,3,7
zheng-ye-15,6,3,14,18
wu-juan-57,7,0,0,0
pimgeek,628,6,84,1060
kirashi,81,0,3,1708
xiao-li-li-64,0,0,0,0
guo-xun-16,19,2,34,88
liu-fu-kuo,0,0,0,0
ke-xiao-bo,1,0,0,0
wang-bei-er-47,0,2,1,0
gengrui-guo,33,1,0,0
zhang-dan-dan-23,15,34,10,6
neil-35-70,18,9,21,118
li-wen-47-13,0,0,0,0
yang-guang-11-55,16,1,4,24
hao-yue-32,3,2,4,20
chengzhoukun,168,31,252,146
leeelie-woo,5,1,1,1
tony-jang,158,8,50,156
lu-yan-yan-9,1,0,0,0
zhu-wen-zhen-15,7,0,1,0
yang-yi-lin-2,2,0,0,0
zhang-jin-ye,319,1,11,332
luo-yu-lin-27,19,3,13,1
wu-rui-97-4,24,19,85,89
luoqeng,32,5,0,0
cao-meng-di,11201,97,1717,15089
zhou-er-gou-98,6,3,0,0
shi-ming-96,27,4,79,301
liu-xiong-feng-93,12,7,8,4
aihop,13,4,16,5
huo-jia-14,80,2,29,86
moon-drama,0,0,0,0
pei-jian-75,7,0,23,15
xiao-tan-43,28,5,6,23
wen-ting-95,5,1,1,1
zhang-xiao-ming-49-55,26,2,1,0
dong-sheng-15,3,0,1,1
wang-peng-han-21,3,0,1,1
jueshihaojian,30,1,17,45
zhidengta,23,1,9,45
zhou-gang-64,52,2,4,2
karl-wong,0,0,0,0
piaojian,1,0,4,0
lin-xi-73-45,3,1,6,0
zhang-xing-xing-93,0,0,0,0
lin-chen-16,10,0,2,9
lu-xie-38,0,0,0,0
zhang-he-98-22,34,0,20,8
zhang-zi-yang-25-10,10,1,18,8
fu-jing-cheng,0,2,1,4
forrest-jing,73,20,35,314
zhu-yixin-42,276,275,192,103
bcstyle,1838,9,120,1873
lin-er-ke,23,0,15,11
zhan-jin-peng,0,0,0,0
fuwocheng,7255,8,291,12561
yuan-song-xian,5,0,0,0
cheng-kun-yuan,0,0,0,0
jiang-jun-hao-46,1,0,0,0
xie-dino,8,0,2,4
chen-si-si-56-36,3,0,0,0
su-yihang,12,2,4,15
cai-jian-ming,0,0,0,0
luo-yu-xiao-93,1,0,1,4
long-jia-wei,3,0,0,0
shiina,17,0,8,4
solaris-stone,2,0,0,0
peng-gui-jing,11,0,2,0
