user_id,followers,asks,answers,goods
ceng-xue-wei,0,1,0,0
tan-jia-xing,0,0,0,0
lin-zhong-tian-28,0,0,0,0
fan-xiang-long-22,0,0,0,0
yu-xi-16-85,0,0,0,0
chen-xi-66-34,0,0,0,0
song-lin-29,0,0,0,0
xu-bo-yu-37,0,0,0,0
wang-jason-19,0,0,0,0
amber-ya,0,0,0,0
atom_qi,0,0,0,0
mo-mo-mo-83,0,0,0,0
lu-fei-8-23,0,0,0,0
qia-qia-41-6,0,0,0,0
jin-yi-61-1,0,0,0,0
yu-bai-7-3,0,0,0,0
xiu-mu-an,0,0,0,0
fu-sheng-si-xiang,0,0,0,0
ni-feng-fei-yang-66,0,0,0,0
otianatiana86,0,0,1,1
garyjojo,1,1,3,2
nan-xing-14,0,0,0,0
rexxer,0,0,22,33
fan-bei-bei-97-19,0,0,0,0
qiu-ye-23-78,0,0,0,0
han-you-de,0,0,0,0
jin-xiang-hui,0,0,0,0
li-zhi-mei-99,0,0,0,0
cao-mei-da-ren,0,0,0,0
yang-wei-bo-86,0,0,0,0
yue-nan-xiao-mei,0,0,0,0
liu-yan-ling-5,0,0,0,0
wang-han-98,0,0,0,0
zhou-mo-31,0,0,1,0
lei-lei-92-94,0,0,0,0
zhang-ke-ni,0,0,0,0
zhao-tian-yi-93,1,1,0,0
chen-chao-7-10,0,0,0,0
li-ku-78,0,0,0,0
jiang-yu-44-27,3,3,0,0
gao-liu-xia-hui,0,0,0,0
xiao-jiang-83-21,0,0,0,0
zhang-ya-qin-84,0,0,0,0
wang-yi-nan-77,0,0,0,0
nong-lie-5,0,0,0,0
fang-fang-73-48,0,0,0,0
ma-shang-13,0,0,0,0
wendy-wen-51,0,0,0,0
xie-rong-40,0,0,0,0
zhou-qiao-7-72,0,0,0,0
wang-jing-15-95,0,0,0,0
shen-zhan-90,0,0,0,0
liu-qian-12-47,0,0,0,0
liu-guo-21,0,0,0,0
peng-mo-ming-58,0,0,0,0
zetaz,0,0,0,0
xiao-ming-26-34,0,0,0,0
deng-li-kun,0,0,0,0
oliam-seamen,0,0,0,0
liu-shi-yang-8,0,0,0,0
yvonne-chen-70,0,0,0,0
song-zhi-ming-86,0,0,2,0
mou-lin-tong,0,0,0,0
chen-jian-64-59,0,0,0,0
liu-feng-yun-86,0,0,0,0
zheng-xi-qia,0,0,0,0
zhou-quan-94,0,0,0,0
sun-hao-ran-36-18,0,0,0,0
yu-hai-qin,0,0,0,0
zhang-xi-rong,0,0,0,0
liu-kai-81-58,0,0,0,0
zhao-shan-60-80,0,0,0,0
wang-bo-12-49,1,1,0,0
zheng-xiao-hui-92,0,0,0,0
yu-xuan-1,0,0,0,0
ni-shuo-17,0,0,0,0
li-lily-37,0,0,0,0
miao-yao-10,0,0,0,0
qian-jian-20,0,0,0,0
jiang-yi-yi-79,0,0,0,0
xiao-pi-dan-76,0,0,0,0
a-zhu-10-14,0,0,0,0
shen-xin-ai,0,0,0,0
huang-jun-ya-24,0,0,0,0
ye-feng-222,0,0,0,0
zhao-xin-35-3,0,0,0,0
wu-kai-yu-17,0,0,0,0
fino-yuen,0,0,0,0
mint-liu,0,0,0,0
hu-yao-dong,0,0,0,0
xie-qia-30,0,0,0,0
zheng-yu-lin-93,0,0,0,0
nico-sun-82,0,0,0,0
hua-li-hu-shao,0,0,0,0
he-jing-wen-66,0,0,0,0
wang-xiao-qin-85,0,0,0,0
yu-huai-teng,0,0,0,0
zhang-da-shan-96,0,0,0,0
lu-can-30,0,0,0,0
