user_id,followers,asks,answers,goods
wu-dan-51-13,2,0,0,0
jordanfc-chi-fang-_,2120,0,41,595
magasa,90996,0,567,46580
guoxintao,31,0,6,5
zhuxiaobao,31723,0,223,50425
dongdongqiang,49165,33,405,45670
davidchang,4601,1464,104,1931
luo-yong-hao,59157,0,1,1574
Jasonisid,1830,0,6,881
zhengziyang,95018,851,481,7483
moonmonster,32594,7,34,5170
iissii,20160,0,16,1041
talich,115112,25,807,29662
yi-shan-lan-fu,10146,15,132,524
godling,45169,30,574,10575
hugo-ning,36,0,0,0
juliushui,23529,2,252,5083
jiao-mu-jiao,389,4,14,445
xmonkey,609,22,188,899
poem,6798,0,135,2800
wang-ying-24-8,0,0,0,0
tsing-dd,0,0,0,0
yang-fei-48-40,0,0,0,0
yin-fei-fan,0,0,0,0
cheng-li-26-92,0,0,0,0
bi-ling-feng,2,2,0,0
kang-yu-chen-29,0,0,0,0
zhang-yang-61-5,7,1,0,0
lin-zhong-hao-35,0,0,0,0
su-nian-jin-shi-39,0,0,0,0
mao-qian-58,0,0,0,0
zhong-yi-jun-70,0,0,0,0
li-chao-37-41,0,0,0,0
yu-feng-lian,0,0,0,0
han-zhu-12,0,0,0,0
liu-xu-81-17,0,0,0,0
wang-er-xiao-20-28,0,0,0,0
gong-robin,0,0,0,0
lian-yu-97,0,0,0,0
zhu-hao-tian-85,0,0,0,0
wu-wen-jie-87-13,0,0,0,0
xia-ran-ran-81,0,0,0,0
liu-qing-28-74,0,0,0,0
hou-ya-jun-41,0,0,0,0
sherrybu-xiang-chang-da,0,0,0,0
yang-wei-dong-59,7,0,0,0
jiu-ai-cheng-chang-kuai-le,1,0,0,0
yang-yi-37-9,0,0,0,0
li-ming-71-52,1,1,0,0
chen-shu-65-74,0,0,0,0laowushi,7,7,11,7
le-cisa,22,22,8,15

lynnhu,24,24,123,1785
huang-zhu-wei,0,0,0,0
yan-yi-83,1,1,0,0
chen-long-fei-25,0,1,0,0
lovelysunzhe,0,0,3,0
xue-yi-dong,0,0,0,0
huangjia,16,16,71,1805
du-li-wen-27,0,0,0,0
oxygen,236,236,376,4454
ka-ka-88,0,0,0,0
raymond-wang,91,91,1682,65475
yan-kang-ji,1,0,0,0
sun-zhen-hua,15,15,24,88
emily-li-8,0,0,0,0
duck_1984,162,162,596,4482
huang-yi-ming-65,0,0,0,0
amuro1230,42,42,1075,63568
wen-ji-41-89,0,0,0,0
momono,56,56,1034,9456
cao-yu-26-27,0,0,0,0
seasonqu,130,130,332,2703
yangsongdesign,48,48,73,764
ding-li-81,0,0,1,3
su-yan-83,1,1,0,0
li-lin-87,9,9,36,44
luexiao,16,16,157,1176
chen-qing-33,39,39,174,269
Spinnist,35,35,86,363
zhang-yong-liang-49,0,0,0,0
xu-xiao-lu-23-31,0,0,0,0
jia-yi-kang,0,0,0,0
wo-jia-gou-gou-shi-juan-mao,0,0,2,0
wang-li-li-96,0,0,0,0
hillterry,1,1,1,0
dai-shi-xian,0,2,6,1
chang-xie-19,0,0,0,0
xue-qin-14,0,0,0,0
ding-li-42-5,0,0,0,0
jiang-jiang-55-75,0,1,0,0
a-fu-22-60,0,0,0,0
mo-xi-xi-79,0,0,0,0
zhang-jian-46-33,0,0,0,0
lin-mu-sen-47,0,0,0,0
zhang-xi-xi,3,0,0,0
ilicky,2,0,0,0
roger-law-53,0,0,0,0
long-rain,0,0,0,0
luo-tian-yi-75,1,4,0,0
lou-xi-yi,0,0,0,0
wang-rui-18,2,2,9,16
rebecca-hu,1,1,0,0
dwowb,0,0,2,4
iwukai,395,395,6,13
li-jia-hong,0,0,0,0
li-tao-65,1,1,1,0
zl1com,7,7,21,29
jasonyan,37,37,201,1359
pan-da-zhuo,0,0,9,3
sjfsong,0,0,0,0
wang-xin-yun,0,0,2,0
wen-yao,1,1,0,0
smartwoodhouse,0,0,0,0
xu-zhou,2,2,204,2440
wondream,0,0,0,0
fudesign,0,0,0,0
lin-fang-hua,2,2,5,5
Yao-knowledge,0,0,0,0
riolococo,1,1,45,76
chen-ya-lun-65,0,0,0,0
frinkhuang,11,3,4,1
zhao-jing-86-87,0,0,0,0
lin-lin-zong-zong-23-87,0,0,0,0
cao-jia-96,2,0,2,4
mu-zi-83-78-21,0,0,0,0
xu-zhi-ming-72-6,1,0,0,0
kong-cheng-ting-nuan,0,0,0,0
duan-bao-mei,0,0,0,0
wang-liang-liang-15,0,0,0,0
xiao-huang-77-73,0,0,0,0
waisan-lam,0,0,0,0
wang-li-yang-85,0,1,0,0
peng-yang-90-51,0,0,0,0
lin-mao-42,6,1,0,0
fan-xiao-lei,4,0,1,0
tan-yang-48,0,0,0,0
yang-lin-41-93,0,0,2,0
mona-qiu,0,0,0,0
qiao-feng-41-84,0,0,0,0
yun-tian-76-75,0,0,5,0
chen-chang-le-14,0,0,0,0
gong-chang-81-21,0,0,0,0
sen-kingan,0,0,0,0
qiu-sa,0,0,0,0
lu-xing-12-15,0,0,0,0
chancehuang,14,18,16,6
lin-yong-92-47,0,0,0,0
tan-de-jin,0,0,1,0
