user_id,followers,asks,answers,goods
yi-you-16,353,1,25,512
zhang-yi-73-93,196,6,34,257
ouyangli,4977,10,85,10030
tian-hao-20-5,47988,0,110,53849
nergend,41,0,9,31
chenran,14553,69,1151,15951
chen-yu-xiu-8,8222,7,127,11840
cheng-song-25,2138,2,17,3827
shi-yan-20,143,0,1,9
xie-xiao-gene,58,2,2,41
liangbianyao,64204,0,47,60708
Jazzlover,26632,0,68,27490
huang-xin-20-97,12663,3,149,6450
wu-xi-72,13,0,0,0
zhang-xu-86-29,3475,13,686,3320
lu-yu-qi,3569,12,12,8207
akira-meno-35,29,0,4,46
liu-yi-fei-20,15,0,0,0
xiepanda,38878,23,208,54195
zhang-jia-wei,397716,0,1776,270923
yu-tian-nan,0,0,0,0
fan-jia-li-54,0,0,0,0
gao-ming-73-20,1,0,2,0
a-lone,0,0,0,0
wa-wa-dou,0,0,0,0
jin-hui-zhong,2,0,6,2
yifei-li-99,0,1,5,5
xiao-yan-33-21,0,0,0,0
yan-li-11,2,0,0,0
wen-xin-18-14,0,0,0,0
li-ze-38-84,0,0,0,0
lisa-lee-4,0,0,0,0
zhou-mou-mou-41-62,0,0,0,0
zhao-chong-86-90,0,1,0,0
huang-ju-51,0,1,0,0
wang-ming-sen-56,0,0,0,0
wang-yiheng-58,1,0,2,0
yin-zhe-jun,0,0,0,0
zhou-ge-10-78,0,0,0,0
ling-jiu-56,0,0,0,0
zhang-xue-er,5,5,124,1624
shi-hu,9,9,97,1824
unix-hater,0,0,18,933
zhuxiaobao,0,0,223,50425
xian-jing-phenix,30,30,191,2200
hong-tao-56,2,2,113,1862
mizzzhou,17,17,52,428
commando,27,27,816,62831
ao-walden,1,1,29,610
hxly,0,0,17,1269
su-ling-8,2,2,85,74
cao-mou-mou,9,9,20,1338
burun,3,3,48,14310
cmmmleave,0,0,13,1904
zhou-ziliang,19,19,335,812
kasa-lee,0,0,25,128
xu-teng-fei-13,8,8,346,13211
chen-shen-89-46,1,1,61,175
chen-jian-qiang-13,1,1,1,9
minli,8,8,25,834
fan-fan-fou-48,0,0,0,0
kun-peng-zhan-chi-30,0,0,0,0
nai-xin-de-lang,0,0,0,0
nini-ni,0,0,0,0
qian-qian-17-12,0,0,0,0
harry-jj,0,0,0,0
tingting-van,0,0,0,0
chen-xiao-xin-5-76,0,0,0,0
ming-an-shan,6,1,11,11
li-ying-19-65,0,0,0,0
yu-xiang-86,0,0,0,0
zhang-yi-86-46,0,0,0,0
li-zeng-yao,0,0,0,0
ruicen-sun,0,0,0,0
wang-hui-cong-57,0,0,0,0
lu-xiao-jiao,0,0,0,0
zhi-hui-61,0,0,0,0
bie-ge-41,0,0,0,0
pa-woniu,0,1,1,0
wu-ya-tai,0,0,0,0
jin-pei-xing,0,0,0,0
epsilon,28,28,67,239
Marshallpku,11,11,476,6214
liu-guang-hua-97,5,5,48,290
chenbailing,96,96,307,36380
tian-dan-31,3,3,33,111
TengLI,0,0,22,492
liu-xiao-dou,2,2,52,332
palitui,0,0,7,71
metapanda,27,27,82,3908
joy-xu,0,0,67,3243
india,15,15,84,2555
zhuang-ze-xi,33,33,219,2720
missyicky,13,13,45,187
yolanda-11-80,2,2,36,242
Mumagag,7,7,557,13564
shuang-wang,1,1,14,7529
omiracle,0,0,48,1444
sundonglai,0,0,22,524
miao-li-42,23,23,320,8910
niu-qian-41,0,0,0,0
louis-huang-32,0,0,0,0
yang-ling-43-9,0,0,0,0
qing-xu-79,0,0,0,0
zhang-wen-51-99,0,0,0,0
liao-liang-bin-34,0,0,0,0
xie-zhi-zhou-36,0,0,0,0
li-yong-rong,0,1,0,0
wang-yong-92-99,0,1,1,0
zhu-cui-po,0,0,0,0
rockey-hoo-90,0,0,0,0
li-ji-25-14-50,0,0,0,0
zhang-gong-12,0,0,0,0
zhang-hai-yang-10-76,3,0,0,0
lan-lu-mian-bao,4,0,4,1
du-yu-hao-59,0,0,0,0
may-sai,0,0,0,0
lu-xiao-lu-44-79,0,0,0,0
liu-shuai-94-39,0,0,1,0
chen-gugu,0,0,0,0
zhi-bai-83,0,0,0,0
cheng-yong-84,90,4,14,212
pang-luan-luan,10,6,2,5
li-chen-ming-77,0,0,0,0
chen-feng-67-23,0,0,0,0
sun-jin-tian,0,0,0,0
yin-yao-11,0,0,0,0
qinli-49,2,0,0,0
huang-ke-46,24,1,24,445
li-wei-58-51,0,0,0,0
fu-yun-49,0,0,0,0
huang-ying-40-79,0,0,0,0
zheng-le-86-98,0,0,0,0
lu-zi-32-20,0,0,0,0
jia-ming-28,0,0,0,0
jiang-bin-33,0,0,0,0
bo-cai-fu-ren,0,0,0,0
liu-lei-77-72,0,0,0,0
ni-wu-14,0,0,0,0
wang-wei-xing-4,0,0,0,0
shuoliu,10,10,189,11249
fanting,2,2,20,665
su-fei-17,27,27,184,33005
liu-xing-cheng,0,0,30,28
0000,0,0,15,113
magasa,0,0,567,46580
emptymalei,20,20,54,1036
pavelzzzz,0,0,7,119
chenqin,0,0,93,24452
mao-qi,10,10,154,5754
cogito,0,0,0,0
laxapple,2,2,8,57
mu-ke-82,0,0,17,267
stevenliuyi,3,3,111,3522
hu-chang-jie,0,0,16,44
wang-yu-75-44,2,2,14,35
hai-yang,2,2,154,4087
Whiteshadows,6,6,331,1032
bitrat,48,48,189,3287
alexaesar,1,1,58,465
zhou-xiao-nong,64,64,1369,51254
zhao-jian-53,42,42,260,2355
ni-lao,3,3,117,8304
binghan,24,24,558,9814
raymond-wang,91,91,1682,65475
jianghan,50,50,225,967
xiaozhenliu,31,31,482,19824
yu-xiang-8,55,55,324,1441
cindysss,147,147,0,0
xiaodaoren,45,45,831,24083
wuchangwei,39,39,148,366
akunamatata,6,6,22,176
zkitty,5,5,170,504
198401,5,5,495,1907
osiris-wind,16,16,40,422
alvin969,81,81,149,4039
ding-ruo-shui,201,201,676,6664
shanshan,10,10,84,1213
maishaoshao,5,5,49,1023
cici,19,19,178,22424
yjjart,9,9,113,892
talich,25,25,807,29662
synapse,3,3,10,1466
pirate-henry,5,5,59,1289
da-joy,45,45,244,4659
duyan,316,316,1088,13448
zhou-he-qing,11,11,32,91
chu-yang-trueyoung,69,69,261,7059
Metaphox,96,96,845,40202
polyhedron,1,1,15,1827
c8h10n4o2,73,73,173,3038
lao-jia,0,0,0,0
wang-sheng-yi,0,0,13,203
marie-valentine,0,0,2,12
filestorm,6,6,247,5140
liustein,1,1,35,353
chen-hao-84,14,14,1,1325
