user_id,followers,asks,answers,goods
ni-gao,24,0,3,1
ou-zh,0,0,0,0
wang-hun-dan,2,2,2,1
sun-chang-yuan-19,0,0,0,0
annku-lai,0,0,0,0
kinn-chaptere,11,0,0,0
huang-sang-12,0,0,5,0
huaige,2,3,1,0
ya-wu-69,0,0,0,0
chen-shuang-26,3,1,1,0
zhou-neng-44,7,4,9,12
mebeta,7,1,3,1
ceng-zhuo-81,10,1,5,9
chen-zi-dong-50,0,0,0,0
noah-yy,1,0,1,0
liu-xiaonai,0,0,0,0
kuang-fu-16,20,0,0,0
chen-yang-chuan,0,0,0,0
ge-meng-jun-56,11,0,16,13
toylori,61,26,80,180
wang-da-peng-44,0,0,3,2
liu-jia-67-38,0,0,0,0
reptile,0,0,0,0
ceng-rong-bin,2,2,6,2
yang-jiang-99-6,1,1,0,0
li-shuang-jiang,6,6,3,9
man-man-yu-14,22,22,21,8
zhou-xue-shan,8,8,3,0
yuan-peng-87,1,1,0,0
cui-xu-chen,1,1,17,21
xu-chen-15,1,1,16,8
liang-yi-44-78,1,1,5,2
tang-wei-liang,1,1,1,0
Yolandavi,1,1,20,77
ou-shelley,0,0,0,0
xiao-dian-80,0,0,3,0
pancakesay,4,4,11,1
yao-tian-98,0,0,0,0
xiao-ling-87-47,0,0,0,0
ji-jing-45,0,0,1,0
xhiyu,0,0,0,0
sophia-zhao-37,0,0,0,0
heijiajia,2,2,3,0
songyee,1,1,0,0
ninanannan,0,0,0,0
xu-yi-da,1,1,1,1
wei-sheng-79,2,2,47,179
zhang-wei-kun-22,0,0,0,0
tu-tu-33-77,5,5,2,0
xie-chen-rui-86,2,2,0,0
dai-wei-81-74,1,1,0,0
ma-can,5,5,3,0
du-rui-zheng-81,0,0,0,0
niu-ben-5,4,4,9,7
xue-yi-45-20,4,4,1,1
wen-yu-xin-5,0,0,0,0
sicheng,2,2,8,6
gong-chang-yi,0,0,0,0
liu-xx-5,0,0,0,0
song-heng-rong,0,0,6,0
jiang-cheng-li,0,0,0,0
wang-fei-81-54,0,0,0,0
han-xu-40,0,0,0,0
yu-yi-wei,0,0,2,1
liu-kai-hua-51,1,1,0,0
dong-ming-61,0,0,0,0
sha-la-76,0,0,3,0
zhao-qi-13-6,2,2,4,2
ma-lin-97,0,0,0,0
huang-chan-51,0,0,0,0
li-xiao-yu-92,0,0,6,0
li-shuang-er-94,1,1,1,1
yang-jing-hong,0,0,0,0
ying-ge-lan-85,8,8,5,1
crimson-wang,0,0,4,57
milankaka,0,0,2,0
li-zhi-74-64,0,0,0,0
lin-yi-qiang-10,0,0,7,15
chen-jun-57-44,0,0,0,0
suikun-chen,0,0,0,0
jason-liu-4-96,0,0,0,0
zuo-hong-60,0,0,1,0
dazhaode,0,0,11,24
jie-yu-gan,6,6,5,1
ping-xi-79,0,0,0,0
tie-bi-mian-hua-zhong,0,0,0,0
wu-wu-30-85,0,0,0,0
zhao-lu-lu,0,0,0,0
xia-hu-li-14,0,0,0,0
ran-gu-niang,7,7,19,436
southpole,0,0,0,0
chen-xiao-ming-25-53,0,0,0,0
tang-hao-47-44,0,0,0,0
katelynroom,2,2,0,0
zdsboy,4,4,0,0
mo-gu-mo-mo-32,0,0,0,0
he-yuan-41,1,1,2,0
xiao-yao-shen-mao,0,0,0,0
xiao-yuan-hang,0,0,1,0
peng-dan-30,1,1,1,0
li-xiao-jun-16,0,0,0,0
yin-hao-long,0,0,3,1
niu-xiao-piao,1,1,38,27
li-yi-84-70,0,0,0,0
fan-gao-wen-sen-te,0,0,0,0
sa-xi-17,0,0,0,0
niunai,7,7,30,11
lian-ke-56,0,0,0,0
zhang-shao-peng-13,0,0,0,0
bluse,6,6,10,0
shi-shi-67-58,0,0,0,0
zhong-ye-zi-17,0,0,0,0
zhang-you-ding,0,0,1,0
wei-wei-3-26,0,0,0,0
zhang-qian-jin,0,0,0,0
liu-jing-10-12,0,0,0,0
yuan-teng,0,0,0,0
xiang-fei-7-62,0,0,0,0
xuexizhe,0,0,0,0
seventee17,3,3,0,0
lin-xiao-xi-10,0,0,0,0
fei-jie-11,0,0,0,0
luo-yun-94,1,1,0,0
zizaixiaoxiong,1,1,2,2
chen-yu-40,0,0,16,70
chen-yue-yang-69,0,0,0,0
