user_id,followers,asks,answers,goods
jean-natsios,0,0,0,0
zhang-da-gang-49,0,0,2,0
mao-mi-55-58,0,0,0,0
shen-cang-16,0,0,0,0
wang-pi-pi-70,0,0,0,0
hu-hu-21-37,0,0,0,0
xiong-xiao-29-98,0,0,0,0
omsobliga,3,0,3,12
he-er-84,21,1,15,19
cai-wen-feng-22,3,0,0,0
li-xiao-ji-11,0,0,0,0
liu-xi-ming-3,3,1,0,0
simixn,0,0,7,1
a-niu-98-23,0,0,0,0
shu-ge-47,0,0,0,0
gui-gu-yu-nie,0,0,0,0
li-wang-wang-71,0,0,0,0
cwqloon,0,0,2,0
fu-hui-45,0,0,0,0
bb-serphy,0,0,0,0
sun-qi-di-92,0,0,0,0
yi-xiao-long-77,0,0,0,0
lin-xiao-xi-10,0,0,0,0
tan-fei-ling,0,0,0,0
li-zi-mu-96-24,0,0,0,0
zhang-qi-90-36,0,0,0,0
yong-heng-tian-yu,0,0,0,0
xie-song-cheng-80,0,0,0,0
wu-zong-lin-36,0,0,0,0
chou-hua,0,0,0,0
jin-li-wang,1,1,0,0
chen-geng-bin-70,0,0,2,0
xiao-mou-3,0,0,0,0
chan-mick-50,0,0,0,0
he-he-54-77,0,0,0,0
mo-xiao-jie-9,0,0,0,0
kay-11,0,0,0,0
tsien,0,0,0,0
li-jian-9-83-66,0,0,0,0
zhang-cheng-48-98,0,0,3,0
polo-tan,0,0,0,0
mo-li-mo-li-31,0,0,0,0
wu-ya-li-30,0,0,0,0
wang-ou-27,0,0,0,0
exmay-huang,0,0,0,0
shi-tou-25-23,0,0,0,0
sun-da-da-67,0,0,1,0
zhang-qian-40-4,0,0,0,0
mi-zong-12,0,0,8,2170
jin-yu-lai-guo,0,0,0,0
amy-tang-60,0,0,0,0
zhang-yang-96-63,0,0,0,0
lin-chen-59-80,0,0,0,0
man-man-feng,0,0,0,0
ji-ling-li,0,0,0,0
magmak,0,0,0,0
feng-mao-64,0,0,0,0
hun-en-en-96,4,4,1,0
zheng-dao-xuan-79,0,0,0,0
gong-chao-86,0,0,0,0
zhang-wei-biao,4,4,11,5
zhang-bei-39-39,0,0,0,0
bi-jing-yuan-35,0,0,0,0
saluy-lee,0,0,0,0
ren-wei-22-72,0,0,0,0
gan-lan-shu-40,0,0,0,0
tang-ya-dan,0,0,0,0
ccc-cathy,0,0,0,0
lu-pu-tong,0,0,0,0
xiao-xu-71-9,0,0,0,0
li-xin-89-56,0,0,0,0
junjay-li,0,0,0,0
duncanzhang,7,7,193,2214
hu-yin-po,0,0,0,0
yi-zhi-mao,0,0,0,0
tonali-koenno,1,1,0,0
jason-lee-38,0,0,0,0
shi-qi-kuang-san-23,0,0,0,0
martin-gl,0,0,0,0
circle-ann,0,0,2,0
dai-min-jie-74,0,0,0,0
luo-lan-li-zhen,0,0,0,0
lin-sen-55-10,0,0,0,0
feng-xing-sang,0,0,0,0
hua-chi-xin,0,0,0,0
yang-li-83-40,0,0,0,0
cai-shen-99,0,0,0,0
lin-xu-17-83,0,0,0,0
yin-jie-82,0,0,0,0
yin-wei-ru-guo,0,0,0,0
bixing-yan,2,2,7,7
wang-kun-peng-8,0,0,0,0
echo-40-22,2,2,14,1
lizzie-lee-13,0,0,0,0
