user_id,followers,asks,answers,goods
wang-xin-84-3,0,0,0,0
liu-kai-qiang-14,0,0,0,0
yang-ya-nan-18-30,0,0,0,0
xuan-yuan-zhou,0,0,0,0
zhu-ge-guang,0,0,0,0
xiao-kui-hua-87,0,0,0,0
xu-banana,0,1,1,0
xiao-mou-3,0,0,0,0
zhang-xiao-qiu-97,0,0,0,0
alin-john,0,0,0,0
cao-fei-51,4,0,2,0
wang-hao-26-87-69,0,0,0,0
zhou-hua-18-38,0,0,0,0
shu-shu-shu-shu-90,0,0,0,0
cheng-jia-yun,0,0,0,0
bei-bei-70-92,0,0,0,0
po-po-zai-gong-zuo,0,0,0,0
yuan-lu-xing-90,0,0,0,0
li-hong-wei-52,0,0,0,0
darlynn,0,0,2,0
liang-charlie,0,0,0,0
yang-susu,0,0,0,0
lin-ge-28,0,0,0,0
zhou-xiao-min-57-56,0,0,0,0
zhang-cheng-48-98,0,0,3,0
ren-nan-bei,2,2,0,0
wang-jing-91-89-63,0,0,0,0
bai-lu-77,0,0,0,0
situohan,2,2,1,0
smaller-bra,5,5,32,16
fiona-white,0,0,0,0
wang-zhi-ying-16,0,0,0,0
duoduo-xu-46,0,0,0,0
mo-li-mo-li-31,0,0,0,0
wang-hun-dan,2,2,2,1
ma-jie-93,0,0,0,0
wang-xin-hao-85,0,0,0,0
bai-shui-60,0,0,0,0
li-yiting,0,0,0,0
ji-jian-wei-73,0,0,0,0
tan-jia-xing,0,0,0,0
mi-zhou-41-71,0,0,0,0
qia-qia-41-6,0,0,0,0
wang-jian-xing,0,0,0,0
jin-xiang-hui,0,0,0,0
liu-yan-ling-5,0,0,0,0
zhang-ke-ni,0,0,0,0
zero-wang-37,0,0,0,0
gao-liu-xia-hui,0,0,0,0
xiao-jiang-83-21,0,0,0,0
fang-fang-73-48,0,0,0,0
xie-rong-40,0,0,0,0
xu-ling-93-42,0,0,0,0
zhou-qiao-7-72,0,0,0,0
bo-dong-23,0,0,31,36
shen-zhan-90,0,0,0,0
lx-yx,0,0,0,0
du-lai-zhu,0,0,0,0
luo-ci-7,0,0,0,0
chen-jian-64-59,0,0,0,0
er-mi-mi,0,0,0,0
zheng-xi-qia,0,0,0,0
zheng-xiao-hui-92,0,0,0,0
chen-zi-qiu-98,0,0,0,0
xiao-pi-dan-76,0,0,0,0
jing-jan,0,0,0,0
fino-yuen,0,0,0,0
nico-sun-82,0,0,0,0
xie-qia-30,0,0,0,0
guo-mo-mo-32,0,0,0,0
adai-lawrence,0,0,0,0
dfang-xu,0,0,0,0
migong-zi,0,0,0,0
han-liang-38-55,0,0,0,0
shen-shui-89-12,0,0,0,0
gong-fu-qun,0,0,0,0
wang-zhen-zhen-85-1,0,0,0,0
xiao-zhi-tao-96,0,0,0,0
kavin-yang,0,0,0,0
sure-pop,0,0,0,0
wang-xx-57-94,0,0,0,0
you-you-you-1,0,0,0,0
xia-bin-61,0,0,0,0
li-dan-30-1,0,0,0,0
mu-xia-82,0,0,0,0
nick-lu-68,0,0,0,0
chen-zhi-cheng-24-78,0,0,0,0
zhu-ge-cun-fu-25,0,0,0,0
qiao-duan-97,0,0,0,0
chen-jing-12-70,0,0,0,0
sun-xiao-wei-75,0,0,0,0
liu-li-66-73,0,0,0,0
song-ling-feng-43,0,0,0,0
tang-ya-dan,0,0,0,0
wang-jun-jie-29,0,0,0,0
alan-blues-17,0,0,0,0
wu-gang-67-81,0,0,0,0
ge-ge-wu-14,0,0,0,0
yuan-shu-fu,0,0,0,0
nan-mr-creep,0,0,0,0
qin-shu-qi,0,0,0,0
sang-sssss,0,0,0,0
lu-pu-tong,0,0,0,0
yu-lan-98,0,0,0,0
cui-niu-niu-13,0,0,0,0
yu-mu-mu-45,0,0,0,0
zhang-zhe-rui-82,0,0,0,0
li-zhi-dong-91,0,0,0,0
hei-bao-45,0,0,6,3
wu-xing-qiong,0,0,0,0
yu-zi-wan,0,0,0,0
li-yan-38-59,0,0,0,0
he-huang-chu,0,0,1,4
zhao-guang-guang-28,0,0,0,0
thinkinnight,2,2,21,27
xiao-zhen-70-5,0,0,0,0
liu-ting-8-30,0,0,0,0
gou-gou-si-ling,1,1,0,0
xiao-bo-95-43,0,0,0,0
chen-jia-yun-33,0,0,1,0
tong-yong-juan,0,0,0,0
lin-ji-94,0,0,0,0
wei-mei-39,0,0,0,0
zhang-bao-ping-49,0,0,0,0
cao-jin-83,0,0,0,0
yi-zhi-mao,0,0,0,0
heng-heng-66,0,0,0,0
kingtop-stella,0,0,0,0
zhou-hui-5,0,0,0,0
chen-fan-96-91,0,0,0,0
xie-da-jing,0,0,0,0
ceng-tian-3,0,0,0,0
luo-lan-li-zhen,0,0,0,0
xueying-mu,0,0,0,0
zhang-yu-55-99,0,0,0,0
wang-hui-14-88,0,0,0,0
cai-rui-jie-86,0,0,0,0
liao-liu-72,0,0,0,0
zdsboy,4,4,0,0
lin-xu-17-83,0,0,0,0
xu-ming-5-80,0,0,0,0
liu-yu-85-86,0,0,0,0
ai-yi-86,0,0,0,0
guo-xiao-ruan-56,0,0,0,0
xiao-yu-83-83,0,0,0,0
ma-xiao-mei-90,0,0,0,0
yang-yang-18-75,0,0,0,0
xiaocao-li,0,0,0,0
wang-yang-yang-51-15,0,0,0,0
zhang-chun-yu-71,0,0,0,0
youyou-bai-20,0,0,0,0
wang-qiu-hui,4,4,0,0
chen-nuo-57,0,0,0,0
ru-guo-yun-zhi-dao,0,0,0,0
an-wei-chen,0,0,0,0
guo-bing-10,0,0,0,0
yubin-li,0,0,0,0
liang-guo-heng,0,0,0,0
su-ta-ta,0,0,0,0
gao-bao-ming,0,0,0,0
xie-san-mao-5,0,0,0,0
wang-chao-ying-10,0,0,0,0
zz-danny,0,0,0,0
he-shu-liang-93,0,0,0,0
liu-yan-81-36,0,0,0,0
ceyi,0,0,5,4
an-hui-hui,0,0,0,0
shan-ben-51,0,0,0,0
sha-pi-tu,0,0,0,0
chen-kuai-le-85,0,0,0,0
yu-da-bo,0,0,0,0
wang-zi-han-han,0,0,0,0
li-hao-54-86,0,0,0,0
zhang-xiang-85-47,0,0,0,0
huang-jian-hui-16-58,0,0,0,0
miao-lu-29,0,0,0,0
li-yang-37-84,0,0,0,0
liu-liu-liu-42-92,0,0,0,0
shi-shi-42-43,0,0,0,0
chen-xing-53-29,1,1,0,0
li-bao-jun-63,0,0,0,0
jujie-su,0,0,0,0
zhang-xiao-jing-52-82,0,0,0,0
summer-more,1,1,0,0
gl-yi,0,0,0,0
yecai,0,0,2,1
feng-hai-35,0,0,0,0
jiu-yu-95,0,0,1,0
la-la-la-85-92,0,0,0,0
li-teng-91-13,0,0,0,0
luo-mou-75,0,0,0,0
ke-ming-74,0,0,0,0
chen-yu-xuan-22-1,0,0,0,0
liu-jiao-xing-32,0,0,0,0
pucool,0,0,0,0
bu-si-niao-18,0,0,0,0
xie-cheng-72,0,0,0,0
liu-jessie-84-25,0,0,0,0
pan-jing-wen-87,0,0,0,0
bai-bai-19-75,0,0,0,0
pang-yue-55,0,0,0,0
chai-zheng-86,0,0,0,0
li-yu-2,0,0,8,5
xiao-chuan-li,0,0,0,0
zhou-li-jun-85,0,0,1,0
di-shuo-75,0,0,0,0
ge-wu-73,0,0,0,0
long-mao-10,0,0,0,0
lin-xiao-xiao-67-70,0,0,0,0
zheng-kosmo,0,0,0,0
zhi-liao-5-86,0,0,0,0
xiao-bai-tu-78,0,0,0,0
siney-lu,0,0,0,0
liu-liu-liu-88,0,0,0,0
huang-dong-82,0,0,0,0
jia-jia-6-79,0,0,0,0
ge-huai-chang,0,0,0,0
xun-xun-69,0,0,0,0
ding-kun-fei,0,0,0,0
cao-jia-lei,0,0,0,0
xu-hai-yang-16,0,0,0,0
you-kai-97,0,0,0,0
suigewu,3,3,10,4
bai-yang-3-83,0,0,0,0
zhang-lan-81-90,0,0,0,0
wang-jun-37-79,0,0,0,0
meng-jia-li,0,0,0,0
dong-qi-qi-27,1,1,1,0
liang-liang-5-85,0,0,0,0
qia-wa-yi-melody,0,0,0,0
bo-he-wei-lian,0,0,0,0
dui-wo-ai-geek,0,0,0,0
dabo-zou,0,0,0,0
qin-yu-jia,0,0,0,0
lan-dao-en,0,0,0,0
zui-mei-de-wei-wei-lai,0,0,0,0
ou-yang-ling-67,0,0,0,0
zhou-yuan-90,0,0,0,0
tang-xiao-xiong-87,0,0,0,0
chen-qin-44,0,0,0,0
chen-chen-28-19-70,0,0,0,0
zhao-yan-zhou-19,0,0,0,0
shan-quan-you-dian-tian,0,0,0,0
liang-shui-18,0,0,0,0
yu-xian-sen-13,0,0,0,0
wang-xiang-3,0,0,0,0
ceng-zi-yan-42,0,0,0,0
yang-wei-wan,0,0,0,0
wei-xiao-yang-57,0,0,0,0
ta-na-43,0,0,0,0
tao-nathan,0,0,0,0
jin-yu-yuan-53,0,0,0,0
xiao-si-23-28,0,0,0,0
li-xiao-21-23,0,0,0,0
ge-bin-82,0,0,0,0
er-xiao-98-74,0,0,0,0
pei-hong-yi,0,0,0,0
li-gou-dan-84-82,0,0,0,0
ma-er-37,0,0,0,0
cao-kun-kun-29,0,0,0,0
han-han-56-72,0,0,0,0
huo-hua-63,0,0,0,0
liu-yu-meng-89,0,0,0,0
hu-jin-yi,0,0,0,0
liu-wei-30-40,0,0,0,0
ge-ge-35-62,0,0,0,0
ge-bi-pang-zhi,0,0,0,0
nie-shi-long,0,0,0,0
xiao-wen-kai-16,0,0,0,0
liu-meng-yin,0,0,0,0
da-li-shui-shou-37,0,0,0,0
mo-yu-26,0,0,0,0
ttle-sea,0,0,0,0
guo-da-xia-35-86,0,0,0,0
yu-yao-yao-93,0,0,0,0
li-chen-jie-97,0,0,0,0
zhang-si-wei-95,0,0,0,0
xu-yiming-19-22,0,0,0,0
xu-xiao-jing-84-38,0,0,0,0
sun-hao-xuan-40,0,0,0,0
jia-xiao-jun-41,0,0,0,0
han-xiao-77-24,0,0,0,0
nuan-xue-60,0,0,0,0
shu-shu-22-83,0,0,0,0
han-tao-75,0,0,0,0
yuan-zhen-chang,0,0,2,0
tang-mu-shi-zhi-gou,0,0,0,0
liu-yidao-71,0,0,0,0
er-ma-33-38,0,0,0,0
wang-zi-rui-44,0,0,0,0
mo-gu-jun-35,0,0,0,0
zhang-nao-nao-34,0,0,0,0
tengxiaotiao,0,0,0,0
tian-peng-65-6,0,0,0,0
mu-ge-ren-69,0,0,0,0
huang-pa-pa,0,0,1,0
liu-liang-chuan,0,0,0,0
zhao-ya-fei-82,0,0,0,0
mu-zi-50-52-93,0,0,0,0
han-xiao-li-21,0,0,0,0
a-fan-ti-68,0,0,0,0
li-lei-kai,0,0,0,0
yin-hui-zi,0,0,0,0
chen-zhuo-12-15,0,0,0,0
wang-yi-11-41,0,0,0,0
huang-cheng-8,0,0,0,0
mao-ge-46-63,0,0,0,0
zhao-mu-26,1,1,0,0
serena-lu-28,0,0,0,0
zhang-damion,0,0,0,0
li-yuan-92-88,0,0,0,0
zhang-lu-60-76,0,0,0,0
Liichee,1,1,0,0
yang-tao-10-77,0,0,0,0
zhang-zhang-40-85,0,0,0,0
liu-wang-45-39,0,0,0,0
zhang-chi-42-46,0,0,0,0
hu-dan-24-33,0,0,0,0
gao-bei-13,1,1,0,0
wang-hao-12-11,0,0,0,0
zhang-hou-wang,0,0,0,0
yi-qing-qing-63,0,0,0,0
mu-zi-ri-yue-14,0,0,0,0
wang-mu-zi-90,0,0,0,0
zhang-san-43-50,0,0,1,0
li-jian-60-58,0,0,0,0
chen-wei-hong,4,4,24,35
ma-xiao-yan-92,0,0,0,0
ge-lin-75,0,0,0,0
alien-an,0,0,0,0
a-tu-47,0,0,0,0
xuan-xuan-82-94,0,0,0,0
he-lao-shi-80,0,0,0,0
zhu-jie-chen,0,0,0,0
wasabi-fan,0,0,0,0
chen-xiang-94-18,0,0,0,0
dao-dao-68-93,0,0,0,0
quan-hang-hui,0,0,0,0
gao-qi-guang-61,0,0,0,0
ni-liang-58,0,0,1,0
yuan-shang-63,0,0,0,0
li-pei-yang-87,0,0,0,0
li-huan-44-3,0,0,0,0
leng-nuan-nuan-79,0,0,0,0
ai-cun-37,0,0,0,0
tong-tong-8-80,0,0,0,0
liu-xia-35-61,0,0,0,0
lucas-tzai,0,0,0,0
gao-hang-96,0,0,0,0
zhao-mao-mao-1,0,0,0,0
wu-cheng-en-58,0,0,0,0
kuikui-huong,0,0,0,0
pan-er-dong-48,0,0,0,0
jing-ling-li,0,0,0,0
ju-si-fu-yi-xi,0,0,0,0
ya-jun-92,0,0,0,0
dian-xiao-er-44-97,0,0,0,0
xiao-ga-25,0,0,0,0
liu-ye-zhen,0,0,0,0
yu-chen-37,0,0,0,0
lu-si-chuan-67,0,0,6,6
ji-zi-long-wen,0,0,0,0
wanda-wky,0,0,0,0
qin-xin-yao,0,0,0,0
lu-xi-fa-88,0,0,0,0
nan-cheng-19,0,0,0,0
wu-qian-43-70,0,0,0,0
da-ming-ming-51,0,0,0,0
lin-can-long,0,0,0,0
yaoeryi,0,0,3,0
Miley-li,0,0,0,0
bei-da-ni,0,0,0,0
huang-yuan-yuan-5,0,0,0,0
zhuang-hong-chao,0,0,0,0
wang-xiao-qin-23,0,0,0,0
wu-demo,0,0,3,0
mi-xiao-ke-34,1,1,0,0
only-di,0,0,0,0
jia-fei-50-26,0,0,0,0
liu-yan-jia-92,0,0,0,0
liu-jia-jia-88,0,0,0,0
zhang-yu-cui-9,2,2,33,62
yan-sihai,0,0,0,0
liu-yu-han-8,0,0,0,0
he-xing-97,0,0,0,0
liu-qi-87-3,0,0,0,0
shan-gu-feng-58,0,0,0,0
wan-jin-zhu,0,0,0,0
ao-ao-li-ao,0,0,0,0
wang-xiao-xiao-59-57,0,0,0,0
wang-hao-67-49,0,0,0,0
xie-xiao-53-13,0,0,0,0
li-mao-98-4,0,0,0,0
zhao-yang-57-17,0,0,0,0
sun-bao-zhong,0,0,0,0
zhao-wen-wen-73,0,0,0,0
huang-xiao-lei-18-4,0,0,0,0
fang-zi-li-23,0,0,0,0
bai-xiao-bai-45-96,0,0,0,0
chen-zi-xu-3,0,0,0,0
jiang-nan-pi-zi,0,0,0,0
yang-yang-yang-79-59,0,0,0,0
scott-yip,0,0,1,0
jiang-yu-44-27,3,3,0,0
dan-xin-nan,0,0,0,0
shui-yu-63-74,0,0,0,0
jason-ireton,0,0,0,0
liu-de-hua-68-54,0,0,0,0
luo-bu-jiang,1,1,0,0
ding-ming-zhu-28,0,0,0,0
an-di-2-84,0,0,0,0
tu-le-63,0,0,0,0
zhou-zzz-93,0,0,0,0
yin-xin-12,0,0,0,0
wang-ran-ya,0,0,0,0
ou-yang-sarah,0,0,0,0
zhu-yun-22,0,0,0,0
deng-deng-61,0,0,0,0
xie-wan-li-77,0,0,0,0
zhang-summer-93,0,0,0,0
hu-pi-jian-jiao-89,0,0,0,0
zha-xiao-cang,1,1,1,0
yuan-shuai-13,3,3,1,0
lin-hao-40-30,0,0,0,0
zhou-yifang,0,0,0,0
hu-bao-bao-60,0,0,0,0
vicky-aaron,0,0,0,0
huang-jin-yong-9,0,0,0,0
wang-an-90-85,0,0,0,0
gu-jing-sheng-44,0,0,0,0
huang-chang-jin-42,0,0,0,0
peng-guo-guo,0,0,0,0
a-lan-86-43,0,0,0,0
qi-chen-yu-26,0,0,0,0
xin-qing-11-21,0,0,0,0
zhi-mu-zhi,0,0,0,0
zhang-xin-xin-83,0,0,0,0
annie-bear,0,0,0,0
lei-lei-ting,0,0,0,0
liu-nan-82-69,0,0,0,0
zhang-feng-ling-27,0,0,0,0
tao-chen-24,0,0,0,0
geng-zhuang-zhuang-24,0,0,0,0
ding-zi-20,0,0,0,0
jian-ou-ni,0,0,0,0
tai-ni-chou-chou,0,0,0,0
su-mo-yi-27,0,0,0,0
wang-yue-ban-62,0,0,0,0
wu-yang-70-66,0,0,0,0
chen-kris,0,0,0,0
huang-xiao-shuai-48,0,0,0,0
li-jia-65-10,0,0,0,0
wu-shuang-97-29,0,0,0,0
sabrina-wang-26,0,0,0,0
xing-ya-bin,0,0,0,0
chen-ya-yi-45,0,0,0,0
chen-bo-77-40,0,0,0,0
he-zhong-qing-18,0,0,0,0
liu-cheng-29-26,0,0,0,0
