user_id,followers,asks,answers,goods
liang-jun-si,0,0,0,0
peng-mo-ming-58,0,0,0,0
lei-yun-91,1,2,2,0
tang-hao-47-44,0,0,0,0
xia-mo-yao,22,0,19,73
chen-jing-yi-54,3,1,0,0
yu-gu-tou-96,0,0,0,0
ya-wu-69,0,0,0,0
wo-zhi-78,0,0,0,0
zhao-di-shu,0,0,0,0
lin-wei-zhi-39,74,5,57,1401
feng-zheng-43,0,0,0,0
zhang-wei-85-62,2,1,2,1
bian-xiao-zai,10,0,0,0
zi-yun-60,0,0,0,0
bi-dan-91,0,1,0,0
liu-xiaonai,0,0,0,0
ke-ma-30-96,0,0,0,0
chang-zhe-73,0,0,0,0
guo-da-lu-13,1434,37,147,2415
wang-yue-58-12,0,0,0,0
chen-qi-rui-63,0,0,0,0
yida-pian-lan-tian-kong,0,0,0,0
ni-chang-jun,4,4,31,433
huang-jun-feng-15,4,4,12,1
wu-zhi-mi,2,2,10,6
liu-ying-nan-10,5,5,15,0
gao-lu-55-38,0,0,2,0
liang-yi-44-78,1,1,5,2
aspenxu,0,0,60,110
bamboolin-zhong-lu,0,0,0,0
chen-xue-zhu,36,36,39,110
wo-ling-xian,0,0,0,0
purificent,0,0,0,0
wangbailin,0,0,32,13
tian-zi-fang-45,0,0,1,1
xu-jiang-zhu,0,0,0,0
san-san-80-58,0,0,0,0
ying-xiao-le,0,0,0,0
zhang-yi-fei-76-49,0,0,0,0
lu-zi-36,0,0,0,0
zi-xue-46,1,1,3,0
hu-di-88,1,1,0,0
wang-qing-14-97,0,0,1,0
deng-kang-er,4,4,54,90
lu-shi-yi-47-84,0,0,0,0
lullaby-36,0,0,0,0
niu-ben-5,4,4,9,7
xie-tai-miao,0,0,0,0
wei-yuan-tian-lan,0,0,1,0
sicheng,2,2,8,6
xu-tu-fei-yuan,0,0,0,0
alfred-zh,0,0,8,0
han-xu-40,0,0,0,0
lian-zi-49,0,0,0,0
solarex,0,0,0,0
gayporn,127,127,163,267
wang-xiao-song-27-97,7,7,32,65
yu-yi-wei,0,0,2,1
liu-xue-jun-40,0,0,0,0
xiao-ou-yang,0,0,1,0
kao-chuang-de-guang-xian,0,0,0,0
li-xiao-yu-92,0,0,6,0
sen-ran,4,4,4,0
wang-peng-4-43,0,0,0,0
li-shuang-er-94,1,1,1,1
mou-yu-yu,1,1,0,0
chen-yi-21-36,0,0,0,0
ying-ge-lan-85,8,8,5,1
petercai,2,2,16,2
guo-guo-58-50,0,0,3,0
shen-sheng-8,1,1,1,4
lang-shen-95,0,0,0,0
wu-jie-cao-74,1,1,2,0
siyeer,0,0,6,112
caelian,4,4,5,2
chen-xi-71-39,0,0,0,0
hua-mu-mu,0,0,0,0
ke-qi-xi-43,2,2,3,2
eremes-y,0,0,10,9
yang-tao-83-64,4,4,28,124
su-chen-25-5,0,0,0,0
cold-cold,5,5,13,9
wang-he-xiang-82,6,6,92,648
mu-guo-52,0,0,0,0
felixy,0,0,0,0
he-yuan-41,1,1,2,0
fang-yuan-44-67,0,0,0,0
yangguang2013,0,0,0,0
wu-wu-wu-42-67,0,0,0,0
li-bu-ren,34,34,21,18
a-nan-gua,0,0,0,0
b9xcc,0,0,1,0
fox-king,2,2,12,21
wehappy,102,102,116,61
vermouth-mm,1,1,1,0
yang-yang-14-7,0,0,0,0
rex-lee-68,1,1,1,0
ding-shi-yi,0,0,3,0
bai-bai-34,0,0,0,0
bluse,6,6,10,0
cindy-yip,0,0,0,0
shi-cheng-wei,0,0,0,0
nancy-l-52,1,1,8,0
smoke,4,4,9,18
aleo-chen,0,0,1,2
shuai-qi-14,2,2,0,0
felix-libero,1,1,4,0
mu-zi-7-23,0,0,0,0
liu-jing-10-12,0,0,0,0
xiang-fei-7-62,0,0,0,0
xuexizhe,0,0,0,0
yin-hao-long,0,0,3,1
astroy2,0,0,0,0
zizaixiaoxiong,1,1,2,2
lin-yi-qiang-10,0,0,7,15
mifaso,0,0,1,0
feng-xiao-xi-24,1,1,0,0
chen-zi-yi-69,0,0,0,0
fang-xing-nan-91,2,2,83,28
mu-qing-73-75,18,18,11,4
ba-yue-qian-zou,0,0,0,0
a-su-su-su-qia,1,1,1,0
chen-yue-yang-69,0,0,0,0
mu-mu-16-33,0,0,0,0
jian-zhi-chu-51,14,14,7,8
yang-guo-18,0,0,0,0
zhang-yue-35-68,0,0,0,0
xie-qing-chen-55,0,0,0,0
fang-yuan-yuan-21,0,0,0,0
jiu-shi-qi,0,0,0,0
augus714,1,1,0,0
galvin,0,0,2,1
tao-shi-52,0,0,0,0
dui-di,0,0,4,2
li-ji-30-55,0,0,0,0
zeng-lu-95,10,10,20,3
quan-quan-35-32,2,2,18,9
cai-zhi-xi,0,0,0,0
bu-zhi-suo-yun-65,0,0,0,0
jade-84,0,0,9,2
qiu-chen-di,0,0,0,0
miao-ao-3,0,0,0,0
chang-jing-32,0,0,0,0
li-ji-hui-69,0,0,0,0
yan-gui-ji,0,0,0,0
jin-shuo-22,0,0,8,16
huang-pan-pan-82,0,0,0,0
lin-qiao-35,1,1,14,98
antam,0,0,1,0
ta-ta-mi-27,0,0,3,1
chen-yi-zhi-80,2,2,4,0
gui-xiu-75,0,0,0,0
han-jing-jun-92,0,0,0,0
mu-zi-jing-99,0,0,0,0
siu-lao,0,0,0,0
L-SH-12,0,0,2,8
90shots,1,1,6,0
arale,3,3,5,2
li-zhi-teng-6,1,1,0,0
lin-zi-xuan-60,9,9,8,6
zhang-jin-nuo-22,2,2,4,0
mi-gua-mi-gua,0,0,0,0
lu-yao-20-8,3,3,0,0
xiao-yi-yi-38,0,0,0,0
tang-hong-yi,1,1,0,0
vincenthu3221,1,1,5,0
fu-sheng-bu-si-liang,0,0,0,0
fangyuanyzh,10,10,35,51
shanyi-lv,0,0,0,0
cai-zong-heng,0,0,2,1
6677-70,0,0,0,0
wu-you-cai,14,14,53,180
bai-shi-48,0,0,0,0
fan-ye-86,2,2,18,6
tuo-tuo-fu,0,0,0,0
wan-qing-si,3,3,14,4
zou-xiao-shu,0,0,0,0
lu-yang-47-41-81,1,1,0,0
maska,1,1,12,9
chen-xiang-65-76,0,0,0,0
echo-lee-91,0,0,4,1
marcux,6,6,42,20
sun-de-zhong-24,27,27,56,580
mi-ya-88,0,0,0,0
xiong-neng,11,11,12,6
tao-tao-guan-guan,0,0,0,0
ei-lei,4,4,38,33
zhang-bo-yang-71,1,1,1,2
wang-qin-75,2,2,2,0
rush,16,16,52,210
li-sheng-da,0,0,0,0
liu-shi-yang-8,0,0,0,0
chang-yu-2-50,0,0,0,0
han-dong-31,0,0,0,0
wang-hao-19-13,0,0,0,0
liu-hua-yin-66,0,0,1,1
zhang-wei-jie-94,6,6,35,41
han-gao-91,0,0,0,0
coral1234,0,0,15,279
huang-shao-kun-12,0,0,1,0
jin-hey,1,1,3,0
xiao-hui-hui-48,0,0,10,0
csoni,6,6,19,4
shang-guan-wan-fan,1,1,0,0
laurence-91,18,18,62,70
di-wu-67-72,0,0,0,0
denz,0,0,0,0
xiao-yu-72-67,0,0,0,0
hu-cheng-88,1,1,1,1
ni-ma-li,0,0,0,0
hao-zhen-yi-65,0,0,0,0
acco-chu,0,0,0,0
zuo-xiao-long-29,0,0,0,0
zha-kou,0,0,6,22
xu-yuan-47-76,1,1,2,0
jia-yi-qi,0,0,0,0
aaron-52,0,0,0,0
he-guan-yang,0,0,1,1
liju1994,1,1,21,2
liu-zhen-yu-37,1,1,0,0
he-chuan-7,2,2,1,0
sword-chen,0,0,0,0
carl-28,1,1,3,0
mo-yin-94,0,0,0,0
cheng-xiao-ming-69,0,0,1,0
aaronsu,12,12,134,353
a-lu-91-68,2,2,6,3
charlesw,0,0,6,8
kingstontso,5,5,8,6
yi-junjie,1,1,2,4105
gui-sheng-74,1,1,4,4
zhou-zhou-671,0,0,0,0
pa-si-qia-81,0,0,0,0
lizeng-wen,1,1,1,0
easyJoy,2,2,0,0
xu-qing-zhou,0,0,0,0
chen-mou-mou-32-90,0,0,0,0
ren-er-cheng,1,1,9,1
mei-han-qing,0,0,3,1
huang-chi-95,0,0,0,0
huang-yu-63-39,2,2,23,22
lu-yao-91-23,3,3,12,12
gua-niu-98-92,1,1,11,12
jun-yi-14,0,0,0,0
ammen-estelio,0,0,1,0
allen-ma,0,0,1,0
li-zi-64-20-6,0,0,3,2
hu-pei-fen,0,0,0,0
xia-yu-98-27,15,15,13,3
lee-dan,0,0,0,0
yang-yang-47-86,0,0,2,0
there4,15,15,50,46
xiao-meng-yichang,0,0,0,0
yun-zhi-1-21,0,0,0,0
xyunhua,1,1,0,0
king-fan-qie,2,2,1,1
guo-hai-chao,0,0,0,0
ganyu-25,0,0,20,404
chenyitian1992,9,9,3,1
heaven_000,4,4,12,19
zhu-feng-kai,0,0,0,0
vivian-vivian-12,0,0,0,0
zhao-xiao-yu-28,1,1,47,21
lake-flying,0,0,0,0
yan-ivy-70,0,0,0,0
aria-85,0,0,0,0
zhu-gu-li-74-26,0,0,0,0
zheng-chou-chou-17,0,0,0,0
ba-jiu-bei,0,0,0,0
rility,0,0,0,0
tao-yuan-10-5,0,0,1,0
foxmuldery,2,2,122,673
wang-zi-45-6,0,0,0,0
zhu-hong-zhe,0,0,0,0
