user_id,followers,asks,answers,goods
wang-meng-yu,3027,0,292,16359
missxiaoxiaowu,482,0,7,488
nimabidezhihucaonima,17,0,0,0
chong,1224,16,69,158
wu-liang-xi,6,2,6,6
quan-yun-feng,102,3,62,62
liang-tony-75,3,0,5,0
di_strategy,196,2,8,458
wang-ada-1026,2120,3,162,2752
mi-zi-58,69,0,1,0
FireWolf,1285,0,10,843
mu-mu-87-98-18,973,3,6,776
li-zhu-yan,115,8,8,70
scanv.com,316,0,8,157
aton,16189,23,193,47013
he-xiao-peng-21,331,0,1,216
zhouzhi,46,2,7,78
siva,2846,5,53,4844
dongshuting,762,0,14,538
jia-xiao-tao,8,1,0,0
ma-pony-27,3,3,10,62
shaxinzhe,0,0,13,100
du-jin-di,0,0,0,0
shen-lei,0,0,0,0
mo-gui-zi-xun-shi,1,1,29,4186
callmeeric,3,3,13,11
wangliangabc,1,1,8,365
mouce,11,11,141,786
younge-11,2,2,9,84
uc1874,1,1,8,7328
veronicacaca,30,30,118,2907
zhang-yang-60,9,9,149,1895
FantasticCathy,2,2,87,5960
yi-xiao-49,0,0,19,340
dou-kai,26,26,84,715
luo-ji-29-3,1,1,177,1267
linda-jiang,5,5,32,116
lin-zi-qiao-12,0,0,5,212
vurcl,11,11,40,318
niwentian,17,17,4,244
lynn-liu-87,0,0,0,0
xiao-ma-ni-bu-shi,0,0,0,0
he-bao-dan-14,0,1,0,0
shields-liu,0,0,0,0
ji-min-min-85,0,0,0,0
li-zhi-44-40,0,0,0,0
a-ya-ya-20,0,0,0,0
li-ya-zhu-30,0,0,0,0
xiang-yu-62,4,0,0,0
chen-yue-52-94,0,0,0,0
xu-shi-wei-31,0,0,0,0
zhou-yu-heng-62,0,0,0,0
song-zi-ming-2,0,0,0,0
you-shi-33-79,0,0,0,0
xi-zao-80,0,0,0,0
wei-xiao-yang-7,0,0,0,0
wu-wekey,0,0,0,0
hehe-haha-63,0,0,0,0
fang-rui-18-59,0,0,0,0
chu-jian-hua-kai,0,0,0,0
gao-yuan-71-96,6,6,16,371
jin-wu-lai,0,0,167,503
wu-ming-3-68,2,2,102,7387
miranda-ling,2,2,155,842
guanwei,3,3,19,154
zhanghe4,2,2,18,158
lao-wei-joshua,0,0,81,3108
leng-xiao-xi-60,0,0,1,119
lan-ni-26,4,4,92,915
iserlohn,0,0,7,137
xu-xian-jie,2,2,221,1002
zini,8,8,23,100
lianghao,56,56,168,6982
simon212,2,2,8,914
cheng-da-gong-42,6,6,40,10034
guo-ying-zhe,0,0,5,71
hu-dian-69,26,26,72,1452
huang-ming-jie-82,0,0,12,261
jiang-zhao-ning,3,3,34,573
imlab,0,0,1,37
