user_id,followers,asks,answers,goods
zhang-cheng-48-98,0,0,3,0
mo-li-mo-li-31,3,0,0,0
wang-ou-27,0,0,0,0
bai-shui-60,0,0,0,0
zhang-lan-81-90,0,0,0,0
ji-jian-wei-73,0,0,0,0
chen-xi-66-34,0,0,0,0
alexlu-guo,0,0,0,0
lu-fei-8-23,0,0,0,0
mo-mo-mo-83,0,0,0,0
fan-bei-bei-97-19,0,0,0,0
xu-xiao-yu-21,0,0,0,0
yang-wei-bo-86,0,0,0,0
zhang-ke-ni,0,0,0,0
shi-ying-yu-39,0,0,0,0
shen-zhan-90,0,0,0,0
liu-eveling,0,0,0,0
oooo-72,0,0,0,0
zheng-xi-qia,0,0,0,0
xue-zhe-68,0,0,0,0
migong-zi,0,0,0,0
ding-li-42-5,0,0,0,0
han-liang-38-55,0,0,0,0
li-dan-30-1,0,0,0,0
romand-zhang,0,0,0,0
nan-mr-creep,0,0,0,0
sang-sssss,0,0,0,0
zou-an-xu-20,0,0,0,0
lu-pu-tong,0,0,0,0
zhao-li-22-93,0,0,0,0
liu-ting-8-30,0,0,0,0
tong-yong-juan,0,0,0,0
wei-mei-39,0,0,0,0
zhou-hui-5,0,0,0,0
chen-xiaoxi,1,1,1,0
luo-lan-li-zhen,0,0,0,0
smoke,4,4,9,18
zhang-yu-55-99,0,0,0,0
lin-xu-17-83,0,0,0,0
ya-wu-69,0,0,0,0
qiu-zhe-hang,0,0,0,0
lizzy-liu-63,0,0,0,0
chen-nuo-57,0,0,0,0
wang-zi-han-han,0,0,0,0
li-yang-37-84,0,0,0,0
gl-yi,0,0,0,0
ye-san-san,0,0,0,0
li-teng-91-13,0,0,0,0
wang-gang-8-61,0,0,0,0
pucool,0,0,0,0
xiao-chuan-li,0,0,0,0
xiong-yi-fei-67,0,0,0,0
lu-ding-ding-96,0,0,0,0
yang-kang-88-89-16,0,0,0,0
jia-jia-6-79,0,0,0,0
bai-yang-3-83,0,0,0,0
qia-wa-yi-melody,0,0,0,0
cynthia-pang,0,0,0,0
basaja,1,1,8,3
hao-shuai-cheng,0,0,0,0
wu-meng-xian,0,0,0,0
chen-qin-44,0,0,0,0
yu-xian-sen-13,0,0,0,0
constantine-fan,0,0,2,0
cao-kun-kun-29,0,0,0,0
huo-hua-63,0,0,0,0
liu-yu-hang-67,0,0,0,0
he-meng-ya-99,0,0,0,0
guo-da-xia-35-86,0,0,0,0
