user_id,followers,asks,answers,goods
wang-ou-27,0,0,0,0
sun-chang-yuan-19,0,0,0,0
xia-mo-yao,22,0,19,73
zhu-ji-li-49,13,0,53,43
luo-lan-li-zhen,0,0,0,0
wang-jing-94-83,1,0,1,1
yin-wei-ru-guo,0,0,0,0
ya-wu-69,0,0,0,0
li-yuan-hao-56-13,0,0,0,0
yt-he-73,0,0,0,0
gao-gao-7-84,0,0,1,0
zhou-meng-shi-2,0,0,0,0
jessica-l-20,2,0,2,0
he-meng-ya-99,0,0,0,0
lostxu,9,0,0,0
lei-xiao-si-84,16,0,2,24
liu-wang-45-39,0,0,0,0
li-yong-29-56,1,0,0,0
lang-ren-hu,3,0,16,1
yan-yu-dong,1,3,1,0
ma-ding-26-68,0,0,0,0
xie-mi-feng,1,1,18,1
rachel-law-65,0,0,0,0
a-pei-68-61,0,0,0,0
a-chi-7-94,0,0,0,0
yang-zheng-74-18,0,0,0,0
gua-niu-2-13,0,0,0,0
wang-bin-51-10-25,0,0,0,0
lan-qing-86,11,11,0,0
man-man-yu-14,22,22,21,8
yin-gu-30,0,0,0,0
ding-hu-hu,0,0,0,0
liu-shu-58-59,0,0,0,0
la-la-hua-hua-13,0,0,0,0
chen-tian-yu-90,0,0,0,0
liang-yi-44-78,1,1,5,2
nu-nu-53,0,0,0,0
fu-yidan-92,0,0,0,0
wang-xin-yue-50,0,0,0,0
wang-xing-xing-16,3,3,14,9
xie-li-dong-16,0,0,0,0
emumu,1,1,1,0
cherie-liu-86-13,0,0,0,0
zong-xian-sheng-52,0,0,0,0
cheng-er-8,0,0,0,0
deng-ken-91-39,0,0,0,0
ninanannan,0,0,0,0
wu-yi-kun-86,0,0,0,0
zibin-jimmy,0,0,0,0
li-ji-min-69,0,0,0,0
yoyo-yu-10,0,0,0,0
niu-ben-5,4,4,9,7
zhao-shu-88,0,0,0,0
wei-yuan-tian-lan,0,0,1,0
sicheng,2,2,8,6
wang-yi-20-8,0,0,0,0
huang-fang-li,0,0,0,0
sha-tian,0,0,0,0
hao-he-57,1,1,0,0
shang-zao-24,0,0,0,0
a-bao-41-75,0,0,0,0
fu-yun-xiao-jie,1,1,4,0
tan-guo-ping-40,0,0,0,0
wang-er-da-69,0,0,0,0
fu-xiao-33,0,0,0,0
han-xu-40,0,0,0,0
jiao-he-ping,0,0,0,0
wang-my-34,0,0,0,0
yu-yu-89-91,0,0,0,0
yan-xiao-30-60,0,0,0,0
mo-han-xuan-98,0,0,0,0
yu-yi-wei,0,0,2,1
dong-ming-61,0,0,0,0
audrey-zhang-38,0,0,0,0
wei-bing-2,0,0,0,0
ruo-lan-36,0,0,0,0
zhao-qi-13-6,2,2,4,2
li-xiao-yu-92,0,0,6,0
ai-bi-77,0,0,0,0
duo-bi-62,0,0,0,0
du-yi-12-84,0,0,0,0
jing-jiang-zhu-yang,0,0,0,0
bo-eva,0,0,0,0
li-shuang-er-94,1,1,1,1
cao-jia-yang,0,0,0,0
ying-ge-lan-85,8,8,5,1
mei-wen-ting,0,0,0,0
liu-miao-83-2,0,0,0,0
wang-lin-81-33,0,0,0,0
xl-lee-4,0,0,0,0
bai-ai-ai-36,0,0,0,0
wang-zhi-chao-73,0,0,0,0
wang-mu-xi-47,0,0,0,0
lolitazi-yun,0,0,0,0
xia-fu-tian,0,0,0,0
xu-die-39,0,0,0,0
yang-yuan-75-8,0,0,3,1
banyingzhi,0,0,0,0
zoe-zou-wan,1,1,3,0
zuo-hong-60,0,0,1,0
meng-shuang-68,0,0,0,0
lin-yi-qiang-10,0,0,7,15
hou-jia-hui-ru-66,0,0,0,0
a-xiao-49,0,0,0,0
kao-la-da-xiong,0,0,0,0
zhangcuo,31,31,12,40
lu-xiao-sha,0,0,0,0
gua-niu-34-84,0,0,0,0
lu-yu-shan-22,0,0,0,0
chen-huan-74-29,0,0,0,0
ceng-cui-ting,0,0,0,0
mo-gu-mo-mo-32,0,0,0,0
tracy-man,1,1,0,0
zhou-hao-12-89,0,0,2,0
gumoning,0,0,0,0
wang-qin-4-76,0,0,0,0
mu-guo-52,0,0,0,0
shan-xiao-cha,1,1,0,0
he-yuan-41,1,1,2,0
dong-wei-jie-86,0,0,0,0
vivian-79-64,0,0,0,0
jinzhucui,1,1,19,11
chen-wei-ran-51,0,0,0,0
wu-ming-33-18,0,0,0,0
zhang-tian-li-52,0,0,4,2
sunny-17-42,0,0,0,0
huang-ruo-xi-35,0,0,0,0
yang-sha-bi,0,0,0,0
yu-yi-wei-6,0,0,0,0
wehappy,102,102,116,61
wangli3354,0,0,0,0
lu-zhuo-33,0,0,0,0
xiao-ya-87-47,0,0,0,0
song-zhang-66-11,0,0,0,0
hei-bu-wan-de-zhu,0,0,0,0
niunai,7,7,30,11
bluse,6,6,10,0
wang-lei-50-42,0,0,0,0
xu-lin-xin-38,0,0,0,0
yimiao-san-sha,0,0,0,0
zhou-you-47,0,0,2,0
huang-kiei,0,0,0,0
guo-lu-gui-zhu,0,0,0,0
wu-yong-qiang-3,0,0,0,0
shi-zhu-xi,0,0,0,0
yizhi-wjun,0,0,0,0
zhang-qian-jin,0,0,0,0
monkeyshan,0,0,0,0
jinkr,0,0,0,0
xu-wei-97-93,1,1,6,0
liu-jing-10-12,0,0,0,0
xiang-fei-7-62,0,0,0,0
ni-hao-67-21,0,0,0,0
yang-ze-ping,7,7,14,0
maxwell-smith,0,0,0,0
li-mao-tian,18,18,94,41
wang-lu-57-86,0,0,0,0
