user_id,followers,asks,answers,goods
cheng-zhong-qi,0,0,0,0
wan-si-zai-na-li,0,0,0,0
qi-xing-xing-95,0,0,0,0
mu-zi-27-37,0,0,0,0
liu-dong-30-38,0,0,0,0
liu-long-ting,0,0,0,0
shuxin-dong,0,0,0,0
zhang-yifu-99,0,0,0,0
han-ming-ke-74,0,0,0,0
xi-yang-weng,0,0,0,0
sun-gang-60,0,0,0,0
gao-zhi-hao-69,0,0,0,0
song-qing-zhi-30,0,0,0,0
tao-zi-39-7,0,0,0,0
wu-shu-yang-63,1,3,5,0
lin-ct,0,0,0,0
wang-yong-chao-2,0,0,0,0
huang-zhong-hua-64,0,0,0,0
peter-wilson,2,13,6,0
yong-liu-50,0,0,0,0
wu-zhong-35,0,0,1,0
cui-jia-83,0,0,0,0
wan-you-yin-li-32,0,0,0,0
zhuang-chen-Faust,0,0,0,0
zen_in,0,0,0,0
liu-ying-69-47,0,0,0,0
liu-xiao-li-58,0,0,0,0
huang-mei-20-13,0,0,0,0
cao-fei-51,0,0,2,0
zhuang-xiao-yan-77,0,0,0,0
ji-ping-65,0,0,0,0
rock-simon,0,0,0,0
min-ying-48,1,1,0,0
jiang-rui-3-41,0,0,0,0
zhang-xin-84-69,0,0,0,0
chen-lai-xin,0,0,0,0
shou-xi-jie-pou-shi,1,1,0,0
gong-lin-66,0,0,0,0
hw-mao,0,0,0,0
li-nian-bai-16,0,0,2,0
lin-xiao-xi-10,0,0,0,0
xiao-yue-13,0,0,0,0
zhou-xin-kai-13,0,0,0,0
lu-ying-31-93,0,0,0,0
xu-yan-53-39,0,0,0,0
zhou-ruo-li,0,0,0,0
zheng-yi-3-86,0,0,0,0
daniel-han-15,0,0,0,0
bian-meng-ji-vivinie,0,0,0,0
he-ying-chun-41,0,0,0,0
huang-mo-96-76,0,0,0,0
guo-ser,0,0,0,0
mao-mao-3-1,0,0,0,0
wei-lu-qi-61,0,0,0,0
wu-xiang-cai,0,0,0,0
wu-bin-38,0,0,0,0
fang-xin-31-70,0,0,1,0
li-mo-59-46,0,0,0,0
zhang-1,0,0,0,0
sun-xiao-bao-hr,0,0,0,0
fang-liu-15-87,0,0,0,0
kong-yu-chao,0,0,0,0
jing-yu-chen,0,0,9,0
feng-yue-chen,0,0,0,0
ha-ku-sang,0,0,0,0
gua-er-jia-yue,0,0,0,0
hu-ha-ha-32,0,0,0,0
shang-guan-ke,0,0,0,0
ren-dao-guang,0,0,0,0
max-sun-90,0,0,0,0
bixing-yan,2,2,7,7
qing-yan-79,0,0,0,0
zhang-peng-he-24,0,0,0,0
yang-liu-32-40,0,0,0,0
du-du-49-4,0,0,0,0
xu-ling-12,1,1,4,8
guan-pei-64,0,0,0,0
cat-mr-99,0,0,0,0
mario-ma-90,0,0,0,0
chen-zhe-64-86,0,0,0,0
zsj7,0,0,0,0
xiao-ming-he,0,0,0,0
tui-shi-zhe,0,0,0,0
si-wei-88-91,0,0,1,0
junran-zhang-75,0,0,0,0
da-xiao-79-95,0,0,1,1
yu-lin-xing-wu-jiang,0,0,0,0
liu-xiao-yu-12-5,0,0,0,0
tao-ji-zhi,0,0,0,0
