user_id,followers,asks,answers,goods
zhang-dong-51-66,0,0,0,0
cao-shu-chao,0,0,0,0
liang-jun-si,0,0,0,0
he-yan-23-38,0,0,0,0
gary-ding,0,0,0,0
zhsso,1,0,0,0
genji100,0,0,0,0
yang-yi-65-64,0,0,0,0
gu-chen-yin-41,0,0,0,0
lin-nan-22,0,0,0,0
li-xian-sheng-23-45,0,0,0,0
wang-hong-xi-21,0,0,0,0
yu-keno,0,0,0,0
sun-chang-yuan-19,0,0,0,0
mr-ling,1,0,0,0
nuan-nuan-69-64,0,0,0,0
tian-bian-83,0,0,0,0
li-jun-74-11-21,0,0,0,0
dan-cheng-68,0,0,1,0
liu-wei-19-81,0,0,0,0
zhang-tai-hong,1,1,0,0
bao-bei-hu-73,0,0,0,0
cc-cc-43,0,0,0,0
diu-diu-89-93,3,3,0,0
wang-zai-zai-42,2,2,5,0
li-jia-85-76,0,0,0,0
qu-chun-yang,0,0,0,0
ding-li-42-5,0,0,0,0
deng-shuang-37,0,0,0,0
li-kai-le-44,1,1,0,0
wang-jia-yu-94,0,0,0,0
yu-jane-14,0,0,0,0
chen-zhi-hu-89,0,0,0,0
ji-qun-ejia,0,0,0,0
diao-zhen-hua,0,0,0,0
tao-luo-85,0,0,0,0
bi-jing-yuan-35,0,0,0,0
you-shuang-shuang,1,1,0,0
peng-zhi-qi-56,0,0,0,0
liang-shou-shou,0,0,0,0
lian-hua-luo-xie,0,0,0,0
zhang-hai-long-27,0,0,0,0
bing-bing-46-89,0,0,0,0
shi-jin-47-17,0,0,0,0
zhou-qi-82-5,0,0,0,0
gan-lan-shu-40,0,0,0,0
zhong-kun-88,0,0,0,0
samuelchoi,1,1,0,0
xiao-yu-64-72,0,0,0,0
hei-xiao-hu,0,0,3,0
xiao-hua-duo-58,0,0,0,0
allen-shen-30,0,0,0,0
xiao-liang-cai-30,0,0,0,0
mo-xin-xue,0,0,0,0
jia-pei-91,0,0,0,0
gong-xiao-shu,0,0,0,0
xuzd88,0,0,0,0
teenstitan,3,3,1,0
goosebing,0,0,0,0
huang-xiao-song-27,0,0,0,0
kong-yu-chao,0,0,0,0
zhang-wei-38-35,0,0,0,0
gan-lin-69-1,0,0,0,0
alaior,0,0,0,0
jiong-te-man,0,0,0,0
litao0703,0,0,0,0
chen-xiao-19-29,0,0,0,0
jiu-du-64,0,0,5,0
ma-hao-yu-9,4,4,8,14
shi-yi-hu-die-48,0,0,0,0
sue-su-54,0,0,0,0
qiu-shen-8,3,3,5,0
ye-you-chi-31,0,0,0,0
martin-gl,0,0,0,0
LoveLBX,2,2,60,159
li-xin-da-43,0,0,0,0
zhang-jia-jing-4,0,0,0,0
gu-jin-ming-yang,0,0,0,0
barney-guo,0,0,0,0
fishboke,1,1,3,87
li-chao-91-11,0,0,0,0
jin-mo-87,0,0,0,0
qing-yan-79,0,0,0,0
zhou-peng-32,0,0,0,0
