user_id,followers,asks,answers,goods
ni-shui-liu,0,0,0,0
gao-en-lai,0,0,0,0
tang-hong-yi-22,0,0,0,0
wang-wei-38-29,0,0,0,0
mo-gu-yu-54,0,0,0,0
dq-lu,0,0,0,0
huang-hun-67,0,0,0,0
lemonc-ice,0,0,0,0
mai-dou-63-93-7,0,0,0,0
chen-min-min-25,0,0,0,0
fe-weng,0,0,0,0
hu-er-72-38,0,0,0,0
zhao-yiwu,0,0,0,0
yu-chen-chen-99,0,0,0,0
si-gou-61,0,0,0,0
zou-lu-70,0,0,0,0
ren-ethan,0,0,0,0
nan-de-hu-tu-wa-wa,0,0,0,0
jiang-tai-85,0,0,0,0
chu-tian-shu-19,0,0,0,0
long-ge-80-39,0,0,0,0
xiao-yao-you-76-1,0,0,0,0
liang-nan-nan,0,0,0,0
zhi-zhen-ting-qiu-ya,0,0,0,0
hao-duo-rou-rou-a,0,0,0,0
han-ming-79,0,0,0,0
ji-wen-da-37,0,0,0,0
shi-shi-9-82,0,0,0,0
zhou-qiang-98-30,0,0,0,0
tim-qiu,0,0,0,0
luo-yong-95-32,0,0,0,0
xu-ling-jie-74,0,0,0,0
chen-mo-45-56,0,0,0,0
hong-shuang-jie,0,0,0,0
wang-yu-ping-15,0,0,0,0
wang-da-bai-54,0,0,0,0
chen-tu-57,0,0,0,0
tong-yan-li,0,0,0,0
ai-ruguo,0,0,0,0
wang-dao-57,7,7,5,3
du-du-71-84,0,0,0,0
an-ruo-zhi,0,0,0,0
wang-nuo-nuo-34,0,0,0,0
liudongcheng,0,0,0,0
deng-hua-67,0,0,0,0
tian-mang-62,0,0,0,0
niu-a-49,0,0,0,0
rui-rui-71-48,0,0,0,0
lee-bonita,0,0,0,0
zhang-hen-shui-97,0,0,0,0
yun-yan-luan,0,0,0,0
da-ke-le-xian-sheng,0,0,0,0
jin-xx-89,0,0,0,0
huang-mei-81-52,0,0,0,0
ping-hu-qiu-shui,0,0,0,0
li-lian-80,0,0,0,0
wang-mi-mi-38,0,0,0,0
he-xiao-hua-74,0,0,0,0
SWAT,0,0,0,0
li-jin-yu-45-48,0,0,0,0
leesu-yang,0,0,0,0
fan-nao-72-15,0,0,0,0
lic12701,0,0,0,0
han-ni-ni-93,0,0,0,0
lin-fang-87,0,0,0,0
nian-ao-zhuo-30,0,0,0,0
jin-si-ji,1,1,0,0
nan-shan-shawn,0,0,0,0
yang-jun-wei-5,0,0,0,0
qing-xin-92,0,0,0,0
da-mo-wang-xy,0,0,0,0
jiang-zhi-yu-34,0,0,0,0
hu-fan-fan-4,0,0,0,0
sun-gao-76,0,0,0,0
shi-lao-shi-95,0,0,0,0
shan-de-na-bian,0,0,0,0
mu-mu-5-13,6,6,5,1
yuan-kai-ming-68,0,0,0,0
wang-jun-yao-43,0,0,0,0
li-zhu-59-66,0,0,0,0
zhou-li-53-88,0,0,0,0
cai-song-lin-82,0,0,0,0
mao-jun-wei-71,0,0,0,0
han-wen-xiao-48,0,0,0,0
he-bi-43,0,0,0,0
ya-ke-76,3,3,4,1
luo-chai-92,0,0,0,0
wang-mou-mou-18-92,0,0,0,0
li-ming-99-43,0,0,0,0
liu-er-shao-81,0,0,0,0
zang-xiao-xia,0,0,0,0
hao-zhi-qi-25,1,1,0,0
kong-ping-zi-71,0,0,0,0
li-guo-guo-43,0,0,0,0
zhang-da-gang-49,0,0,5,0
luo-sheng-men-94,0,0,0,0
chen-ai-2-85,0,0,0,0
dreamgroups,0,0,0,0
xiao-xiao-86-35,0,0,0,0
gong-miao-24,0,0,0,0
a-la-lei-lei-41,0,0,0,0
zhang-nan-70-25,0,0,0,0
li-nu-shi-45-61,0,0,0,0
wang-yi-feng-89,0,0,0,0
wang-yang-54-65,0,0,0,0
tu-xiao-jia-42,0,0,0,0
gao-lu-72,0,0,0,0
javen-lee-33,0,0,0,0
chen-si-qi-8-95,0,0,0,0
yixiao-man-tou,0,0,0,0
wang-yin-28-67,0,0,0,0
wang-xue-chun-74,0,0,0,0
hua-fei-wu,0,0,0,0
yu-kun-22-87,1,1,1,0
troy-da-vinci,0,0,0,0
xiao-sa-ge-15,0,0,0,0
li-shan-shan-74-33,0,0,0,0
liu-long-ting,0,0,0,0
wei-ze-hui-71,0,0,0,0
YichuanDENG,3,3,1,4
xing-hang-44,0,0,0,0
chen-ying-lin-34,0,0,0,0
li-jin-gan,0,0,0,0
o0xia-xi,0,0,0,0
wang-yan-55-88,0,0,0,0
wu-ye-fei-xing-53,0,0,0,0
wu-xin-ran-49,0,0,0,0
zhang-ying-yu-9,0,0,0,0
chen-xin-12-40,0,0,0,0
hua-sheng-ke-liao,0,0,0,0
xiong-xiao-29-98,0,0,0,0
jonathan-liu-2,0,0,0,0
jia-ling-75,0,0,0,0
lu-bing-tan,0,0,0,0
athena-xu,1,1,0,0
he-yu-52-99-2,0,0,0,0
tuo-la-ji-41,0,0,0,0
zhang-qing-feng-60,0,0,0,0
wang-zhe-18-53,0,0,0,0
sui-ye,0,0,0,0
yu-hang-77,0,0,0,0
yu-xu-yang-21,0,0,0,0
lin-cha-cha-80,0,0,0,0
wang-kai-ze,0,0,0,0
che-july,0,0,0,0
zhang-jiu-yi-82,0,0,0,0
wei-jie-25,0,0,0,0
ma-ding-ding-62,0,0,0,0
lynne-s,0,0,0,0
yang-yang-de-yi-40,0,0,0,0
sun-qin-52-4,0,0,0,0
zhou-fang-zhen-67,0,0,0,0
jia-da-qing,0,0,0,0
mai-mai-77-83,0,0,0,0
han-gan-gan-98,0,0,0,0
sheng-zhi-cheng,0,0,0,0
ye-wei-hai,0,0,0,0
an-an-23-60,0,0,0,0
jiang-tao-1-73,0,0,0,0
zheng-qing-song-84,0,0,0,0
zai-lu-shang-92-63,0,0,0,0
jiang-xiao-gen-25,0,0,0,0
li-ke-yao-35,0,0,0,0
jeff-li-8,0,0,0,0
luo-xiao-fei-22,0,0,0,0
du-xing-xing-32,0,0,0,0
xu-wang-56,0,0,0,0
zhang-peng-sheng-85,0,0,0,0
delete-dai,0,0,0,0
jimoxiaozhi,10,10,94,29
wang-si-yu-41-23,0,0,0,0
jin-ming-47,0,0,0,0
jeffrey-zhang-96,0,0,0,0
shy-dont,0,0,0,0
wu-san-67,0,0,0,0
mssu-xiu,0,0,0,0
a-yu-50,0,0,0,0
drr-dfr,0,0,0,0
yao-xiao-en,0,0,0,0
cui-tuo-tuo,0,0,0,0
simixn,0,0,7,1
ba-yue-25-68,0,0,0,0
shi-wei-76-98,0,0,0,0
ding-ding-99-53,0,0,0,0
mao-mao-qiu-44,0,0,0,0
li-jin-70-40,0,0,0,0
lei-bin-52,0,0,0,0
xie-xian-sheng-14,0,0,0,0
tao-xue-ying,0,0,0,0
gerry-wang-5,0,0,0,0
lin-xuan-chu,0,0,0,0
liu-ming-69-32,0,0,0,0
mu-yu-13-12,0,0,0,0
lei-bo-8,0,0,0,0
chen-da-72-18,0,0,0,0
zhang-da-shuai-43,0,0,0,0
hu-jia-xi-82,0,0,0,0
ceng-lei-87,0,0,0,0
shi-liu-ma,0,0,0,0
shun-xiao-xin,0,0,0,0
xiao-xiao-74-1,0,0,0,0
cheng-tian-shuang-81-7,0,0,0,0
bai-xiao-za,0,0,0,0
da-wan-hu-ma,0,0,0,0
zhang-chu-33-96,0,0,0,0
li-ku-qing,0,0,0,0
qing-zhu-69-66,0,0,0,0
ma-nan-14,0,0,0,0
wu-da-san-de-gu-liang,0,0,0,0
sun-gang-60,0,0,0,0
wan-wei-18-53,0,0,0,0
chan-ruo-long-juan-feng,0,0,0,0
wang-ni-ma-14-52,0,0,0,0
tang-qian-57,0,0,0,0
wang-tian-qi-82,0,0,0,0
suo-yi-55,0,0,0,0
fang-chen-27,0,0,0,0
zhou-yi-bin-57,0,0,0,0
gao-hui-fang-78,0,0,0,0
yue-zheng-fu,0,0,0,0
wang-guan-zi,10,10,4,38
li-chen-ming-54-38,0,0,0,0
yao-yao-34-64,0,0,0,0
jian-nuo-40,0,0,0,0
chen-yang-63-82,0,0,0,0
huang-zhi-yan-46,0,0,0,0
zhu-julia-15,0,0,0,0
bamboo-super,0,0,0,0
shi-xia-5-60,0,0,0,0
han-fang-zheng-44,0,0,0,0
dayhf-one,0,0,0,0
he-hui-7-1,0,0,0,0
mang-zuo,0,0,0,0
shi-bao-63,1,1,0,0
gong-xi-8-26,0,0,0,0
qing-xin-li,0,0,0,0
wen-jia-jia-81,0,0,0,0
chen-liu-65,0,0,0,0
xu-wan-77,0,0,0,0
wang-li-12-93,0,0,0,0
san-er-35,0,0,0,0
wang-lin-77-38,0,0,6,2
zhang-lucy-42,0,0,0,0
xu-he-he-95,0,0,1,0
wei-tong-shan,0,0,0,0
chou-feng-61-96,0,0,0,0
chen-yong-73-71,0,0,0,0
yang-xiao-yang-59-47,0,0,0,0
jin-yuan-zhe,0,0,0,0
wang-jin-jin-3,0,0,0,0
chrismo,0,0,0,0
tang-shui-chi,0,0,0,0
yao-yao-98-11-12,0,0,0,0
zhao-dong-36-86,0,0,0,0
beng-de,0,0,0,0
di-jia-ming,0,0,0,0
jiang-nuan-nuan-55,0,0,0,0
wang-zhi-zhou-80,0,0,0,0
huang-yu-31-87,0,0,0,0
liu-ke-lin-29,0,0,0,0
zhou-vicky,0,0,0,0
peter-wilson,13,13,6,0
ceng-yue-xi,0,0,0,0
fan-er-63-22,0,0,0,0
he-er-84,1,1,15,19
cherry-chan-50,0,0,0,0
shi-wen-ji-58,0,0,0,0
sun-xin-xin-83-44,0,0,0,0
chen-jin-xin-91-32,0,0,0,0
su-kai-qi-surgdy,0,0,0,0
qia-sang-kao,0,0,0,0
bei-ji-tian-lan,0,0,0,0
pan-saliry,0,0,0,0
bai-li-tian-42,0,0,0,0
liu-bai-bai-30,0,0,0,0
wang-lu-39-42,0,0,0,0
zhang-mi-tian,0,0,0,0
he-zhou-zhou-11,1,1,63,12
bing-bing-99-11,0,0,0,0
li-xiao-ji-11,0,0,0,0
zhang-yi-xin-46,0,0,0,0
tang-yu-huang,0,0,0,0
xu-jia-ni-45,0,0,0,0
xiang-shan-58,0,0,0,0
sun-tian-yu-21-39,0,0,0,0
a-bing-2,0,0,0,0
he-ying-chun-41,0,0,0,0
liu-xin-yi-7,0,0,0,0
he-dong-mei-88,0,0,0,0
wang-jian-63-99,0,0,0,0
alan-perry,0,0,0,0
kang-lin-83,0,0,0,0
wang-yibiao-77,0,0,0,0
miao-zhen-lin,0,0,0,0
xie-jun-lai-32,0,0,0,0
zheng-jian-hong-77,0,0,0,0
xiao-dui-72,0,0,0,0
xie-wen-63-85,0,0,0,0
liu-meng-en,0,0,0,0
sun-qi-di-92,0,0,0,0
shi-wen-15-76,0,0,0,0
waiting-mr,0,0,0,0
xiong-xiao-xian,0,0,0,0
kang-shao-ye,0,0,0,0
gu-gu-11-92,0,0,0,0
zheng-chen-58,0,0,0,0
a-niu-98-23,0,0,0,0
hu-han-jie-51,0,0,0,0
yu-mu-kun,0,0,0,0
ze-tony,0,0,0,0
zhou-xiao-luo-20,0,0,0,0
wei-ran-6,0,0,0,0
fu-qin-ji,0,0,0,0
zhao-long-19-75,0,0,0,0
zhang-xue-wei-10,0,0,0,0
a-yi-84-22,0,0,0,0
chen-xiao-jing-13-42,0,0,0,0
qian-zhi-cheng-81,0,0,0,0
hongxue-yu,0,0,0,0
376748559,2,2,1,2
mo-mo-xiao-hong-dou,0,0,0,0
tang-hao-47-44,0,0,0,0
zhu-hou-tu,0,0,0,0
dfg-df-19,0,0,0,0
feng-tao-82-9,0,0,6,6
wang-jun-79-5,0,0,0,0
yang-bo-15-96-38,0,0,0,0
zhang-yi-rong-45,0,0,0,0
wang-hao-bo-42,0,0,0,0
wu-yong-liang-29,0,0,0,0
wang-kai-yue-83,0,0,0,0
wang-xiao-bai-52-25,0,0,0,0
biao-biao-yu,0,0,0,0
mu-rong-feng-qing,0,0,0,0
tao-chen-98,0,0,0,0
lie-huo-14-82,0,0,0,0
li-de-ji-27,0,0,0,0
hao-xiao-miao-58,0,0,0,0
niu-niu-98-47,0,0,0,0
li-zi-mu-96-24,0,0,0,0
sun-xiao-bao-hr,0,0,0,0
chao-ren-93,0,0,0,0
zheng-xi-ge,0,0,0,0
lu-you-82,0,0,0,0
li-he-sheng,0,0,0,0
li-lei-lei-90,0,0,0,0
wang-ling-xiao-37-31,0,0,0,0
jiang-lu-70,0,0,0,0
wang-gu-zhen,0,0,0,0
wu-shuang-95,0,0,0,0
mei-xiao-ya,0,0,0,0
yiyi-47-2,0,0,0,0
xiao-yi-59-43,0,0,0,0
cai-chun-fei,0,0,0,0
zhuang-wei-96-57,0,0,0,0
zhang-wei-87-59,0,0,0,0
zhang-du-zhi-99,0,0,0,0
xiao-he-he-68-75,0,0,0,0
na-an-5,0,0,0,0
zhao-shi-jian-39,0,0,0,0
ma-yu-fei-47,0,0,0,0
lin-xiao-yan-9,0,0,0,0
chengdacheng,3,3,0,0
chang-fei-7-52,0,0,0,0
a-mu-20-34,0,0,0,0
wang-si-20-97,0,0,0,0
pan-xiao-chen-65,0,0,0,0
zhang-hong-yue-58,0,0,0,0
li-wang-wang-71,0,0,0,0
cheng-yun-45,0,0,0,0
liu-rui-97-28,0,0,0,0
li-mu-zi-30-43,0,0,0,0
lass-lumpur,0,0,0,0
xia-mo-82-75,0,0,0,0
ni-da-ye-8-78,0,0,0,0
gu-yue-yan-20,0,0,0,0
xia-yu-33-9,0,0,0,0
vincent-sun-81,2,2,0,0
xu-mi-48,0,0,0,0
chen-wen-kang-10,0,0,0,0
li-wei-peng-50,0,0,0,0
yang-fan-6-48,0,0,0,0
wu-ming-kang-97,0,0,0,0
wang-fu-sheng-84-2,0,0,0,0
zhou-xiao-shun,0,0,0,0
hu-meng-long-75,0,0,0,0
su-san-36-35,0,0,0,0
su-rong-rong-22,0,0,0,0
guo-yu-qi-5,0,0,0,0
lai-lai-66,0,0,0,0
wei-zhen-xiong,0,0,0,0
qu-chen-75,0,0,0,0
zhang-shi-xi,0,0,0,0
deng-miao-73,0,0,0,0
huo-yu-34,0,0,0,0
guan-bu-qia,0,0,0,0
huang-hao-6-74,1,1,0,0
pan-xiao-pan-30,0,0,0,0
deng-xue-62,0,0,0,0
lai-wei-32,0,0,0,0
wang-qiao-97-3,0,0,0,0
yan-xiao-yang-72,0,0,3,0
alin-john,0,0,0,0
lu-ren-jia-8-50-79,0,0,0,0
zhu-guo-qiang-52,0,0,0,0
zhu-yuan-jie-35,0,0,0,0
hai-er-45,0,0,0,0
zhuan-jia-tong,0,0,0,0
li-bi-yuan-93,0,0,0,0
mi-niao-41,0,0,0,0
dong-qi-78,0,0,0,0
zou-ti,0,0,0,0
song-xin-1,0,0,0,0
ma-wei-chao-59,0,0,0,0
hu-da-shui-63,0,0,14,10
li-yue-ming-63,0,0,0,0
shui-tang-59,0,0,0,0
langyazi,3,3,59,32
he-xiao-he-21,1,1,0,0
mo-ran-xi-72,0,0,0,0
tian-gou-97,0,0,0,0
fan-xing-xing-8,0,0,0,0
zhang-qi-90-36,0,0,0,0
na-na-17,0,0,0,0
wang-tai-tai-88,0,0,1,0
he-yang-27-44,0,0,0,0
chen-yang-32-68,0,0,0,0
yang-wen-feng-41,0,0,0,0
fang-min-58-46,0,0,0,0
zhang-yu-56-31,0,0,0,0
xia-wen-ju,0,0,0,0
suji-bae,0,0,0,0
wu-ying-fei-15,0,0,0,0
leonjian,0,0,0,0
chen-ke-xin-81,0,0,0,0
li-shu-xing,0,0,0,0
reliberty,0,0,0,0
wang-xin-84-3,0,0,0,0
li-ming-zhao,0,0,0,0
yige-xiao-xiao-te,0,0,0,0
li-yang-guang-26,0,0,0,0
liu-jin-chang,0,0,0,0
a-mao-11-21,0,0,1,0
xiao-huo-shan-10,0,0,0,0
ma-jinny,0,0,0,0
luo-xiao-jing-67,0,0,0,0
zai-zhe-ni-zai-zhe-ni,0,0,0,0
liu-ying-69-47,0,0,0,0
xiao-mou-3,0,0,0,0
hu-hu-45-89,0,0,0,0
you-xia-fang,1,1,0,0
han-lu-26-5,0,0,0,0
wang-neng-ming,0,0,0,0
shi-shen-ren-mian-shou,0,0,0,0
tang-yuan-yong,0,0,0,0
ke-le-79-25,0,0,0,0
pang-yu-16-80,0,0,0,0
li-jiu-sheng,0,0,0,0
liu-xiao-li-58,0,0,0,0
gallin,0,0,3,48
ma-jin-77,1,1,0,0
fu-da-chuan,0,0,0,0
hai-mian-yang-er,0,0,0,0
chen-chen-chen-5-17,0,0,0,0
li-hong-wei-52,0,0,0,0
yuan-lu-xing-90,0,0,0,0
zhang-cheng-48-98,0,0,3,0
yi-ya-peng,0,0,0,0
yang-zhi-bo-41,0,0,0,0
luo-yao-dong,0,0,0,0
hong-mian-mian,0,0,0,0
seng-seng-16,0,0,0,0
chen-rou-xuan-77,0,0,0,0
wang-jing-91-89-63,0,0,0,0
ren-nan-bei,2,2,0,0
fu-bing-chuan,0,0,0,0
chou-xiao-hai,0,0,0,0
hu-hu-64-55,0,0,0,0
zhang-zhong-47-81,0,0,0,0
zhang-jun-dong-72,0,0,0,0
li-fan-76-1,0,0,0,0
wang-qiu-shi-16,0,0,0,0
xxx-bill,0,0,0,0
xiao-mian-yang-91,0,0,0,0
li-jin-liang-78,0,0,0,0
wang-hao-26-87-69,0,0,0,0
zhou-hua-18-38,0,0,0,0
yingying-zhao-51,0,0,0,0
geng-chun-ru,0,0,0,0
wang-yan-97-57,0,0,0,0
wang-mu-mu-7-18,0,0,0,0
luo-bu-63-14,0,0,0,0
shu-shu-shu-shu-90,0,0,0,0
