user_id,followers,asks,answers,goods
cao-wang,23,1,9,25
pengpai,20,2,0,0
chenqin,43130,0,93,24429
liu-yili-2,1,0,0,0
tchen,613,2,39,2632
he-rui-xuan,2,0,0,0
kuhasu,263,0,3,55
calliope,245182,2,158,89844
lou-xin-yue-64,36,1,28,13
lin-yi-qiang-10,12,0,4,18
xzwxz,20628,10,211,38143
phospher,172,4,371,562
xjiangxjxjxjx,18928,52,262,5913
wang-min-58-75-4,1,0,0,0
shisu,5969,3,1158,16071
vani,26,1,1,17
li-teng-13,526,1,19,325
chen-hao-84,275773,14,1,1325
xin-yan,651,1802,25,194
banlon,1096,14,123,822
zhu-wen-zhen-15,18,1,4,11
chen-li-19-34,13,0,1,25
zhiqiang.org,580,0,14,149
liu-zhi-yuan-67,233,1,1,5
wu-yu-52gc,344,1,34,506
lu-yu-qi,3569,12,12,8207
yang-yi-lin-2,2,0,0,0
zhang-jin-ye,326,1,11,339
aton,16187,23,193,47009
jin-chen-yu,39769,48,63,2701
laotun,6421,0,50,526
gao-ying-kai,98,4,75,200
chenran,14552,69,1151,15950
dong-sheng-15,3,0,1,1
catzhubo,75,4,157,463
hina,1882,37,262,1260
nuonuolili,22501,6,134,32645
lawrencelry,130421,842,2598,50754
bcstyle,1910,9,121,1914
fuwocheng,7635,9,292,13036
xie-dino,8,0,2,4
yuan-song-xian,6,0,0,0
chen-si-si-56-36,4,0,0,0
song-si-yuan,500,4,16,259
li-jun-23-99,8,0,1,0
liu-li-zi,8424,6,56,5680
dai-bin-82,299,3,17,239
chen-huang-yu,87,1,39,902
bojanliu,47,1,31,107
wang-rui-qi-94,92,4,78,813
danblue,51552,1,150,27604
jarod,239,2,21,15
id47,8882,5,34,3438
yang-pu-19,51,0,14,20
zhangzx09,105,6,8,22
nlpcn,431,0,0,0
shiina,17,0,8,4
zhouyuan,268843,588,340,12020
jixin,316321,1310,785,35669
